snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
335.0, None, None,2020-01-08 00:00:00, 0.1, None, None,2
335.0, None, None,2020-01-08 01:00:00, 0.4, None, None,2
335.0, None, None,2020-01-08 02:00:00, 0.1, None, None,2
335.0, None, None,2020-01-08 03:00:00, -0.1, None, None,2
335.0, None, None,2020-01-08 04:00:00, -0.2, None, None,2
337.0, None, None,2020-01-08 05:00:00, -0.4, None, None,2
339.0, None, None,2020-01-08 06:00:00, -0.8, None, None,2
340.0, None, None,2020-01-08 07:00:00, -1.0, None, None,2
341.0, None, None,2020-01-08 08:00:00, -1.7, None, None,2
341.0, None, None,2020-01-08 09:00:00, -2.3, None, None,2
343.0, None, None,2020-01-08 10:00:00, -2.7, None, None,2
344.0, None, None,2020-01-08 11:00:00, -3.0, None, None,2
345.0, None, None,2020-01-08 12:00:00, -3.5, None, None,2
346.0, None, None,2020-01-08 13:00:00, -4.0, None, None,2
346.0, None, None,2020-01-08 14:00:00, -4.3, None, None,2
346.0, None, None,2020-01-08 15:00:00, -4.8, None, None,2
348.0, 103.0, None,2020-01-08 16:00:00, -5.3, None, None,2
350.0, None, None,2020-01-08 17:00:00, -5.4, None, None,2
351.0, None, None,2020-01-08 18:00:00, -6.0, None, None,2
351.0, None, None,2020-01-08 19:00:00, -6.0, None, None,2
352.0, None, None,2020-01-08 20:00:00, -5.8, None, None,2
353.0, None, None,2020-01-08 21:00:00, -6.7, None, None,2
353.0, None, None,2020-01-08 22:00:00, -6.5, None, None,2
353.0, None, None,2020-01-08 23:00:00, -6.8, None, None,2
354.0, None, None,2020-01-09 00:00:00, -7.1, None, None,2
355.0, None, None,2020-01-09 01:00:00, -7.8, None, None,2
355.0, None, None,2020-01-09 02:00:00, -7.9, None, None,2
356.0, None, None,2020-01-09 03:00:00, -7.8, None, None,2
356.0, None, None,2020-01-09 04:00:00, -8.3, None, None,2
356.0, None, None,2020-01-09 05:00:00, -8.1, None, None,2
356.0, None, None,2020-01-09 06:00:00, -7.9, None, None,2
356.0, None, None,2020-01-09 07:00:00, -7.9, None, None,2
356.0, None, None,2020-01-09 08:00:00, -9.0, None, None,2
356.0, None, None,2020-01-09 09:00:00, -8.1, None, None,2
356.0, None, None,2020-01-09 10:00:00, -8.1, None, None,2
356.0, None, None,2020-01-09 11:00:00, -7.9, None, None,2
356.0, None, None,2020-01-09 12:00:00, -7.7, None, None,2
357.0, None, None,2020-01-09 13:00:00, -7.4, None, None,2
358.0, None, None,2020-01-09 14:00:00, -7.1, None, None,2
359.0, None, None,2020-01-09 15:00:00, -7.1, None, None,2
359.0, 109.0, None,2020-01-09 16:00:00, -7.1, None, None,2
360.0, None, None,2020-01-09 17:00:00, -7.2, None, None,2
360.0, None, None,2020-01-09 18:00:00, -6.9, None, None,2
360.0, None, None,2020-01-09 19:00:00, -6.6, None, None,2
360.0, None, None,2020-01-09 20:00:00, -6.1, None, None,2
360.0, None, None,2020-01-09 21:00:00, -6.1, None, None,2
360.0, None, None,2020-01-09 22:00:00, -5.7, None, None,2
360.0, None, None,2020-01-09 23:00:00, -6.8, None, None,2
360.0, None, None,2020-01-10 00:00:00, -8.0, None, None,2
360.0, None, None,2020-01-10 01:00:00, -7.6, None, None,2
360.0, None, None,2020-01-10 02:00:00, -7.3, None, None,2
360.0, None, None,2020-01-10 03:00:00, -7.4, None, None,2
360.0, None, None,2020-01-10 04:00:00, -7.8, None, None,2
360.0, None, None,2020-01-10 05:00:00, -8.0, None, None,2
360.0, None, None,2020-01-10 06:00:00, -8.7, None, None,2
360.0, None, None,2020-01-10 07:00:00, -9.5, None, None,2
360.0, None, None,2020-01-10 08:00:00, -9.2, None, None,2
360.0, None, None,2020-01-10 09:00:00, -8.4, None, None,2
360.0, None, None,2020-01-10 10:00:00, -8.1, None, None,2
360.0, None, None,2020-01-10 11:00:00, -8.0, None, None,2
360.0, None, None,2020-01-10 12:00:00, -8.0, None, None,2
360.0, None, None,2020-01-10 13:00:00, -7.7, None, None,2
360.0, None, None,2020-01-10 14:00:00, -7.4, None, None,2
361.0, None, None,2020-01-10 15:00:00, -6.9, None, None,2
361.0, 109.0, None,2020-01-10 16:00:00, -6.0, None, None,2
361.0, None, None,2020-01-10 17:00:00, -5.6, None, None,2
362.0, None, None,2020-01-10 18:00:00, -4.8, None, None,2
362.0, None, None,2020-01-10 19:00:00, -3.6, None, None,2
363.0, None, None,2020-01-10 20:00:00, -3.0, None, None,2
365.0, None, None,2020-01-10 21:00:00, -4.3, None, None,2
367.0, None, None,2020-01-10 22:00:00, -3.6, None, None,2
368.0, None, None,2020-01-10 23:00:00, -2.7, None, None,2
368.0, None, None,2020-01-11 00:00:00, -2.6, None, None,2
368.0, None, None,2020-01-11 01:00:00, -2.9, None, None,2
368.0, None, None,2020-01-11 02:00:00, -3.1, None, None,2
368.0, None, None,2020-01-11 03:00:00, -3.1, None, None,2
368.0, None, None,2020-01-11 04:00:00, -3.3, None, None,2
368.0, None, None,2020-01-11 05:00:00, -3.2, None, None,2
369.0, None, None,2020-01-11 06:00:00, -2.9, None, None,2
369.0, None, None,2020-01-11 07:00:00, -2.6, None, None,2
369.0, None, None,2020-01-11 08:00:00, -2.5, None, None,2
370.0, None, None,2020-01-11 09:00:00, -2.7, None, None,2
370.0, None, None,2020-01-11 10:00:00, -2.9, None, None,2
371.0, None, None,2020-01-11 11:00:00, -2.8, None, None,2
372.0, None, None,2020-01-11 12:00:00, -2.8, None, None,2
373.0, None, None,2020-01-11 13:00:00, -2.8, None, None,2
373.0, None, None,2020-01-11 14:00:00, -2.9, None, None,2
373.0, None, None,2020-01-11 15:00:00, -2.9, None, None,2
374.0, 112.0, None,2020-01-11 16:00:00, -2.8, None, None,2
375.0, None, None,2020-01-11 17:00:00, -2.6, None, None,2
376.0, None, None,2020-01-11 18:00:00, -2.8, None, None,2
376.0, None, None,2020-01-11 19:00:00, -3.2, None, None,2
377.0, None, None,2020-01-11 20:00:00, -3.3, None, None,2
379.0, None, None,2020-01-11 21:00:00, -4.5, None, None,2
381.0, None, None,2020-01-11 22:00:00, -5.8, None, None,2
381.0, None, None,2020-01-11 23:00:00, -6.6, None, None,2
381.0, None, None,2020-01-12 00:00:00, -6.9, None, None,2
381.0, None, None,2020-01-12 01:00:00, -7.4, None, None,2
381.0, None, None,2020-01-12 02:00:00, -7.2, None, None,2
382.0, None, None,2020-01-12 03:00:00, -7.1, None, None,2
383.0, None, None,2020-01-12 04:00:00, -7.0, None, None,2
385.0, None, None,2020-01-12 05:00:00, -6.9, None, None,2
386.0, None, None,2020-01-12 06:00:00, -6.9, None, None,2
386.0, None, None,2020-01-12 07:00:00, -6.8, None, None,2
387.0, None, None,2020-01-12 08:00:00, -6.9, None, None,2
387.0, None, None,2020-01-12 09:00:00, -6.6, None, None,2
None, 112.0, None,2020-01-12 16:00:00, None, None, None,2
395.0, None, None,2020-01-12 19:00:00, -3.5, None, None,2
397.0, None, None,2020-01-12 20:00:00, -2.7, None, None,2
398.0, None, None,2020-01-12 21:00:00, -2.4, None, None,2
399.0, None, None,2020-01-12 22:00:00, -2.6, None, None,2
400.0, None, None,2020-01-12 23:00:00, -3.6, None, None,2
402.0, None, None,2020-01-13 00:00:00, -5.2, None, None,2
405.0, None, None,2020-01-13 01:00:00, -6.8, None, None,2
408.0, None, None,2020-01-13 02:00:00, -8.6, None, None,2
410.0, None, None,2020-01-13 03:00:00, -9.7, None, None,2
411.0, None, None,2020-01-13 04:00:00, -11.7, None, None,2
411.0, None, None,2020-01-13 05:00:00, -13.2, None, None,2
412.0, None, None,2020-01-13 06:00:00, -15.1, None, None,2
413.0, None, None,2020-01-13 07:00:00, -17.0, None, None,2
414.0, None, None,2020-01-13 08:00:00, -17.0, None, None,2
414.0, None, None,2020-01-13 09:00:00, -17.1, None, None,2
414.0, None, None,2020-01-13 10:00:00, -16.7, None, None,2
414.0, None, None,2020-01-13 11:00:00, -17.0, None, None,2
414.0, None, None,2020-01-13 12:00:00, -17.3, None, None,2
414.0, None, None,2020-01-13 13:00:00, -17.4, None, None,2
414.0, None, None,2020-01-13 14:00:00, -17.3, None, None,2
414.0, None, None,2020-01-13 15:00:00, -17.6, None, None,2
414.0, 109.0, None,2020-01-13 16:00:00, -17.5, None, None,2
414.0, None, None,2020-01-13 17:00:00, -16.5, None, None,2
414.0, None, None,2020-01-13 18:00:00, -15.5, None, None,2
414.0, None, None,2020-01-13 19:00:00, -14.4, None, None,2
414.0, None, None,2020-01-13 20:00:00, -13.7, None, None,2
414.0, None, None,2020-01-13 21:00:00, -12.9, None, None,2
414.0, None, None,2020-01-13 22:00:00, -13.0, None, None,2
414.0, None, None,2020-01-13 23:00:00, -13.4, None, None,2
414.0, None, None,2020-01-14 00:00:00, -14.3, None, None,2
