RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
98.0, None, None, None, 0.006, 215.5, None, None,1.0, 893.0, None, None, None, None, None, 0.647, None, None,1.289, None, None, None, None, 43.35, None, None, None, None, None, None,2018-10-29 00:00:00, None,44
98.1, None, None, None, 0.006, 199.7, None, None,1.0, 893.0, None, None, None, None, None, 0.679, None, None,1.621, None, None, None, None, 29.38, None, None, None, None, None, None,2018-10-29 01:00:00, None,44
98.0, None, None, None, 0.006, 226.3, None, None,2.0, 894.0, None, None, None, None, None, 0.66, None, None,1.823, None, None, None, None, 30.48, None, None, None, None, None, None,2018-10-29 02:00:00, None,44
98.0, None, None, None, 0.006, 211.6, None, None,2.0, 894.0, None, None, None, None, None, 0.627, None, None,1.851, None, None, None, None, 18.44, None, None, None, None, None, None,2018-10-29 03:00:00, None,44
98.0, None, None, None, 0.006, 220.3, None, None,2.0, 894.0, None, None, None, None, None, 0.603, None, None,2.013, None, None, None, None, 21.54, None, None, None, None, None, None,2018-10-29 04:00:00, None,44
98.1, None, None, None, 0.006, 222.6, None, None,2.0, 895.0, None, None, None, None, None, 0.63, None, None,2.038, None, None, None, None, 29.57, None, None, None, None, None, None,2018-10-29 05:00:00, None,44
97.9, None, None, None, 0.006, 215.2, None, None,2.0, 895.0, None, None, None, None, None, 0.498, None, None,1.912, None, None, None, None, 27.11, None, None, None, None, None, None,2018-10-29 06:00:00, None,44
98.1, None, None, None, 0.006, 199.7, None, None,1.0, 895.0, None, None, None, None, None, 0.595, None, None,1.623, None, None, None, None, 19.12, None, None, None, None, None, None,2018-10-29 07:00:00, None,44
98.2, None, None, None, 0.006, 209.4, None, None,1.0, 896.0, None, None, None, None, None, 0.56, None, None,1.581, None, None, None, None, 34.26, None, None, None, None, None, None,2018-10-29 08:00:00, None,44
98.5, None, None, None, 0.006, 212.0, None, None,2.0, 896.0, None, None, None, None, None, 0.555, None, None,1.917, None, None, None, None, 29.3, None, None, None, None, None, None,2018-10-29 09:00:00, None,44
98.2, None, None, None, 0.006, 192.4, None, None,2.0, 896.0, None, None, None, None, None, 0.518, None, None,2.446, None, None, None, None, 17.42, None, None, None, None, None, None,2018-10-29 10:00:00, None,44
97.9, None, None, None, 0.006, 163.5, None, None,3.0, 897.0, None, None, None, None, None, 0.428, None, None,3.258, None, None, None, None, 34.7, None, None, None, None, None, None,2018-10-29 11:00:00, None,44
97.6, None, None, None, 0.006, 155.1, None, None,3.0, 897.0, None, None, None, None, None, 0.17, None, None,3.445, None, None, None, None, 55.12, None, None, None, None, None, None,2018-10-29 12:00:00, None,44
