ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,snw_dpth,dwpt_temp
0.0,0.0,6.5,0.0,2021-10-01,0.0,16.5,40,,,,,,,,,,,
0.0,0.0,8.0,0.0,2021-10-02,0.0,20.5,40,,,,,,,,,,,
0.0,0.0,14.0,0.0,2021-10-03,0.0,20.5,40,,,,,,,,,,,
0.0,0.0,10.5,0.0,2021-10-04,0.0,18.0,40,,,,,,,,,,,
2.4,2.4,12.0,0.0,2021-10-05,0.0,19.5,40,,,,,,,,,,,
1.0,1.0,7.5,0.0,2021-10-06,0.0,16.0,40,,,,,,,,,,,
0.0,0.0,5.5,0.0,2021-10-07,0.0,15.0,40,,,,,,,,,,,
,,,,2021-10-01 00:00:00,,,40,3.1,4.1,4.08,83.8,0.0,0.0,6.2,84.0,2.8, None,2.0
,,,,2021-10-01 01:00:00,,,40,3.1,3.5,3.482,85.5,0.0,0.0,6.2,86.0,2.8, None,1.0
,,,,2021-10-01 02:00:00,,,40,3.1,4.2,4.238,79.59,0.0,0.0,6.2,80.0,2.8, None,1.0
,,,,2021-10-01 03:00:00,,,40,3.1,3.7,3.669,83.0,0.0,0.0,6.2,83.0,2.8, None,1.0
,,,,2021-10-01 04:00:00,,,40,3.1,3.9,3.888,77.67,0.0,0.0,6.2,78.0,2.8, None,0.0
,,,,2021-10-01 05:00:00,,,40,3.1,1.3,1.299,94.4,0.0,0.0,6.2,94.0,1.4, None,0.0
,,,,2021-10-01 06:00:00,,,40,3.1,0.5,0.46,99.6,0.0,0.0,6.2,100.0,-0.3, None,0.0
,,,,2021-10-01 07:00:00,,,40,3.1,0.5,0.547,99.7,0.0,0.0,0.5,100.0,-0.4, None,1.0
,,,,2021-10-01 08:00:00,,,40,3.1,2.8,2.81,86.8,0.0,0.0,2.7,87.0,-0.4, None,1.0
,,,,2021-10-01 09:00:00,,,40,3.1,5.0,5.047,74.08,0.0,0.0,4.9,74.0,-0.4, None,1.0
,,,,2021-10-01 10:00:00,,,40,3.1,6.3,6.273,63.41,0.0,0.0,6.3,63.0,-0.4, None,0.0
,,,,2021-10-01 11:00:00,,,40,2.9,8.6,8.64,56.67,0.0,0.0,8.6,57.0,-0.4, None,0.0
,,,,2021-10-01 12:00:00,,,40,2.4,9.1,9.13,50.75,0.0,0.0,9.0,51.0,-0.4, None,-1.0
,,,,2021-10-01 13:00:00,,,40,2.0,10.1,10.12,47.18,0.0,0.0,10.0,47.0,-0.4, None,0.0
,,,,2021-10-01 14:00:00,,,40,0.8,11.1,11.07,40.84,0.0,0.0,11.1,41.0,-0.4, None,-2.0
,,,,2021-10-01 15:00:00,,,40,0.0,10.5,10.54,42.09,0.0,0.0,11.3,42.0,-0.4, None,-1.0
,,,,2021-10-01 16:00:00,,,40,0.0,10.8,10.75,39.73,0.0,0.0,11.3,40.0,-0.4, None,-2.0
,,,,2021-10-01 17:00:00,,,40,0.0,10.4,10.39,43.59,0.0,0.0,11.3,44.0,-0.4, None,-1.0
,,,,2021-10-01 18:00:00,,,40,0.0,7.8,7.835,53.98,0.0,0.0,11.3,54.0,-0.4, None,-1.0
,,,,2021-10-01 19:00:00,,,40,0.0,6.2,6.247,60.1,0.0,0.0,7.9,60.0,6.0, None,-1.0
,,,,2021-10-01 20:00:00,,,40,0.0,5.4,5.432,63.61,0.0,0.0,7.9,64.0,5.1, None,-1.0
,,,,2021-10-01 21:00:00,,,40,0.0,5.1,5.077,65.97,0.0,0.0,7.9,66.0,4.8, None,-1.0
,,,,2021-10-01 22:00:00,,,40,0.0,3.3,3.255,75.9,0.0,0.0,7.9,76.0,3.4, None,0.0
,,,,2021-10-01 23:00:00,,,40,0.0,3.9,3.88,71.41,0.0,0.0,7.9,71.0,3.2, None,-1.0
,,,,2021-10-02 00:00:00,,,40,0.0,5.6,5.582,62.71,0.0,0.0,7.9,63.0,3.2, None,-1.0
,,,,2021-10-02 01:00:00,,,40,0.0,3.5,3.482,71.49,0.0,0.0,7.9,71.0,2.2, None,-1.0
,,,,2021-10-02 02:00:00,,,40,0.0,2.6,2.615,76.56,0.0,0.0,7.9,77.0,2.2, None,-1.0
,,,,2021-10-02 03:00:00,,,40,0.0,3.1,3.073,74.52,0.0,0.0,7.9,75.0,2.2, None,-1.0
