ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,snw_dpth,dwpt_temp
0.0,0.0,1.0,0.0,2020-01-08,5.0,3.5,2,,,,,,,,,,,
4.0,0.0,-5.5,4.0,2020-01-09,3.0,0.5,2,,,,,,,,,,,
10.0,0.0,-5.0,10.0,2020-01-10,7.0,-0.5,2,,,,,,,,,,,
1.0,0.0,-2.0,1.0,2020-01-11,17.0,3.0,2,,,,,,,,,,,
3.0,0.0,-2.5,3.0,2020-01-12,16.0,0.5,2,,,,,,,,,,,
0.0,0.0,-16.0,0.0,2020-01-13,16.0,-5.0,2,,,,,,,,,,,
7.0,0.0,-16.5,7.0,2020-01-14,16.0,-14.0,2,,,,,,,,,,,
,,,,2020-01-08 00:00:00,,,2,, None,-0.421,99.0, None, None, None, None, None, None, None
,,,,2020-01-08 01:00:00,,,2,, None,-2.031,96.7, None, None, None, None, None, None, None
,,,,2020-01-08 02:00:00,,,2,, None,-0.966,96.1, None, None, None, None, None, None, None
,,,,2020-01-08 03:00:00,,,2,, None,-1.065,89.4, None, None, None, None, None, None, None
,,,,2020-01-08 04:00:00,,,2,, None,-1.251,80.6, None, None, None, None, None, None, None
,,,,2020-01-08 05:00:00,,,2,, None,-2.092,78.27, None, None, None, None, None, None, None
,,,,2020-01-08 06:00:00,,,2,, None,-2.273,73.98, None, None, None, None, None, None, None
,,,,2020-01-08 07:00:00,,,2,, None,-2.837,73.92, None, None, None, None, None, None, None
,,,,2020-01-08 08:00:00,,,2,, None,-4.345,80.7, None, None, None, None, None, None, None
,,,,2020-01-08 09:00:00,,,2,, None,-5.025,82.3, None, None, None, None, None, None, None
,,,,2020-01-08 11:00:00,,,2,1.9, -6.0,-5.955,75.73, 0.2, 0.0, -2.3, 76.0, -6.0, -6999.0, -9.0
,,,,2020-01-08 12:00:00,,,2,1.9, -6.0,-5.972,72.55, 0.0, 0.0, -2.3, 73.0, -6.1, -6999.0, -10.0
,,,,2020-01-08 13:00:00,,,2,1.9, -6.2,-6.162,71.26, 0.0, 0.0, -2.3, 71.0, -6.2, -6999.0, -10.0
,,,,2020-01-08 14:00:00,,,2,1.9, -6.4,-6.365,69.67, 0.0, 0.0, -2.3, 70.0, -6.5, -6999.0, -11.0
,,,,2020-01-08 15:00:00,,,2,1.9, -6.6,-6.572,66.18, 0.0, 0.0, -2.3, 66.0, -6.7, -6999.0, -11.0
,,,,2020-01-08 16:00:00,,,2,1.9, -6.9,-6.89,67.37, 0.0, 0.0, -2.3, 67.0, -6.9, -6999.0, -11.0
,,,,2020-01-08 17:00:00,,,2,1.9, -7.2,-7.172,67.46, 0.0, 0.0, -2.3, 67.0, -7.3, -6999.0, -12.0
,,,,2020-01-08 18:00:00,,,2,1.9, -7.6,-7.582,67.58, 0.0, 0.0, -2.3, 68.0, -7.6, -6999.0, -12.0
,,,,2020-01-08 19:00:00,,,2,1.9, -7.8,-7.781,69.55, 0.0, 0.0, -7.5, 70.0, -8.0, -6999.0, -12.0
,,,,2020-01-08 20:00:00,,,2,1.9, -8.4,-8.4,68.65, 0.0, 0.0, -7.5, 69.0, -9.4, -6999.0, -13.0
,,,,2020-01-08 21:00:00,,,2,1.9, -10.7,-10.65,76.36, 0.0, 0.0, -7.5, 76.0, -10.8, -6999.0, -13.0
,,,,2020-01-08 22:00:00,,,2,1.9, -12.1,-12.12,81.4, 0.0, 0.0, -7.5, 81.0, -12.2, -6999.0, -15.0
