YEAR,FIRE_SIZE_HA,LATITUDE,LONGITUDE
2013.0,0.009,54.572151,-124.5215
2013.0,2.4,54.59695,-124.596901
2013.0,2.5,54.597515,-125.080101
2013.0,6.1,54.567017,-124.495781
2013.0,0.2,54.655117,-124.710854
2013.0,0.72,54.4077,-124.4776
2013.0,0.09,55.292,-124.914833
2013.0,0.9,55.224167,-124.35408
2013.0,0.009,54.809566,-124.755066
2013.0,0.009,54.550667,-124.417366
2013.0,0.2,54.826733,-124.084015
2013.0,0.009,54.814468,-125.288933
2013.0,0.009,54.773434,-124.420868
2013.0,0.2,54.728966,-124.140549
2013.0,0.1,54.811001,-124.4459
2013.0,0.009,54.729301,-124.142616
2013.0,0.2,54.921684,-123.948166
2013.0,0.1,54.85635,-124.109337
2013.0,0.3,55.262684,-125.356049
2013.0,0.1,54.551033,-124.419235
2013.0,0.009,55.536133,-125.329285
2013.0,0.1,54.522068,-123.589951
2013.0,0.009,54.501915,-123.662781
2013.0,0.12,54.500183,-123.66803
2013.0,2.5,55.114784,-124.585136
2013.0,0.05,53.705517,-124.851418
2013.0,0.009,53.757851,-124.834816
2013.0,0.009,54.070984,-123.710182
2013.0,0.009,54.0937,-125.033318
2013.0,0.009,53.1077,-125.083847
2013.0,9.0,53.6068,-124.65715
2013.0,0.009,53.981483,-124.820183
2013.0,0.009,53.767765,-124.801033
2013.0,281.9,54.280117,-124.8334
2013.0,0.3,53.6763,-125.011566
2013.0,0.2,54.02755,-124.869637
2013.0,0.009,53.590233,-123.913651
2013.0,3.5,53.664051,-123.673767
2013.0,0.009,53.996201,-124.949669
2013.0,0.1,53.167499,-124.497002
2013.0,0.009,53.607067,-123.859833
2013.0,10.0,53.809566,-123.436836
2013.0,0.009,53.861885,-123.45742
2013.0,0.009,54.085384,-124.418854
2013.0,0.009,53.853065,-123.453102
2013.0,0.02,53.139717,-124.50222
2013.0,0.009,54.966167,-124.459099
2013.0,0.05,54.062183,-123.542267
2013.0,0.009,53.979782,-124.507484
2013.0,0.2,54.009468,-124.715881
2013.0,0.009,53.492733,-125.045486
2013.0,0.009,54.280785,-124.161331
2013.0,0.12,53.786468,-123.962616
2013.0,1.7,53.087967,-125.6801
2013.0,0.009,54.961468,-124.459053
2013.0,0.6,55.322483,-123.093803
2013.0,0.009,54.899017,-124.335587
2013.0,3.3,55.889801,-120.87262
2013.0,100.0,55.786468,-120.22467
2013.0,0.6,55.255833,-120.043503
2013.0,49.0,55.740898,-120.405334
2013.0,40.0,55.53545,-120.067818
2013.0,79.0,55.196884,-121.707649
2013.0,60.0,55.598316,-120.215866
2013.0,9.0,55.868935,-121.597816
2013.0,100.0,55.991634,-121.265785
2013.0,1.0,55.062233,-121.013634
2013.0,20.0,55.670284,-120.011215
2013.0,52.0,55.784901,-121.001717
2013.0,0.15,55.577202,-121.589867
2013.0,0.009,55.702999,-120.308884
2013.0,13.2,55.498219,-120.54892
2013.0,3.0,55.869999,-120.412399
2013.0,0.009,55.868999,-120.402
2013.0,0.8,54.867218,-120.150253
2013.0,5.7,56.051167,-122.111649
2013.0,0.02,56.034832,-122.164482
2013.0,0.009,54.798649,-120.315033
2013.0,0.5,56.5784,-120.691551
2013.0,2.2,56.199183,-121.498033
2013.0,0.1,56.284233,-120.690483
2013.0,0.5,55.711418,-120.138618
2013.0,4.0,55.6656,-121.687614
2013.0,34.0,55.617618,-121.843117
2013.0,23.5,56.115501,-122.326149
2013.0,0.005,55.497002,-125.6035
2013.0,0.3,54.436684,-123.471901
2013.0,0.2,54.5513,-124.338585
2013.0,0.1,54.681084,-124.467735
2013.0,0.009,54.721535,-124.690552
2013.0,0.2,54.653999,-124.578316
2013.0,0.3,54.099335,-125.030182
2013.0,1.2,57.325382,-125.7388
2013.0,0.1,55.104816,-123.559067
2013.0,0.1,55.3358,-124.226067
2013.0,0.009,55.358532,-124.76123
2013.0,0.009,55.642666,-123.445984
2013.0,0.009,55.382999,-122.593002
2013.0,0.009,55.361183,-122.864166
2013.0,0.009,55.62875,-123.377434
2013.0,6.2,55.20195,-123.626465
2013.0,0.009,55.524616,-123.391037
2013.0,0.009,55.333366,-123.671219
2013.0,0.1,55.35965,-123.605148
2013.0,0.24,55.124901,-123.117767
2013.0,0.009,55.179832,-123.139549
2013.0,0.009,55.330101,-123.05545
2013.0,0.7,55.977585,-123.813049
2013.0,0.08,56.885784,-126.970215
2013.0,0.0,55.04855,-123.08387
2013.0,0.009,54.534683,-124.021935
2013.0,2.0,54.152767,-124.1361
2013.0,0.1,54.034618,-124.067719
2013.0,0.009,53.934132,-123.4786
2013.0,0.009,53.816685,-121.373482
2013.0,0.5,53.781715,-123.123169
2013.0,3.0,53.728565,-121.221916
2013.0,0.009,53.825817,-121.373703
2013.0,0.009,53.680302,-121.731148
2013.0,0.009,54.11475,-122.823517
2013.0,0.009,53.996483,-122.439903
2013.0,0.009,54.978767,-122.182083
2013.0,0.15,53.9529,-121.792869
2013.0,0.009,53.891884,-121.656799
2013.0,0.009,54.217602,-122.85965
2013.0,0.009,53.97345,-122.946098
2013.0,0.05,54.074818,-122.910034
2013.0,0.009,53.86655,-122.812103
2013.0,0.009,53.947433,-121.472633
2013.0,0.007,53.6254,-122.09275
2013.0,0.009,53.536068,-122.645287
2013.0,0.009,54.110001,-123.212303
2013.0,0.009,54.010448,-123.117966
2013.0,0.009,53.2715,-122.385185
2013.0,0.009,53.675983,-123.012314
2013.0,0.009,54.734901,-122.242584
2013.0,0.009,53.658901,-123.008865
2013.0,0.009,53.922352,-122.292999
2013.0,0.009,53.711201,-121.277618
2013.0,0.009,53.965065,-122.440414
2013.0,0.009,53.809116,-120.903015
2013.0,0.1,53.226017,-122.399582
2013.0,0.009,53.84605,-122.663185
2013.0,0.009,53.93235,-123.156219
2013.0,0.009,53.6637,-123.115036
2013.0,0.5,53.652901,-123.133667
2013.0,3.6,53.480484,-123.747749
2013.0,0.3,53.979233,-122.071014
2013.0,0.2,54.2994,-121.38195
2013.0,0.009,54.206085,-121.550499
2013.0,0.009,53.505916,-122.356453
2013.0,0.2,53.843933,-123.435768
2013.0,0.2,53.440983,-122.439552
2013.0,0.009,54.973801,-123.014198
2013.0,0.003,53.998001,-122.053482
2013.0,0.001,53.998001,-122.036636
2013.0,0.009,53.652084,-123.12355
2013.0,0.5,53.493568,-123.572067
2013.0,0.1,54.020416,-121.96917
2013.0,0.02,54.310882,-121.467583
2013.0,0.009,53.5942,-123.129517
2013.0,0.009,53.672832,-121.304001
2013.0,0.05,53.710583,-120.942566
2013.0,0.7,53.566833,-123.302315
2013.0,0.009,54.141048,-121.34185
2013.0,0.1,53.183082,-122.47467
2013.0,0.009,53.893665,-121.930496
2013.0,0.009,54.034016,-121.897636
2013.0,0.009,54.412483,-122.515999
2013.0,0.009,53.927051,-123.725616
2013.0,0.1,53.712151,-121.160301
2013.0,0.009,53.79335,-121.278
2013.0,0.009,52.991234,-119.08065
2013.0,16.5,53.654984,-120.168335
2013.0,0.009,53.105385,-120.032333
2013.0,405.0,52.956467,-120.004448
2013.0,0.009,52.213684,-118.421783
2013.0,0.02,52.218967,-118.442535
2013.0,0.009,52.4198,-118.788048
2013.0,0.5,53.514633,-120.577301
2013.0,5.0,52.9697,-119.851051
2013.0,0.009,52.852951,-119.366203
2013.0,131.0,52.952633,-120.059616
2013.0,0.012,52.370617,-118.742851
2013.0,0.009,53.567234,-120.818748
2013.0,0.009,53.162815,-119.775848
2013.0,0.012,53.520718,-120.601967
