wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year,pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,SNOW_ON_THE_GROUND
57.0, None, None,0.0, None,5.7, None,1.0, None, None, None,74.0,2019-04-02 00:00:00, None,14,,,,,,,,,,,,
59.0, None, None,0.0, None,5.1, None,0.9, None, None, None,73.0,2019-04-02 01:00:00, None,14,,,,,,,,,,,,
65.0, None, None,0.0, None,5.3, None,-0.4, None, None, None,82.0,2019-04-02 02:00:00, None,14,,,,,,,,,,,,
133.0, None, None,0.0, None,4.2, None,-0.7, None, None, None,83.0,2019-04-02 03:00:00, None,14,,,,,,,,,,,,
69.0, None, None,0.0, None,5.3, None,-1.5, None, None, None,88.0,2019-04-02 04:00:00, None,14,,,,,,,,,,,,
109.0, None, None,0.0, None,4.5, None,-1.9, None, None, None,88.0,2019-04-02 05:00:00, None,14,,,,,,,,,,,,
99.0, None, None,0.0, None,4.2, None,-1.8, None, None, None,88.0,2019-04-02 06:00:00, None,14,,,,,,,,,,,,
76.0, None, None,0.0, None,4.1, None,-1.4, None, None, None,88.0,2019-04-02 07:00:00, None,14,,,,,,,,,,,,
286.0, None, None,0.0, None,6.2, None,2.6, None, None, None,72.0,2019-04-02 08:00:00, None,14,,,,,,,,,,,,
246.0, None, None,0.0, None,3.6, None,6.1, None, None, None,55.0,2019-04-02 09:00:00, None,14,,,,,,,,,,,,
251.0, None, None,0.0, None,6.2, None,8.5, None, None, None,43.0,2019-04-02 10:00:00, None,14,,,,,,,,,,,,
280.0, None, None,0.0, None,6.6, None,11.5, None, None, None,33.0,2019-04-02 11:00:00, None,14,,,,,,,,,,,,
317.0, None, None,0.0, None,8.5, None,13.0, None, None, None,32.0,2019-04-02 12:00:00, None,14,,,,,,,,,,,,
313.0, None, None,0.0, None,9.9, None,14.9, None, None, None,23.0,2019-04-02 13:00:00, None,14,,,,,,,,,,,,
333.0, None, None,0.0, None,8.5, None,16.4, None, None, None,20.0,2019-04-02 14:00:00, None,14,,,,,,,,,,,,
2.0, None, None,0.0, None,8.6, None,17.0, None, None, None,16.0,2019-04-02 15:00:00, None,14,,,,,,,,,,,,
317.0, None, None,0.0, None,11.1, None,16.8, None, None, None,17.0,2019-04-02 16:00:00, None,14,,,,,,,,,,,,
330.0, None, None,0.0, None,6.7, None,16.2, None, None, None,19.0,2019-04-02 17:00:00, None,14,,,,,,,,,,,,
102.0, None, None,0.0, None,8.4, None,9.9, None, None, None,38.0,2019-04-02 18:00:00, None,14,,,,,,,,,,,,
108.0, None, None,0.0, None,15.9, None,11.1, None, None, None,27.0,2019-04-02 19:00:00, None,14,,,,,,,,,,,,
103.0, None, None,0.0, None,8.9, None,9.1, None, None, None,30.0,2019-04-02 20:00:00, None,14,,,,,,,,,,,,
140.0, None, None,0.0, None,6.2, None,6.0, None, None, None,48.0,2019-04-02 21:00:00, None,14,,,,,,,,,,,,
116.0, None, None,0.0, None,6.0, None,3.9, None, None, None,54.0,2019-04-02 22:00:00, None,14,,,,,,,,,,,,
125.0, None, None,0.0, None,3.8, None,3.4, None, None, None,52.0,2019-04-02 23:00:00, None,14,,,,,,,,,,,,
97.0, None, None,0.0, None,5.0, None,2.5, None, None, None,54.0,2019-04-03 00:00:00, None,14,,,,,,,,,,,,
91.0, None, None,0.0, None,5.2, None,1.5, None, None, None,67.0,2019-04-03 01:00:00, None,14,,,,,,,,,,,,
90.0, None, None,0.0, None,4.7, None,1.2, None, None, None,73.0,2019-04-03 02:00:00, None,14,,,,,,,,,,,,
57.0, None, None,0.0, None,3.8, None,1.0, None, None, None,74.0,2019-04-03 03:00:00, None,14,,,,,,,,,,,,
134.0, None, None,0.0, None,3.0, None,1.2, None, None, None,69.0,2019-04-03 04:00:00, None,14,,,,,,,,,,,,
100.0, None, None,0.0, None,2.0, None,1.1, None, None, None,74.0,2019-04-03 05:00:00, None,14,,,,,,,,,,,,
182.0, None, None,0.0, None,2.5, None,1.4, None, None, None,75.0,2019-04-03 06:00:00, None,14,,,,,,,,,,,,
18.0, None, None,0.0, None,3.9, None,2.4, None, None, None,69.0,2019-04-03 07:00:00, None,14,,,,,,,,,,,,
188.0, None, None,0.0, None,3.8, None,3.9, None, None, None,67.0,2019-04-03 08:00:00, None,14,,,,,,,,,,,,
306.0, None, None,0.0, None,3.3, None,5.6, None, None, None,61.0,2019-04-03 09:00:00, None,14,,,,,,,,,,,,
276.0, None, None,0.0, None,5.4, None,6.0, None, None, None,62.0,2019-04-03 10:00:00, None,14,,,,,,,,,,,,
204.0, None, None,0.0, None,3.1, None,7.7, None, None, None,60.0,2019-04-03 11:00:00, None,14,,,,,,,,,,,,
310.0, None, None,0.0, None,5.2, None,6.7, None, None, None,70.0,2019-04-03 12:00:00, None,14,,,,,,,,,,,,
330.0, None, None,0.2, None,7.5, None,5.1, None, None, None,83.0,2019-04-03 13:00:00, None,14,,,,,,,,,,,,
297.0, None, None,0.8, None,3.5, None,4.7, None, None, None,85.0,2019-04-03 14:00:00, None,14,,,,,,,,,,,,
94.0, None, None,0.8, None,3.0, None,5.2, None, None, None,91.0,2019-04-03 15:00:00, None,14,,,,,,,,,,,,
56.0, None, None,0.4, None,4.4, None,5.4, None, None, None,94.0,2019-04-03 16:00:00, None,14,,,,,,,,,,,,
57.0, None, None,0.0, None,2.7, None,5.2, None, None, None,94.0,2019-04-03 17:00:00, None,14,,,,,,,,,,,,
319.0, None, None,0.0, None,4.9, None,5.1, None, None, None,94.0,2019-04-03 18:00:00, None,14,,,,,,,,,,,,
134.0, None, None,0.0, None,5.5, None,4.4, None, None, None,99.0,2019-04-03 19:00:00, None,14,,,,,,,,,,,,
184.0, None, None,0.2, None,6.8, None,4.4, None, None, None,100.0,2019-04-03 20:00:00, None,14,,,,,,,,,,,,
63.0, None, None,0.2, None,4.8, None,4.1, None, None, None,100.0,2019-04-03 21:00:00, None,14,,,,,,,,,,,,
