station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, 3.707, None, None, None, None, None, 8.87, None, 3.869, 121.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None, None
None, 3.421, None, None, None, None, None, 6.045, None, 5.17, 114.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None, None
None, 3.701, None, None, None, None, None, 5.145, None, 9.42, 116.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None, None
None, 3.822, None, None, None, None, None, 7.495, None, 12.53, 111.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None, None
None, 3.59, None, None, None, None, None, 4.851, None, 15.72, 117.2, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None, None
None, 3.692, None, None, None, None, None, 3.753, None, 18.2, 124.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None, None
None, 3.484, None, None, None, None, None, 5.397, None, 18.9, 117.4, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None, None
None, 3.557, None, None, None, None, None, 8.37, None, 19.15, 119.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None, None
None, 3.87, None, None, None, None, None, 5.686, None, 19.92, 117.9, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None, None
None, 4.144, None, None, None, None, None, 5.646, None, 19.21, 118.5, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None, None
