station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
29.13, None, None, None, 2.971, 238.4, None, None, -26.0, None, None, None, None, None, None, 143.9, None, -12.85, None, None, None, None, 24.93, None, None, None, None, 2016-01-01 00:00:00, None
29.1, None, None, None, 1.294, 241.6, None, None, -26.0, None, None, None, None, None, None, 143.3, None, -13.47, None, None, None, None, 24.24, None, None, None, None, 2016-01-01 01:00:00, None
29.12, None, None, None, 0.479, 289.1, None, None, -27.0, None, None, None, None, None, None, 143.4, None, -14.29, None, None, None, None, 37.02, None, None, None, None, 2016-01-01 02:00:00, None
29.04, None, None, None, 0.539, 271.6, None, None, -27.0, None, None, None, None, None, None, 143.2, None, -14.58, None, None, None, None, 37.08, None, None, None, None, 2016-01-01 03:00:00, None
29.03, None, None, None, 0.741, 282.0, None, None, -27.0, None, None, None, None, None, None, 143.3, None, -14.72, None, None, None, None, 30.79, None, None, None, None, 2016-01-01 04:00:00, None
29.06, None, None, None, 0.8, 292.8, None, None, -27.0, None, None, None, None, None, None, 144.1, None, -14.26, None, None, None, None, 48.59, None, None, None, None, 2016-01-01 05:00:00, None
29.04, None, None, None, 0.865, 264.2, None, None, -27.0, None, None, None, None, None, None, 143.9, None, -14.01, None, None, None, None, 34.84, None, None, None, None, 2016-01-01 06:00:00, None
29.07, None, None, None, 0.953, 271.3, None, None, -26.0, None, None, None, None, None, None, 143.4, None, -13.36, None, None, None, None, 32.47, None, None, None, None, 2016-01-01 07:00:00, None
29.06, None, None, None, 1.842, 242.8, None, None, -25.0, None, None, None, None, None, None, 144.2, None, -12.24, None, None, None, None, 28.91, None, None, None, None, 2016-01-01 08:00:00, None
29.11, None, None, None, 0.949, 249.4, None, None, -26.0, None, None, None, None, None, None, 142.9, None, -13.13, None, None, None, None, 37.82, None, None, None, None, 2016-01-01 09:00:00, None
29.03, None, None, None, 1.267, 256.8, None, None, -27.0, None, None, None, None, None, None, 143.1, None, -13.79, None, None, None, None, 38.86, None, None, None, None, 2016-01-01 10:00:00, None
29.14, None, None, None, 0.945, 248.8, None, None, -26.0, None, None, None, None, None, None, 142.5, None, -13.05, None, None, None, None, 42.48, None, None, None, None, 2016-01-01 11:00:00, None
28.93, None, None, None, 0.554, 265.0, None, None, -25.0, None, None, None, None, None, None, 141.9, None, -11.99, None, None, None, None, 26.93, None, None, None, None, 2016-01-01 12:00:00, None
28.81, None, None, None, 1.177, 269.4, None, None, -26.0, None, None, None, None, None, None, 143.1, None, -12.88, None, None, None, None, 35.32, None, None, None, None, 2016-01-01 13:00:00, None
28.72, None, None, None, 0.518, 263.9, None, None, -25.0, None, None, None, None, None, None, 142.6, None, -12.01, None, None, None, None, 36.56, None, None, None, None, 2016-01-01 14:00:00, None
28.95, None, None, None, 1.114, 284.9, None, None, -25.0, None, None, None, None, None, None, 144.0, None, -11.86, None, None, None, None, 34.87, None, None, None, None, 2016-01-01 15:00:00, None
28.87, None, None, None, 0.824, 266.2, None, None, -24.0, None, None, None, None, None, None, 143.4, None, -11.22, None, None, None, None, 32.76, None, None, None, None, 2016-01-01 16:00:00, None
28.91, None, None, None, 0.842, 280.6, None, None, -24.0, None, None, None, None, None, None, 143.3, None, -11.17, None, None, None, None, 37.74, None, None, None, None, 2016-01-01 17:00:00, None
28.71, None, None, None, 0.665, 269.3, None, None, -24.0, None, None, None, None, None, None, 143.5, None, -10.88, None, None, None, None, 47.96, None, None, None, None, 2016-01-01 18:00:00, None
28.67, None, None, None, 1.203, 269.7, None, None, -24.0, None, None, None, None, None, None, 142.4, None, -10.76, None, None, None, None, 34.84, None, None, None, None, 2016-01-01 19:00:00, None
28.6, None, None, None, 1.819, 263.5, None, None, -24.0, None, None, None, None, None, None, 142.0, None, -11.23, None, None, None, None, 35.17, None, None, None, None, 2016-01-01 20:00:00, None
28.54, None, None, None, 1.375, 299.7, None, None, -26.0, None, None, None, None, None, None, 143.0, None, -12.54, None, None, None, None, 31.22, None, None, None, None, 2016-01-01 21:00:00, None
28.74, None, None, None, 2.186, 268.6, None, None, -25.0, None, None, None, None, None, None, 143.1, None, -12.45, None, None, None, None, 32.12, None, None, None, None, 2016-01-01 22:00:00, None
