station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, 1.388, 17.21, None, None, None, None, 9.49, None, 5.275, 66.88, None, None, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None, 210.5
None, 1.532, 15.34, None, None, None, None, 14.94, None, 5.17, 69.85, None, None, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None, 210.7
None, 1.502, 17.06, None, None, None, None, 13.17, None, 5.591, 58.69, None, None, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None, 210.4
None, 1.776, 16.28, None, None, None, None, 15.56, None, 6.651, 54.62, None, None, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None, 210.3
None, 0.946, 21.94, None, None, None, None, 15.89, None, 7.851, 58.47, None, None, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None, 210.2
None, 0.841, 21.24, None, None, None, None, 15.84, None, 8.39, 59.87, None, None, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None, 209.8
None, 1.066, 20.3, None, None, None, None, 14.66, None, 9.32, 59.24, None, None, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None, 210.3
None, 1.496, 18.45, None, None, None, None, 14.15, None, 9.08, 60.2, None, None, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None, 209.7
None, 2.481, 17.64, None, None, None, None, 15.38, None, 10.28, 57.77, None, None, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None, 209.2
None, 2.753, 16.59, None, None, None, None, 14.45, None, 9.4, 57.54, None, None, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None, 209.3
None, 3.199, 16.84, None, None, None, None, 13.85, None, 7.517, 59.32, None, None, None, None, None, None, None, None, None, 2016-01-01 10:00:00, None, 209.2
None, 3.531, 16.64, None, None, None, None, 14.89, None, 7.213, 60.37, None, None, None, None, None, None, None, None, None, 2016-01-01 11:00:00, None, 209.2
None, 3.992, 18.45, None, None, None, None, 12.97, None, 5.526, 58.64, None, None, None, None, None, None, None, None, None, 2016-01-01 12:00:00, None, 208.9
None, 6.164, 15.81, None, None, None, None, 14.05, None, 5.517, 52.49, None, None, None, None, None, None, None, None, None, 2016-01-01 13:00:00, None, 207.1
None, 4.908, 18.73, None, None, None, None, 13.74, None, 5.631, 58.41, None, None, None, None, None, None, None, None, None, 2016-01-01 14:00:00, None, 208.4
None, 3.383, 22.47, None, None, None, None, 13.87, None, 7.312, 58.44, None, None, None, None, None, None, None, None, None, 2016-01-01 15:00:00, None, 209.1
None, 2.088, 26.82, None, None, None, None, 15.31, None, 9.93, 56.16, None, None, None, None, None, None, None, None, None, 2016-01-01 16:00:00, None, 208.6
None, 2.004, 24.48, None, None, None, None, 14.58, None, 11.65, 54.73, None, None, None, None, None, None, None, None, None, 2016-01-01 17:00:00, None, 208.2
None, 1.644, 21.31, None, None, None, None, 14.47, None, 11.13, 56.38, None, None, None, None, None, None, None, None, None, 2016-01-01 18:00:00, None, 209.2
None, 2.533, 20.48, None, None, None, None, 15.36, None, 13.12, 56.19, None, None, None, None, None, None, None, None, None, 2016-01-01 19:00:00, None, 208.3
None, 1.199, 27.04, None, None, None, None, 15.62, None, 13.44, 56.57, None, None, None, None, None, None, None, None, None, 2016-01-01 20:00:00, None, 207.7
None, 1.96, 24.28, None, None, None, None, 13.72, None, 15.45, 51.51, None, None, None, None, None, None, None, None, None, 2016-01-01 21:00:00, None, 207.8
None, -0.274, 33.79, None, None, None, None, 14.63, None, 11.19, 59.51, None, None, None, None, None, None, None, None, None, 2016-01-01 22:00:00, None, 207.9
None, -1.315, 35.79, None, None, None, None, 14.79, None, 15.21, 55.23, None, None, None, None, None, None, None, None, None, 2016-01-01 23:00:00, None, 207.6
None, -1.279, 30.89, None, None, None, None, 14.24, None, 13.25, 56.45, None, None, None, None, None, None, None, None, None, 2016-01-02 00:00:00, None, 207.7
None, -1.679, 31.43, None, None, None, None, 13.95, None, 14.86, 51.54, None, None, None, None, None, None, None, None, None, 2016-01-02 01:00:00, None, 207.6
None, -0.596, 27.27, None, None, None, None, 15.46, None, 14.8, 55.68, None, None, None, None, None, None, None, None, None, 2016-01-02 02:00:00, None, 207.3
None, -0.837, 25.39, None, None, None, None, 13.78, None, 19.26, 53.96, None, None, None, None, None, None, None, None, None, 2016-01-02 03:00:00, None, 206.7
None, -0.52, 25.32, None, None, None, None, 15.54, None, 16.3, 53.5, None, None, None, None, None, None, None, None, None, 2016-01-02 04:00:00, None, 206.9
None, -3.126, 34.24, None, None, None, None, 13.76, None, 12.11, 60.1, None, None, None, None, None, None, None, None, None, 2016-01-02 05:00:00, None, 206.7
None, -3.3, 36.07, None, None, None, None, 14.76, None, 12.64, 56.59, None, None, None, None, None, None, None, None, None, 2016-01-02 06:00:00, None, 206.9
None, -0.877, 25.28, None, None, None, None, 13.8, None, 15.34, 56.61, None, None, None, None, None, None, None, None, None, 2016-01-02 07:00:00, None, 207.0
None, -1.107, 27.39, None, None, None, None, 14.76, None, 19.36, 52.51, None, None, None, None, None, None, None, None, None, 2016-01-02 08:00:00, None, 206.6
None, -1.738, 30.15, None, None, None, None, 15.9, None, 19.96, 52.84, None, None, None, None, None, None, None, None, None, 2016-01-02 09:00:00, None, 206.0
None, -2.112, 34.69, None, None, None, None, 15.17, None, 18.72, 52.15, None, None, None, None, None, None, None, None, None, 2016-01-02 10:00:00, None, 206.0
None, -1.916, 35.92, None, None, None, None, 15.5, None, 18.99, 52.19, None, None, None, None, None, None, None, None, None, 2016-01-02 11:00:00, None, 205.8
None, -1.546, 35.02, None, None, None, None, 14.49, None, 18.66, 52.3, None, None, None, None, None, None, None, None, None, 2016-01-02 12:00:00, None, 205.5
None, -2.092, 38.19, None, None, None, None, 14.93, None, 19.63, 52.74, None, None, None, None, None, None, None, None, None, 2016-01-02 13:00:00, None, 205.0
None, -2.669, 40.51, None, None, None, None, 15.25, None, 18.87, 53.95, None, None, None, None, None, None, None, None, None, 2016-01-02 14:00:00, None, 205.4
