station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
76.6, None, None, None, 3.652, 211.8, None, None, -4.0, None, None, None, None, None, None, None, None, -0.439, None, None, None, None, 24.84, None, None, None, None, 2016-01-01 00:00:00, None
76.5, None, None, None, 1.414, 260.7, None, None, -4.0, None, None, None, None, None, None, None, None, -1.16, None, None, None, None, 47.82, None, None, None, None, 2016-01-01 01:00:00, None
76.3, None, None, None, 5.101, 235.5, None, None, -5.0, None, None, None, None, None, None, None, None, -1.5, None, None, None, None, 32.32, None, None, None, None, 2016-01-01 02:00:00, None
76.1, None, None, None, 0.943, 251.3, None, None, -4.0, None, None, None, None, None, None, None, None, -0.962, None, None, None, None, 46.61, None, None, None, None, 2016-01-01 03:00:00, None
76.0, None, None, None, 0.932, 180.7, None, None, -4.0, None, None, None, None, None, None, None, None, -0.279, None, None, None, None, 59.98, None, None, None, None, 2016-01-01 04:00:00, None
76.0, None, None, None, 0.246, 279.7, None, None, -4.0, None, None, None, None, None, None, None, None, -0.423, None, None, None, None, 33.36, None, None, None, None, 2016-01-01 05:00:00, None
76.0, None, None, None, 0.961, 210.1, None, None, -4.0, None, None, None, None, None, None, None, None, 0.057, None, None, None, None, 26.39, None, None, None, None, 2016-01-01 06:00:00, None
75.4, None, None, None, 2.978, 291.8, None, None, -4.0, None, None, None, None, None, None, None, None, -0.141, None, None, None, None, 43.14, None, None, None, None, 2016-01-01 07:00:00, None
75.3, None, None, None, 6.623, 311.3, None, None, -3.0, None, None, None, None, None, None, None, None, 0.847, None, None, None, None, 0.856, None, None, None, None, 2016-01-01 08:00:00, None
72.4, None, None, None, 4.871, 310.1, None, None, -2.0, None, None, None, None, None, None, None, None, 2.837, None, None, None, None, 14.56, None, None, None, None, 2016-01-01 09:00:00, None
70.8, None, None, None, 3.011, 185.8, None, None, -2.0, None, None, None, None, None, None, None, None, 3.142, None, None, None, None, 21.99, None, None, None, None, 2016-01-01 10:00:00, None
71.7, None, None, None, 1.249, 296.0, None, None, -2.0, None, None, None, None, None, None, None, None, 2.348, None, None, None, None, 46.01, None, None, None, None, 2016-01-01 11:00:00, None
72.8, None, None, None, 2.344, 192.2, None, None, -2.0, None, None, None, None, None, None, None, None, 2.089, None, None, None, None, 42.13, None, None, None, None, 2016-01-01 12:00:00, None
69.89, None, None, None, 0.737, 192.5, None, None, 0.0, None, None, None, None, None, None, None, None, 4.863, None, None, None, None, 45.17, None, None, None, None, 2016-01-01 13:00:00, None
71.7, None, None, None, 2.338, 312.8, None, None, -2.0, None, None, None, None, None, None, None, None, 2.088, None, None, None, None, 8.6, None, None, None, None, 2016-01-01 14:00:00, None
71.6, None, None, None, 3.915, 310.8, None, None, -1.0, None, None, None, None, None, None, None, None, 3.619, None, None, None, None, 1.184, None, None, None, None, 2016-01-01 15:00:00, None
74.3, None, None, None, 0.428, 244.7, None, None, -3.0, None, None, None, None, None, None, None, None, 1.105, None, None, None, None, 53.72, None, None, None, None, 2016-01-01 16:00:00, None
74.1, None, None, None, 1.188, 189.6, None, None, -4.0, None, None, None, None, None, None, None, None, 0.471, None, None, None, None, 25.01, None, None, None, None, 2016-01-01 17:00:00, None
74.1, None, None, None, 1.129, 218.1, None, None, -3.0, None, None, None, None, None, None, None, None, 0.918, None, None, None, None, 34.61, None, None, None, None, 2016-01-01 18:00:00, None
74.3, None, None, None, 1.798, 310.3, None, None, -3.0, None, None, None, None, None, None, None, None, 1.131, None, None, None, None, 11.43, None, None, None, None, 2016-01-01 19:00:00, None
74.1, None, None, None, 0.479, 275.4, None, None, -3.0, None, None, None, None, None, None, None, None, 0.891, None, None, None, None, 47.83, None, None, None, None, 2016-01-01 20:00:00, None
74.2, None, None, None, 0.966, 303.2, None, None, -3.0, None, None, None, None, None, None, None, None, 0.703, None, None, None, None, 60.44, None, None, None, None, 2016-01-01 21:00:00, None
73.7, None, None, None, 0.747, 16.98, None, None, -3.0, None, None, None, None, None, None, None, None, 1.37, None, None, None, None, 65.8, None, None, None, None, 2016-01-01 22:00:00, None
74.1, None, None, None, 1.231, 41.37, None, None, -3.0, None, None, None, None, None, None, None, None, 1.351, None, None, None, None, 65.88, None, None, None, None, 2016-01-01 23:00:00, None
73.4, None, None, None, 0.97, 200.4, None, None, -3.0, None, None, None, None, None, None, None, None, 1.637, None, None, None, None, 65.93, None, None, None, None, 2016-01-02 00:00:00, None
73.6, None, None, None, 5.579, 183.1, None, None, -3.0, None, None, None, None, None, None, None, None, 1.349, None, None, None, None, 30.26, None, None, None, None, 2016-01-02 01:00:00, None
73.6, None, None, None, 4.417, 197.5, None, None, -2.0, None, None, None, None, None, None, None, None, 1.828, None, None, None, None, 29.75, None, None, None, None, 2016-01-02 02:00:00, None
73.3, None, None, None, 3.081, 228.6, None, None, -3.0, None, None, None, None, None, None, None, None, 1.253, None, None, None, None, 32.93, None, None, None, None, 2016-01-02 03:00:00, None
73.3, None, None, None, 1.652, 305.3, None, None, -3.0, None, None, None, None, None, None, None, None, 1.226, None, None, None, None, 19.76, None, None, None, None, 2016-01-02 04:00:00, None
73.4, None, None, None, 10.59, 310.1, None, None, -3.0, None, None, None, None, None, None, None, None, 0.984, None, None, None, None, 0.965, None, None, None, None, 2016-01-02 05:00:00, None
73.2, None, None, None, 5.608, 309.7, None, None, -4.0, None, None, None, None, None, None, None, None, 0.727, None, None, None, None, 1.954, None, None, None, None, 2016-01-02 06:00:00, None
73.1, None, None, None, 4.785, 310.0, None, None, -4.0, None, None, None, None, None, None, None, None, 0.745, None, None, None, None, 1.406, None, None, None, None, 2016-01-02 07:00:00, None
72.8, None, None, None, 8.16, 309.8, None, None, -3.0, None, None, None, None, None, None, None, None, 0.979, None, None, None, None, 1.108, None, None, None, None, 2016-01-02 08:00:00, None
71.9, None, None, None, 11.67, 310.4, None, None, -3.0, None, None, None, None, None, None, None, None, 2.009, None, None, None, None, 0.681, None, None, None, None, 2016-01-02 09:00:00, None
70.5, None, None, None, 6.852, 309.4, None, None, -2.0, None, None, None, None, None, None, None, None, 2.885, None, None, None, None, 1.88, None, None, None, None, 2016-01-02 10:00:00, None
69.29, None, None, None, 2.448, 309.4, None, None, -2.0, None, None, None, None, None, None, None, None, 3.477, None, None, None, None, 1.919, None, None, None, None, 2016-01-02 11:00:00, None
70.0, None, None, None, 1.466, 303.8, None, None, -1.0, None, None, None, None, None, None, None, None, 3.691, None, None, None, None, 6.524, None, None, None, None, 2016-01-02 12:00:00, None
68.66, None, None, None, 2.756, 298.5, None, None, -1.0, None, None, None, None, None, None, None, None, 4.598, None, None, None, None, 3.825, None, None, None, None, 2016-01-02 13:00:00, None
68.33, None, None, None, 2.092, 261.3, None, None, -2.0, None, None, None, None, None, None, None, None, 3.072, None, None, None, None, 18.08, None, None, None, None, 2016-01-02 14:00:00, None
70.1, None, None, None, 7.39, 223.6, None, None, -4.0, None, None, None, None, None, None, None, None, 0.7, None, None, None, None, 16.08, None, None, None, None, 2016-01-02 15:00:00, None
72.1, None, None, None, 7.71, 226.0, None, None, -5.0, None, None, None, None, None, None, None, None, -0.712, None, None, None, None, 18.61, None, None, None, None, 2016-01-02 16:00:00, None
72.2, None, None, None, 4.125, 259.0, None, None, -4.0, None, None, None, None, None, None, None, None, -0.576, None, None, None, None, 18.89, None, None, None, None, 2016-01-02 17:00:00, None
71.8, None, None, None, 1.955, 262.4, None, None, -4.0, None, None, None, None, None, None, None, None, -0.514, None, None, None, None, 23.87, None, None, None, None, 2016-01-02 18:00:00, None
72.1, None, None, None, 1.136, 246.9, None, None, -4.0, None, None, None, None, None, None, None, None, -0.399, None, None, None, None, 46.59, None, None, None, None, 2016-01-02 19:00:00, None
71.6, None, None, None, 2.88, 237.0, None, None, -4.0, None, None, None, None, None, None, None, None, -0.351, None, None, None, None, 30.63, None, None, None, None, 2016-01-02 20:00:00, None
71.3, None, None, None, 1.467, 255.8, None, None, -5.0, None, None, None, None, None, None, None, None, -1.213, None, None, None, None, 15.13, None, None, None, None, 2016-01-02 21:00:00, None
71.5, None, None, None, 3.918, 307.7, None, None, -5.0, None, None, None, None, None, None, None, None, -1.117, None, None, None, None, 4.281, None, None, None, None, 2016-01-02 22:00:00, None
71.7, None, None, None, 2.871, 299.2, None, None, -6.0, None, None, None, None, None, None, None, None, -1.884, None, None, None, None, 6.009, None, None, None, None, 2016-01-02 23:00:00, None
71.2, None, None, None, 3.431, 308.3, None, None, -6.0, None, None, None, None, None, None, None, None, -2.315, None, None, None, None, 2.521, None, None, None, None, 2016-01-03 00:00:00, None
71.3, None, None, None, 4.371, 310.1, None, None, -7.0, None, None, None, None, None, None, None, None, -3.417, None, None, None, None, 0.874, None, None, None, None, 2016-01-03 01:00:00, None
71.5, None, None, None, 5.216, 308.2, None, None, -8.0, None, None, None, None, None, None, None, None, -4.519, None, None, None, None, 2.745, None, None, None, None, 2016-01-03 02:00:00, None
70.9, None, None, None, 4.531, 307.7, None, None, -8.0, None, None, None, None, None, None, None, None, -4.027, None, None, None, None, 2.946, None, None, None, None, 2016-01-03 03:00:00, None
70.9, None, None, None, 6.829, 307.3, None, None, -9.0, None, None, None, None, None, None, None, None, -5.416, None, None, None, None, 1.754, None, None, None, None, 2016-01-03 04:00:00, None
72.3, None, None, None, 11.09, 308.3, None, None, -10.0, None, None, None, None, None, None, None, None, -6.031, None, None, None, None, 1.967, None, None, None, None, 2016-01-03 05:00:00, None
70.3, None, None, None, 5.695, 308.8, None, None, -9.0, None, None, None, None, None, None, None, None, -5.311, None, None, None, None, 9.78, None, None, None, None, 2016-01-03 06:00:00, None
70.5, None, None, None, 7.87, 305.8, None, None, -11.0, None, None, None, None, None, None, None, None, -7.42, None, None, None, None, 6.625, None, None, None, None, 2016-01-03 07:00:00, None
71.5, None, None, None, 9.61, 307.6, None, None, -12.0, None, None, None, None, None, None, None, None, -8.23, None, None, None, None, 2.299, None, None, None, None, 2016-01-03 08:00:00, None
68.93, None, None, None, 12.23, 308.9, None, None, -12.0, None, None, None, None, None, None, None, None, -8.24, None, None, None, None, 1.815, None, None, None, None, 2016-01-03 09:00:00, None
69.64, None, None, None, 11.98, 306.4, None, None, -13.0, None, None, None, None, None, None, None, None, -8.69, None, None, None, None, 3.071, None, None, None, None, 2016-01-03 10:00:00, None
69.69, None, None, None, 10.29, 305.9, None, None, -11.0, None, None, None, None, None, None, None, None, -7.41, None, None, None, None, 1.861, None, None, None, None, 2016-01-03 11:00:00, None
70.4, None, None, None, 16.87, 307.0, None, None, -12.0, None, None, None, None, None, None, None, None, -8.09, None, None, None, None, 1.804, None, None, None, None, 2016-01-03 12:00:00, None
69.76, None, None, None, 19.86, 306.1, None, None, -11.0, None, None, None, None, None, None, None, None, -6.936, None, None, None, None, 2.627, None, None, None, None, 2016-01-03 13:00:00, None
69.56, None, None, None, 16.95, 306.3, None, None, -11.0, None, None, None, None, None, None, None, None, -7.37, None, None, None, None, 1.623, None, None, None, None, 2016-01-03 14:00:00, None
69.89, None, None, None, 14.56, 304.1, None, None, -11.0, None, None, None, None, None, None, None, None, -7.37, None, None, None, None, 2.325, None, None, None, None, 2016-01-03 15:00:00, None
70.6, None, None, None, 13.26, 305.1, None, None, -13.0, None, None, None, None, None, None, None, None, -9.03, None, None, None, None, 1.893, None, None, None, None, 2016-01-03 16:00:00, None
70.5, None, None, None, 13.24, 307.3, None, None, -14.0, None, None, None, None, None, None, None, None, -9.91, None, None, None, None, 1.447, None, None, None, None, 2016-01-03 17:00:00, None
71.0, None, None, None, 16.53, 307.5, None, None, -13.0, None, None, None, None, None, None, None, None, -8.75, None, None, None, None, 2.014, None, None, None, None, 2016-01-03 18:00:00, None
70.6, None, None, None, 18.94, 307.0, None, None, -14.0, None, None, None, None, None, None, None, None, -10.24, None, None, None, None, 2.391, None, None, None, None, 2016-01-03 19:00:00, None
70.7, None, None, None, 19.76, 306.5, None, None, -14.0, None, None, None, None, None, None, None, None, -9.86, None, None, None, None, 3.064, None, None, None, None, 2016-01-03 20:00:00, None
70.9, None, None, None, 10.08, 307.8, None, None, -13.0, None, None, None, None, None, None, None, None, -9.57, None, None, None, None, 4.937, None, None, None, None, 2016-01-03 21:00:00, None
70.8, None, None, None, 16.34, 307.7, None, None, -13.0, None, None, None, None, None, None, None, None, -9.19, None, None, None, None, 2.013, None, None, None, None, 2016-01-03 22:00:00, None
71.1, None, None, None, 4.579, 302.9, None, None, -13.0, None, None, None, None, None, None, None, None, -9.29, None, None, None, None, 25.89, None, None, None, None, 2016-01-03 23:00:00, None
70.9, None, None, None, 7.72, 308.1, None, None, -13.0, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, 7.41, None, None, None, None, 2016-01-04 00:00:00, None
