station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, None, -7.75, 70.7, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2016-01-01 00:00:00, None, None, 44.93
None, None, -8.09, 72.5, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2016-01-01 01:00:00, None, None, 45.1
None, None, -7.85, 75.0, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2016-01-01 02:00:00, None, None, 45.08
None, None, -7.51, 67.06, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2016-01-01 03:00:00, None, None, 45.03
None, None, -7.47, 72.0, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2016-01-01 04:00:00, None, None, 45.15
None, None, -7.85, 67.53, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2016-01-01 05:00:00, None, None, 45.01
None, None, -7.61, 69.74, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, 2016-01-01 06:00:00, None, None, 45.25
None, None, -7.13, 69.07, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2016-01-01 07:00:00, None, None, 45.02
None, None, -7.71, 72.6, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2016-01-01 08:00:00, None, None, 45.01
None, None, -6.796, 69.6, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2016-01-01 09:00:00, None, None, 45.3
None, None, -5.359, 62.1, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, 2016-01-01 10:00:00, None, None, 45.26
