station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, snwfl_amt_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, None, -7.65, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 00:00:00, None, 25.31, None
None, None, -7.49, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 01:00:00, None, 25.24, None
None, None, -7.44, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 02:00:00, None, 25.38, None
None, None, -7.26, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 03:00:00, None, 25.45, None
None, None, -7.07, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 04:00:00, None, 25.25, None
None, None, -6.807, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 05:00:00, None, 25.33, None
None, None, -6.807, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 06:00:00, None, 25.3, None
None, None, -6.566, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 07:00:00, None, 25.27, None
None, None, -6.489, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 08:00:00, None, 25.23, None
None, None, -6.391, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 09:00:00, None, 25.15, None
None, None, -6.093, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 10:00:00, None, 25.14, None
None, None, -5.76, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 11:00:00, None, 24.95, None
None, None, -5.386, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 12:00:00, None, 25.07, None
None, None, -5.013, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 13:00:00, None, 25.03, None
None, None, -4.565, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 14:00:00, None, 24.95, None
None, None, -4.555, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2016-01-01 15:00:00, None, 24.84, None
