station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, DEW_POINT, ATMOSPHERIC_PRESSURE, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, -16.44, None, None, 2016-01-01 00:00:00, None, None, 11.42, 12.87, 53.75, None, None, None, None, None, None, 134.5
None, -16.31, None, None, 2016-01-01 01:00:00, None, None, 12.29, 13.24, 55.7, None, None, None, None, None, None, 135.0
None, -16.21, None, None, 2016-01-01 02:00:00, None, None, 14.45, 13.05, 55.71, None, None, None, None, None, None, 135.1
None, -15.74, None, None, 2016-01-01 03:00:00, None, None, 16.24, 13.46, 62.58, None, None, None, None, None, None, 134.9
None, -15.53, None, None, 2016-01-01 04:00:00, None, None, 23.5, 9.66, 54.17, None, None, None, None, None, None, 134.6
None, -15.87, None, None, 2016-01-01 05:00:00, None, None, 13.92, 14.39, 50.69, None, None, None, None, None, None, 134.4
None, -15.96, None, None, 2016-01-01 06:00:00, None, None, 12.46, 17.63, 58.24, None, None, None, None, None, None, 134.1
None, -15.89, None, None, 2016-01-01 07:00:00, None, None, 11.16, 17.73, 57.37, None, None, None, None, None, None, 133.8
None, -15.93, None, None, 2016-01-01 08:00:00, None, None, 11.95, 15.4, 57.14, None, None, None, None, None, None, 133.6
None, -15.92, None, None, 2016-01-01 09:00:00, None, None, 18.14, 15.44, 60.21, None, None, None, None, None, None, 133.5
None, -15.54, None, None, 2016-01-01 10:00:00, None, None, 23.44, 12.68, 59.91, None, None, None, None, None, None, 133.3
None, -14.89, None, None, 2016-01-01 11:00:00, None, None, 15.63, 15.1, 58.56, None, None, None, None, None, None, 133.1
None, -14.24, None, None, 2016-01-01 12:00:00, None, None, 13.63, 18.42, 57.77, None, None, None, None, None, None, 133.0
None, -13.78, None, None, 2016-01-01 13:00:00, None, None, 13.49, 17.99, 55.62, None, None, None, None, None, None, 132.7
None, -13.52, None, None, 2016-01-01 14:00:00, None, None, 15.63, 14.63, 51.13, None, None, None, None, None, None, 132.9
None, -13.65, None, None, 2016-01-01 15:00:00, None, None, 13.3, 18.8, 54.25, None, None, None, None, None, None, 132.9
None, -13.74, None, None, 2016-01-01 16:00:00, None, None, 14.18, 20.14, 59.11, None, None, None, None, None, None, 132.8
None, -13.65, None, None, 2016-01-01 17:00:00, None, None, 12.64, 21.17, 51.67, None, None, None, None, None, None, 132.5
None, -13.12, None, None, 2016-01-01 18:00:00, None, None, 13.76, 20.81, 56.8, None, None, None, None, None, None, 132.5
None, -12.97, None, None, 2016-01-01 19:00:00, None, None, 13.59, 21.49, 51.3, None, None, None, None, None, None, 132.4
None, -12.21, None, None, 2016-01-01 20:00:00, None, None, 12.3, 22.6, 50.82, None, None, None, None, None, None, 132.2
None, -12.49, None, None, 2016-01-01 21:00:00, None, None, 14.54, 23.93, 47.68, None, None, None, None, None, None, 132.0
None, -12.8, None, None, 2016-01-01 22:00:00, None, None, 14.57, 24.08, 53.61, None, None, None, None, None, None, 131.4
None, -13.94, None, None, 2016-01-01 23:00:00, None, None, 15.92, 20.57, 52.65, None, None, None, None, None, None, 131.3
None, -14.74, None, None, 2016-01-02 00:00:00, None, None, 10.1, 22.49, 50.08, None, None, None, None, None, None, 131.1
None, -14.16, None, None, 2016-01-02 01:00:00, None, None, 11.43, 21.55, 53.53, None, None, None, None, None, None, 130.8
None, -13.97, None, None, 2016-01-02 02:00:00, None, None, 12.81, 22.24, 50.23, None, None, None, None, None, None, 130.9
None, -14.17, None, None, 2016-01-02 03:00:00, None, None, 12.45, 23.87, 48.52, None, None, None, None, None, None, 130.7
None, -13.79, None, None, 2016-01-02 04:00:00, None, None, 12.64, 23.09, 46.75, None, None, None, None, None, None, 130.7
None, -13.62, None, None, 2016-01-02 05:00:00, None, None, 13.36, 22.39, 49.59, None, None, None, None, None, None, 130.7
None, -13.38, None, None, 2016-01-02 06:00:00, None, None, 13.09, 19.93, 54.47, None, None, None, None, None, None, 130.7
None, -13.62, None, None, 2016-01-02 07:00:00, None, None, 13.06, 21.1, 51.72, None, None, None, None, None, None, 130.5
None, -13.0, None, None, 2016-01-02 08:00:00, None, None, 12.58, 21.49, 53.36, None, None, None, None, None, None, 130.6
None, -13.8, None, None, 2016-01-02 09:00:00, None, None, 12.33, 22.21, 54.66, None, None, None, None, None, None, 130.4
None, -13.2, None, None, 2016-01-02 10:00:00, None, None, 14.3, 19.81, 49.12, None, None, None, None, None, None, 130.4
