station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -4.35, 69.42, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 00:00:00, None, None, None
None, -4.64, 68.54, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 01:00:00, None, None, None
None, -5.122, 70.0, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 02:00:00, None, None, None
None, -4.253, 65.85, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 03:00:00, None, None, None
None, -5.315, 69.89, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 04:00:00, None, None, None
None, -4.64, 65.78, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 05:00:00, None, None, None
None, -4.977, 66.72, None, None, None, None, None, None, None, -10.0, None, None, None, 2016-01-01 06:00:00, None, None, None
None, -4.782, 66.86, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 07:00:00, None, None, None
None, -5.651, 66.72, None, None, None, None, None, None, None, -10.0, None, None, None, 2016-01-01 08:00:00, None, None, None
None, -5.694, 68.08, None, None, None, None, None, None, None, -10.0, None, None, None, 2016-01-01 09:00:00, None, None, None
None, -5.218, 65.71, None, None, None, None, None, None, None, -10.0, None, None, None, 2016-01-01 10:00:00, None, None, None
None, -4.784, 64.77, None, None, None, None, None, None, None, -10.0, None, None, None, 2016-01-01 11:00:00, None, None, None
None, -3.771, 63.96, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 12:00:00, None, None, None
None, -3.336, 59.98, None, None, None, None, None, None, None, -9.0, None, None, None, 2016-01-01 13:00:00, None, None, None
None, -2.902, 61.8, None, None, None, None, None, None, None, -8.0, None, None, None, 2016-01-01 14:00:00, None, None, None
None, -2.131, 58.02, None, None, None, None, None, None, None, -8.0, None, None, None, 2016-01-01 15:00:00, None, None, None
None, -2.041, 62.4, None, None, None, None, None, None, None, -8.0, None, None, None, 2016-01-01 16:00:00, None, None, None
None, -1.898, 65.97, None, None, None, None, None, None, None, -7.0, None, None, None, 2016-01-01 17:00:00, None, None, None
None, -2.52, 70.1, None, None, None, None, None, None, None, -7.0, None, None, None, 2016-01-01 18:00:00, None, None, None
None, -2.184, 69.82, None, None, None, None, None, None, None, -6.0, None, None, None, 2016-01-01 19:00:00, None, None, None
None, -2.187, 68.54, None, None, None, None, None, None, None, -7.0, None, None, None, 2016-01-01 20:00:00, None, None, None
