RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
14.79, None, None, None,0.0,87.7, None, None,-8.0, None, None, None, None, None, None, None, None,19.08, None, None, None, None,12.3, None, None, None, None,2018-07-30 00:00:00, None,31
15.0, None, None, None,0.0,134.7, None, None,-9.0, None, None, None, None, None, None, None, None,18.39, None, None, None, None,21.48, None, None, None, None,2018-07-30 01:00:00, None,31
14.96, None, None, None,0.0,93.9, None, None,-9.0, None, None, None, None, None, None, None, None,18.51, None, None, None, None,12.91, None, None, None, None,2018-07-30 03:00:00, None,31
14.88, None, None, None,0.0,84.4, None, None,-8.0, None, None, None, None, None, None, None, None,18.79, None, None, None, None,11.84, None, None, None, None,2018-07-30 04:00:00, None,31
15.2, None, None, None,0.048,137.6, None, None,-9.0, None, None, None, None, None, None, None, None,17.51, None, None, None, None,5.117, None, None, None, None,2018-07-30 05:00:00, None,31
15.2, None, None, None,0.021,131.8, None, None,-9.0, None, None, None, None, None, None, None, None,17.71, None, None, None, None,2.547, None, None, None, None,2018-07-30 06:00:00, None,31
14.78, None, None, None,0.02,105.2, None, None,-8.0, None, None, None, None, None, None, None, None,19.11, None, None, None, None,6.083, None, None, None, None,2018-07-30 07:00:00, None,31
14.53, None, None, None,0.009,142.8, None, None,-8.0, None, None, None, None, None, None, None, None,20.14, None, None, None, None,7.08, None, None, None, None,2018-07-30 08:00:00, None,31
14.77, None, None, None,0.023,163.1, None, None,-8.0, None, None, None, None, None, None, None, None,19.14, None, None, None, None,15.94, None, None, None, None,2018-07-30 09:00:00, None,31
13.59, None, None, None,0.11,129.5, None, None,-6.0, None, None, None, None, None, None, None, None,23.08, None, None, None, None,27.15, None, None, None, None,2018-07-30 10:00:00, None,31
13.29, None, None, None,0.0,200.2, None, None,-6.0, None, None, None, None, None, None, None, None,24.29, None, None, None, None,25.42, None, None, None, None,2018-07-30 11:00:00, None,31
12.61, None, None, None,0.013,212.3, None, None,-5.0, None, None, None, None, None, None, None, None,26.36, None, None, None, None,15.47, None, None, None, None,2018-07-30 12:00:00, None,31
12.36, None, None, None,0.081,223.9, None, None,-4.0, None, None, None, None, None, None, None, None,27.18, None, None, None, None,9.75, None, None, None, None,2018-07-30 13:00:00, None,31
11.89, None, None, None,1.067,234.0, None, None,-3.0, None, None, None, None, None, None, None, None,28.95, None, None, None, None,15.58, None, None, None, None,2018-07-30 14:00:00, None,31
11.95, None, None, None,3.26,247.1, None, None,-4.0, None, None, None, None, None, None, None, None,28.55, None, None, None, None,16.04, None, None, None, None,2018-07-30 15:00:00, None,31
11.86, None, None, None,3.398,249.8, None, None,-4.0, None, None, None, None, None, None, None, None,28.65, None, None, None, None,16.77, None, None, None, None,2018-07-30 16:00:00, None,31
