wind_speed,temperature,avg_wnd_dir_10m_pst10mts,wind_direction,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,precipitation,time,week_of_year
1.8, None, 258.0, 250.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,2022-11-12 00:00:00,46
1.7, None, 250.0, 246.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,2022-11-12 01:00:00,46
1.7, None, 246.0, 254.0, 0.0, 0.0, 0.0, 0.0, 1.7, 0.0,2022-11-12 02:00:00,46
2.0, None, 254.0, 246.0, 0.0, 0.0, 0.0, 0.0, 1.7, 0.0,2022-11-12 03:00:00,46
2.4, None, 246.0, 261.0, 0.0, 0.0, 0.0, 0.0, None, 0.0,2022-11-12 04:00:00,46
17.6, None, 261.0, 240.0, 0.0, 0.0, 0.0, 0.0, 2.4, 0.0,2022-11-12 05:00:00,46
22.9, None, 240.0, 255.0, 0.0, 0.0, 0.0, 0.0, 17.6, 0.0,2022-11-12 06:00:00,46
25.5, None, 255.0, 249.0, 0.0, 0.0, 0.0, 0.0, 22.9, 0.0,2022-11-12 07:00:00,46
20.8, None, 249.0, 253.0, 0.0, 0.0, 0.0, 0.0, 25.5, 0.0,2022-11-12 08:00:00,46
20.1, None, 253.0, 251.0, 0.0, 0.0, 0.0, 0.0, 20.8, 0.0,2022-11-12 09:00:00,46
20.6, None, 251.0, 274.0, 0.0, 0.0, 0.0, 0.0, 20.1, 0.0,2022-11-12 10:00:00,46
16.1, None, 274.0, 271.0, 0.0, 0.0, 0.0, 0.0, 20.6, 0.0,2022-11-12 11:00:00,46
18.2, None, 271.0, 261.0, 0.0, 0.0, 0.0, 0.0, 16.1, 0.0,2022-11-12 12:00:00,46
16.7, None, 261.0, 262.0, 0.0, 0.0, 0.0, 0.0, 18.2, 0.0,2022-11-12 13:00:00,46
18.6, None, 262.0, 253.0, 0.0, 0.0, 0.0, 0.0, 16.7, 0.0,2022-11-12 14:00:00,46
17.9, None, 253.0, 254.0, 0.0, 0.0, 0.0, 0.0, 18.6, 0.0,2022-11-12 15:00:00,46
26.1, None, 254.0, 253.0, 0.0, 0.0, 0.0, 0.0, 17.9, 0.0,2022-11-12 16:00:00,46
23.9, None, 253.0, 273.0, 0.0, 0.0, 0.0, 0.0, 26.1, 0.0,2022-11-12 17:00:00,46
22.8, None, 273.0, 286.0, 0.0, 0.0, 0.0, 0.0, 23.9, 0.0,2022-11-12 18:00:00,46
15.5, None, 286.0, 292.0, 0.0, 0.0, 0.0, 0.0, 22.8, 0.0,2022-11-12 19:00:00,46
15.1, None, 292.0, 349.0, 0.0, 0.0, 0.0, 0.0, 15.5, 0.0,2022-11-12 20:00:00,46
18.1, None, 349.0, 12.0, 0.0, 0.0, 0.0, 0.0, 15.1, 0.0,2022-11-12 21:00:00,46
19.2, None, 12.0, 13.0, 0.0, 0.0, 0.0, 0.0, 18.1, 0.0,2022-11-12 22:00:00,46
None, None, 13.0, None, 0.0, None, 0.0, 0.0, 19.2, None,2022-11-12 23:00:00,46
18.8, None, 356.0, 8.0, 0.0, 0.0, 0.0, 0.0, 20.1, 0.0,2022-11-13 00:00:00,46
21.8, None, 8.0, 25.0, 0.0, 0.0, 0.0, 0.0, 18.8, 0.0,2022-11-13 01:00:00,46
22.1, None, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 21.8, 0.0,2022-11-13 02:00:00,46
26.2, None, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 22.1, 0.0,2022-11-13 03:00:00,46
26.7, None, 25.0, 21.0, 0.0, 0.0, 0.0, 0.0, 26.2, 0.0,2022-11-13 04:00:00,46
22.6, None, 21.0, 26.0, 0.0, 0.0, 0.0, 0.0, 26.7, 0.0,2022-11-13 05:00:00,46
22.8, None, 26.0, 20.0, 0.0, 0.0, 0.0, 0.0, 22.6, 0.0,2022-11-13 06:00:00,46
