RelativeHumidity,AirTemperature,time,Rain,week_of_year
86.0,15.0,2020-10-01 05:15:00,0.0,40
85.0,15.0,2020-10-01 05:30:00,0.0,40
86.0,14.8,2020-10-01 05:45:00,0.0,40
84.0,14.9,2020-10-01 06:00:00,0.0,40
81.0,15.3,2020-10-01 06:15:00,0.0,40
82.0,15.1,2020-10-01 06:30:00,0.0,40
84.0,14.7,2020-10-01 06:45:00,0.0,40
85.0,14.5,2020-10-01 07:00:00,0.0,40
84.0,14.5,2020-10-01 07:15:00,0.0,40
85.0,14.4,2020-10-01 07:30:00,0.0,40
82.0,14.9,2020-10-01 07:45:00,0.0,40
82.0,15.3,2020-10-01 08:00:00,0.0,40
80.0,15.8,2020-10-01 08:15:00,0.0,40
76.0,16.5,2020-10-01 08:30:00,0.0,40
76.0,16.7,2020-10-01 08:45:00,0.0,40
77.0,16.7,2020-10-01 09:00:00,0.0,40
77.0,16.9,2020-10-01 09:15:00,0.0,40
79.0,16.8,2020-10-01 09:30:00,0.0,40
79.0,16.7,2020-10-01 09:45:00,0.0,40
79.0,16.8,2020-10-01 10:00:00,0.0,40
78.0,17.1,2020-10-01 10:15:00,0.0,40
76.0,17.4,2020-10-01 10:30:00,0.0,40
77.0,17.4,2020-10-01 10:45:00,0.0,40
76.0,17.5,2020-10-01 11:00:00,0.0,40
74.0,17.7,2020-10-01 11:15:00,0.0,40
74.0,18.1,2020-10-01 11:30:00,0.0,40
75.0,18.4,2020-10-01 11:45:00,0.0,40
73.0,18.8,2020-10-01 12:00:00,0.0,40
71.0,19.1,2020-10-01 12:15:00,0.0,40
69.0,19.7,2020-10-01 12:30:00,0.0,40
68.0,19.8,2020-10-01 12:45:00,0.0,40
69.0,20.0,2020-10-01 13:00:00,0.0,40
68.0,20.0,2020-10-01 13:15:00,0.0,40
70.0,19.7,2020-10-01 13:30:00,0.0,40
70.0,19.8,2020-10-01 13:45:00,0.0,40
67.0,19.9,2020-10-01 14:00:00,0.0,40
63.0,20.8,2020-10-01 14:15:00,0.0,40
68.0,20.7,2020-10-01 14:30:00,0.0,40
68.0,20.1,2020-10-01 14:45:00,0.0,40
66.0,20.3,2020-10-01 15:00:00,0.0,40
69.0,20.2,2020-10-01 15:15:00,0.0,40
72.0,19.7,2020-10-01 15:30:00,0.0,40
73.0,19.3,2020-10-01 15:45:00,0.0,40
74.0,19.0,2020-10-01 16:00:00,0.0,40
73.0,19.1,2020-10-01 16:15:00,0.0,40
77.0,18.6,2020-10-01 16:30:00,0.0,40
76.0,18.3,2020-10-01 16:45:00,0.0,40
79.0,17.9,2020-10-01 17:00:00,0.0,40
80.0,17.5,2020-10-01 17:15:00,0.0,40
80.0,17.2,2020-10-01 17:30:00,0.0,40
80.0,17.1,2020-10-01 17:45:00,0.0,40
78.0,17.3,2020-10-01 18:00:00,0.0,40
79.0,17.2,2020-10-01 18:15:00,0.0,40
