WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,week_of_year
None,-0.2, None,84.5,2018-03-19 00:00:00,12
None,-0.9, None,88.5,2018-03-19 01:00:00,12
None,-0.8, None,88.0,2018-03-19 02:00:00,12
None,-1.3, None,90.4,2018-03-19 03:00:00,12
None,-1.7, None,92.4,2018-03-19 04:00:00,12
None,-1.5, None,92.2,2018-03-19 05:00:00,12
None,-1.4, None,92.1,2018-03-19 06:00:00,12
None,-1.1, None,91.4,2018-03-19 07:00:00,12
None,-0.7, None,89.2,2018-03-19 08:00:00,12
None,-0.2, None,86.1,2018-03-19 09:00:00,12
None,0.5, None,78.6,2018-03-19 10:00:00,12
None,2.3, None,67.3,2018-03-19 11:00:00,12
None,4.7, None,55.2,2018-03-19 12:00:00,12
None,5.8, None,51.7,2018-03-19 13:00:00,12
None,6.7, None,48.9,2018-03-19 14:00:00,12
None,7.6, None,46.0,2018-03-19 15:00:00,12
None,7.5, None,45.4,2018-03-19 16:00:00,12
None,6.7, None,48.5,2018-03-19 17:00:00,12
None,5.4, None,58.3,2018-03-19 18:00:00,12
None,5.2, None,60.0,2018-03-19 19:00:00,12
None,4.0, None,65.2,2018-03-19 20:00:00,12
None,2.0, None,74.2,2018-03-19 21:00:00,12
None,1.4, None,75.9,2018-03-19 22:00:00,12
None,1.1, None,77.8,2018-03-19 23:00:00,12
None,1.0, None,79.6,2018-03-20 00:00:00,12
None,0.8, None,80.9,2018-03-20 01:00:00,12
None,1.1, None,79.2,2018-03-20 02:00:00,12
None,1.3, None,77.4,2018-03-20 03:00:00,12
None,2.2, None,74.0,2018-03-20 04:00:00,12
None,2.0, None,74.8,2018-03-20 05:00:00,12
None,2.4, None,70.1,2018-03-20 06:00:00,12
None,2.1, None,71.4,2018-03-20 07:00:00,12
None,2.0, None,72.4,2018-03-20 08:00:00,12
None,2.7, None,70.5,2018-03-20 09:00:00,12
None,3.7, None,65.3,2018-03-20 10:00:00,12
None,4.2, None,66.5,2018-03-20 11:00:00,12
None,4.5, None,66.3,2018-03-20 12:00:00,12
None,5.4, None,61.8,2018-03-20 13:00:00,12
