TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 3.116, None, 66.34,2018-03-19 00:00:00, 0.159,12
None, 2.246, None, 68.62,2018-03-19 01:00:00, -0.048,12
None, 2.094, None, 70.93,2018-03-19 02:00:00, -0.384,12
None, 1.648, None, 72.92,2018-03-19 03:00:00, -0.856,12
None, 1.549, None, 75.31,2018-03-19 04:00:00, -1.461,12
None, 1.439, None, 78.0,2018-03-19 05:00:00, -1.929,12
None, 1.206, None, 78.22,2018-03-19 06:00:00, -1.936,12
None, 1.11, None, 78.93,2018-03-19 07:00:00, -2.004,12
None, 0.608, None, 77.04,2018-03-19 08:00:00, -1.362,12
None, 1.518, None, 73.47,2018-03-19 09:00:00, -0.379,12
None, 1.947, None, 73.39,2018-03-19 10:00:00, 0.612,12
None, 2.136, None, 62.94,2018-03-19 11:00:00, 3.181,12
None, 2.503, None, 56.2,2018-03-19 12:00:00, 4.92,12
None, 2.075, None, 50.63,2018-03-19 13:00:00, 6.451,12
None, 2.012, None, 54.06,2018-03-19 14:00:00, 6.937,12
None, 1.039, None, 52.2,2018-03-19 15:00:00, 7.473,12
None, 0.885, None, 49.05,2018-03-19 16:00:00, 8.07,12
None, 1.321, None, 49.25,2018-03-19 17:00:00, 7.947,12
None, 2.203, None, 60.91,2018-03-19 18:00:00, 5.859,12
None, 2.207, None, 63.26,2018-03-19 19:00:00, 5.311,12
None, 1.036, None, 57.2,2018-03-19 20:00:00, 5.741,12
None, 4.076, None, 66.7,2018-03-19 21:00:00, 4.688,12
None, 2.264, None, 80.7,2018-03-19 22:00:00, 2.83,12
None, 0.459, None, 82.6,2018-03-19 23:00:00, 2.298,12
None, 0.629, None, 85.5,2018-03-20 00:00:00, 1.706,12
None, 0.679, None, 87.0,2018-03-20 01:00:00, 1.457,12
None, 0.876, None, 89.8,2018-03-20 02:00:00, 0.579,12
None, 0.916, None, 89.3,2018-03-20 03:00:00, 0.808,12
None, 0.247, None, 90.6,2018-03-20 04:00:00, 0.2,12
None, 0.467, None, 91.9,2018-03-20 05:00:00, -0.405,12
None, 1.156, None, 93.2,2018-03-20 06:00:00, -0.797,12
None, 1.137, None, 93.7,2018-03-20 07:00:00, -1.276,12
None, 1.69, None, 93.4,2018-03-20 08:00:00, -1.007,12
None, 1.993, None, 94.0,2018-03-20 09:00:00, -0.634,12
None, 1.72, None, 91.5,2018-03-20 10:00:00, 0.707,12
None, 1.631, None, 75.82,2018-03-20 11:00:00, 3.049,12
None, 1.361, None, 67.0,2018-03-20 12:00:00, 4.352,12
None, 1.438, None, 63.42,2018-03-20 13:00:00, 5.04,12
None, 1.982, None, 63.97,2018-03-20 14:00:00, 4.789,12
None, 2.349, None, 60.49,2018-03-20 15:00:00, 5.022,12
None, 3.134, None, 60.55,2018-03-20 16:00:00, 4.955,12
None, 3.456, None, 64.07,2018-03-20 17:00:00, 4.585,12
None, 3.467, None, 67.17,2018-03-20 18:00:00, 4.118,12
None, 3.45, None, 71.41,2018-03-20 19:00:00, 3.363,12
None, 3.607, None, 74.53,2018-03-20 20:00:00, 2.83,12
None, 3.461, None, 75.91,2018-03-20 21:00:00, 2.454,12
None, 3.16, None, 78.42,2018-03-20 22:00:00, 2.103,12
None, 2.814, None, 82.9,2018-03-20 23:00:00, 1.381,12
None, 2.548, None, 86.3,2018-03-21 00:00:00, 0.996,12
None, 3.072, None, 89.3,2018-03-21 01:00:00, 0.643,12
None, 3.575, None, 91.0,2018-03-21 02:00:00, 0.519,12
None, 4.916, None, 90.7,2018-03-21 03:00:00, 0.847,12
None, 4.457, None, 91.2,2018-03-21 04:00:00, 0.878,12
None, 3.816, None, 92.2,2018-03-21 05:00:00, 0.692,12
None, 3.703, None, 91.3,2018-03-21 06:00:00, 0.723,12
None, 5.089, None, 88.6,2018-03-21 07:00:00, 0.738,12
None, 4.933, None, 88.7,2018-03-21 08:00:00, 0.662,12
None, 4.987, None, 90.4,2018-03-21 09:00:00, 0.609,12
None, 5.741, None, 87.2,2018-03-21 10:00:00, 0.761,12
None, 6.587, None, 82.5,2018-03-21 11:00:00, 1.047,12
None, 6.465, None, 80.1,2018-03-21 12:00:00, 1.092,12
None, 5.819, None, 80.4,2018-03-21 13:00:00, 1.016,12
None, 5.916, None, 78.64,2018-03-21 14:00:00, 1.188,12
None, 5.611, None, 75.91,2018-03-21 15:00:00, 1.544,12
None, 6.471, None, 72.92,2018-03-21 16:00:00, 1.716,12
None, 6.014, None, 70.36,2018-03-21 17:00:00, 1.662,12
None, 5.222, None, 67.96,2018-03-21 18:00:00, 1.684,12
None, 6.528, None, 64.5,2018-03-21 19:00:00, 1.611,12
None, 7.574, None, 62.96,2018-03-21 20:00:00, 1.219,12
None, 7.801, None, 63.45,2018-03-21 21:00:00, 0.684,12
None, 7.451, None, 65.86,2018-03-21 22:00:00, 0.061,12
None, 6.771, None, 66.7,2018-03-21 23:00:00, -0.485,12
None, 6.639, None, 67.5,2018-03-22 00:00:00, -0.668,12
None, 6.575, None, 72.39,2018-03-22 01:00:00, -1.201,12
None, 5.745, None, 72.53,2018-03-22 02:00:00, -1.827,12
None, 4.186, None, 76.93,2018-03-22 03:00:00, -3.001,12
None, 4.903, None, 82.1,2018-03-22 04:00:00, -4.92,12
None, 6.341, None, 82.3,2018-03-22 05:00:00, -6.045,12
None, 7.875, None, 83.5,2018-03-22 06:00:00, -7.335,12
None, 6.233, None, 83.1,2018-03-22 07:00:00, -7.96,12
None, 5.991, None, 82.8,2018-03-22 08:00:00, -8.57,12
None, 6.067, None, 81.3,2018-03-22 09:00:00, -8.93,12
None, 6.344, None, 79.44,2018-03-22 10:00:00, -9.31,12
None, 6.855, None, 78.75,2018-03-22 11:00:00, -9.24,12
None, 6.395, None, 78.14,2018-03-22 12:00:00, -8.88,12
None, 5.145, None, 78.56,2018-03-22 13:00:00, -9.35,12
None, 3.77, None, 79.16,2018-03-22 14:00:00, -10.08,12
None, 3.323, None, 77.17,2018-03-22 15:00:00, -10.14,12
None, 3.321, None, 76.96,2018-03-22 16:00:00, -10.32,12
None, 3.044, None, 75.53,2018-03-22 17:00:00, -10.51,12
None, 2.619, None, 77.21,2018-03-22 18:00:00, -10.62,12
None, 2.943, None, 81.0,2018-03-22 19:00:00, -10.85,12
None, 3.054, None, 83.3,2018-03-22 20:00:00, -10.91,12
None, 2.82, None, 83.3,2018-03-22 21:00:00, -11.03,12
None, 3.122, None, 83.1,2018-03-22 22:00:00, -11.09,12
None, 2.595, None, 82.3,2018-03-22 23:00:00, -11.05,12
None, 3.136, None, 80.9,2018-03-23 00:00:00, -10.95,12
None, 3.279, None, 82.2,2018-03-23 01:00:00, -11.14,12
None, 3.592, None, 82.4,2018-03-23 02:00:00, -11.3,12
None, 3.797, None, 81.2,2018-03-23 03:00:00, -11.52,12
None, 4.202, None, 83.7,2018-03-23 04:00:00, -11.68,12
None, 4.141, None, 84.7,2018-03-23 05:00:00, -11.75,12
None, 4.532, None, 87.0,2018-03-23 06:00:00, -11.76,12
None, 3.919, None, 86.8,2018-03-23 07:00:00, -11.77,12
None, 3.147, None, 86.2,2018-03-23 08:00:00, -11.59,12
None, 4.005, None, 86.4,2018-03-23 09:00:00, -11.46,12
None, 4.242, None, 84.7,2018-03-23 10:00:00, -11.18,12
