air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,-1.355, None, None, None, None, 142.15,2018-12-17 00:00:00, None, None, None,51
None,-1.569, None, None, None, None, 143.23,2018-12-17 01:00:00, None, None, None,51
None,-1.513, None, None, None, None, 143.66,2018-12-17 02:00:00, None, None, None,51
None,-1.691, None, None, None, None, 140.64,2018-12-17 03:00:00, None, None, None,51
None,-0.535, None, None, None, None, 146.58,2018-12-17 04:00:00, None, None, None,51
None,-1.056, None, None, None, None, 143.1,2018-12-17 05:00:00, None, None, None,51
None,-1.242, None, None, None, None, 144.2,2018-12-17 06:00:00, None, None, None,51
None,-1.28, None, None, None, None, 138.88,2018-12-17 07:00:00, None, None, None,51
None,-1.066, None, None, None, None, 143.03,2018-12-17 08:00:00, None, None, None,51
None,-1.411, None, None, None, None, 144.42,2018-12-17 09:00:00, None, None, None,51
None,-0.787, None, None, None, None, 143.94,2018-12-17 10:00:00, None, None, None,51
None,-0.347, None, None, None, None, 143.66,2018-12-17 11:00:00, None, None, None,51
None,-0.16, None, None, None, None, 142.96,2018-12-17 12:00:00, None, None, None,51
None,-0.421, None, None, None, None, 142.42,2018-12-17 13:00:00, None, None, None,51
None,-0.774, None, None, None, None, 142.43,2018-12-17 14:00:00, None, None, None,51
None,-1.361, None, None, None, None, 141.69,2018-12-17 15:00:00, None, None, None,51
None,-1.391, None, None, None, None, 141.4,2018-12-17 16:00:00, None, None, None,51
None,-1.307, None, None, None, None, 141.23,2018-12-17 17:00:00, None, None, None,51
None,-0.971, None, None, None, None, 140.89,2018-12-17 18:00:00, None, None, None,51
None,-0.653, None, None, None, None, 140.74,2018-12-17 19:00:00, None, None, None,51
None,-0.617, None, None, None, None, 140.33,2018-12-17 20:00:00, None, None, None,51
None,-0.581, None, None, None, None, 139.16,2018-12-17 21:00:00, None, None, None,51
None,-0.858, None, None, None, None, 138.93,2018-12-17 22:00:00, None, None, None,51
None,-0.888, None, None, None, None, 139.35,2018-12-17 23:00:00, None, None, None,51
None,-1.139, None, None, None, None, 138.39,2018-12-18 00:00:00, None, None, None,51
None,-1.102, None, None, None, None, 138.87,2018-12-18 01:00:00, None, None, None,51
None,-1.429, None, None, None, None, 139.74,2018-12-18 02:00:00, None, None, None,51
None,-1.289, None, None, None, None, 139.46,2018-12-18 03:00:00, None, None, None,51
None,-1.465, None, None, None, None, 139.81,2018-12-18 04:00:00, None, None, None,51
None,-1.455, None, None, None, None, 141.56,2018-12-18 05:00:00, None, None, None,51
None,-1.1, None, None, None, None, 139.23,2018-12-18 06:00:00, None, None, None,51
None,-1.047, None, None, None, None, 145.48,2018-12-18 07:00:00, None, None, None,51
None,-1.325, None, None, None, None, 145.38,2018-12-18 08:00:00, None, None, None,51
None,-1.316, None, None, None, None, 144.77,2018-12-18 09:00:00, None, None, None,51
None,-1.325, None, None, None, None, 143.6,2018-12-18 10:00:00, None, None, None,51
None,-0.531, None, None, None, None, 143.76,2018-12-18 11:00:00, None, None, None,51
None,-0.262, None, None, None, None, 144.94,2018-12-18 12:00:00, None, None, None,51
None,-0.159, None, None, None, None, 143.35,2018-12-18 13:00:00, None, None, None,51
None,-0.615, None, None, None, None, 140.59,2018-12-18 14:00:00, None, None, None,51
None,-0.914, None, None, None, None, 145.7,2018-12-18 15:00:00, None, None, None,51
None,-1.053, None, None, None, None, 141.5,2018-12-18 16:00:00, None, None, None,51
None,-1.044, None, None, None, None, 146.84,2018-12-18 17:00:00, None, None, None,51
None,-1.23, None, None, None, None, 145.79,2018-12-18 18:00:00, None, None, None,51
None,-1.428, None, None, None, None, 145.15,2018-12-18 19:00:00, None, None, None,51
None,-1.53, None, None, None, None, 144.45,2018-12-18 20:00:00, None, None, None,51
None,-1.689, None, None, None, None, 145.96,2018-12-18 21:00:00, None, None, None,51
None,-2.145, None, None, None, None, 144.88,2018-12-18 22:00:00, None, None, None,51
None,-1.791, None, None, None, None, 144.07,2018-12-18 23:00:00, None, None, None,51
None,-1.651, None, None, None, None, 144.65,2018-12-19 00:00:00, None, None, None,51
None,-1.672, None, None, None, None, 144.02,2018-12-19 01:00:00, None, None, None,51
None,-1.494, None, None, None, None, 143.88,2018-12-19 02:00:00, None, None, None,51
None,-1.531, None, None, None, None, 144.84,2018-12-19 03:00:00, None, None, None,51
None,-1.541, None, None, None, None, 149.38,2018-12-19 04:00:00, None, None, None,51
None,-1.644, None, None, None, None, 149.29,2018-12-19 05:00:00, None, None, None,51
None,-2.26, None, None, None, None, 146.58,2018-12-19 06:00:00, None, None, None,51
None,-2.354, None, None, None, None, 145.82,2018-12-19 07:00:00, None, None, None,51
None,-2.775, None, None, None, None, 145.37,2018-12-19 08:00:00, None, None, None,51
None,-2.681, None, None, None, None, 144.76,2018-12-19 09:00:00, None, None, None,51
None,-2.439, None, None, None, None, 143.83,2018-12-19 10:00:00, None, None, None,51
None,-2.148, None, None, None, None, 145.11,2018-12-19 11:00:00, None, None, None,51
None,-2.034, None, None, None, None, 144.61,2018-12-19 12:00:00, None, None, None,51
None,-1.12, None, None, None, None, 143.06,2018-12-19 13:00:00, None, None, None,51
None,-1.892, None, None, None, None, 142.93,2018-12-19 14:00:00, None, None, None,51
None,-2.044, None, None, None, None, 142.18,2018-12-19 15:00:00, None, None, None,51
None,-2.783, None, None, None, None, 141.9,2018-12-19 16:00:00, None, None, None,51
None,-2.605, None, None, None, None, 142.22,2018-12-19 17:00:00, None, None, None,51
None,-2.831, None, None, None, None, 142.36,2018-12-19 18:00:00, None, None, None,51
None,-2.868, None, None, None, None, 142.16,2018-12-19 19:00:00, None, None, None,51
None,-2.523, None, None, None, None, 141.44,2018-12-19 20:00:00, None, None, None,51
None,-3.113, None, None, None, None, 141.22,2018-12-19 21:00:00, None, None, None,51
None,-3.169, None, None, None, None, 141.12,2018-12-19 22:00:00, None, None, None,51
None,-3.253, None, None, None, None, 140.3,2018-12-19 23:00:00, None, None, None,51
None,-3.393, None, None, None, None, 140.37,2018-12-20 00:00:00, None, None, None,51
None,-3.382, None, None, None, None, 141.33,2018-12-20 01:00:00, None, None, None,51
None,-3.544, None, None, None, None, 142.45,2018-12-20 02:00:00, None, None, None,51
None,-3.685, None, None, None, None, 142.92,2018-12-20 03:00:00, None, None, None,51
None,-3.92, None, None, None, None, 143.16,2018-12-20 04:00:00, None, None, None,51
None,-3.827, None, None, None, None, 147.25,2018-12-20 05:00:00, None, None, None,51
None,-3.666, None, None, None, None, 149.51,2018-12-20 06:00:00, None, None, None,51
None,-3.572, None, None, None, None, 148.62,2018-12-20 07:00:00, None, None, None,51
None,-3.789, None, None, None, None, 154.91,2018-12-20 08:00:00, None, None, None,51
None,-3.674, None, None, None, None, 154.64,2018-12-20 09:00:00, None, None, None,51
None,-3.412, None, None, None, None, 153.56,2018-12-20 10:00:00, None, None, None,51
None,-3.404, None, None, None, None, 154.83,2018-12-20 11:00:00, None, None, None,51
None,-3.344, None, None, None, None, 153.31,2018-12-20 12:00:00, None, None, None,51
None,-3.0, None, None, None, None, 154.95,2018-12-20 13:00:00, None, None, None,51
