AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
-5.5, 1.4, -7.5,2023-01-22 00:00:00, 74.0, -4.7,4
-5.5, None, None,2023-01-22 00:15:00, 74.0, None,4
-5.4, None, None,2023-01-22 00:30:00, 74.0, None,4
-5.4, None, None,2023-01-22 00:45:00, 74.0, None,4
-5.6, None, None,2023-01-22 01:00:00, 74.0, None,4
-5.6, None, None,2023-01-22 01:15:00, 74.0, None,4
-5.6, None, None,2023-01-22 01:30:00, 74.0, None,4
-5.8, None, None,2023-01-22 01:45:00, 74.0, None,4
-5.9, None, None,2023-01-22 02:00:00, 74.0, None,4
-5.9, None, None,2023-01-22 02:15:00, 74.0, None,4
-5.9, None, None,2023-01-22 02:30:00, 74.0, None,4
-6.1, None, None,2023-01-22 02:45:00, 74.0, None,4
-6.0, None, None,2023-01-22 03:00:00, 74.0, None,4
-5.9, None, None,2023-01-22 03:15:00, 74.0, None,4
-5.9, None, None,2023-01-22 03:30:00, 74.0, None,4
-6.0, None, None,2023-01-22 03:45:00, 74.0, None,4
-6.0, None, None,2023-01-22 04:00:00, 74.0, None,4
-6.1, None, None,2023-01-22 04:15:00, 74.0, None,4
-6.1, None, None,2023-01-22 04:30:00, 74.0, None,4
-6.3, None, None,2023-01-22 04:45:00, 74.0, None,4
-6.3, None, None,2023-01-22 05:00:00, 74.0, None,4
-6.2, None, None,2023-01-22 05:15:00, 74.0, None,4
-6.6, None, None,2023-01-22 05:30:00, 74.0, None,4
-6.9, None, None,2023-01-22 05:45:00, 74.0, None,4
-7.1, None, None,2023-01-22 06:00:00, 74.0, None,4
-7.1, None, None,2023-01-22 06:15:00, 74.0, None,4
-7.2, None, None,2023-01-22 06:30:00, 74.0, None,4
-7.2, None, None,2023-01-22 06:45:00, 74.0, None,4
-7.1, None, None,2023-01-22 07:00:00, 74.0, None,4
-7.0, None, None,2023-01-22 07:15:00, 74.0, None,4
-7.0, None, None,2023-01-22 07:30:00, 74.0, None,4
-7.0, None, None,2023-01-22 07:45:00, 74.0, None,4
-6.9, None, None,2023-01-22 08:00:00, 74.0, None,4
-7.2, None, None,2023-01-22 08:15:00, 74.0, None,4
-7.3, None, None,2023-01-22 08:30:00, 74.0, None,4
-7.3, None, None,2023-01-22 08:45:00, 74.0, None,4
-7.1, None, None,2023-01-22 09:00:00, 74.0, None,4
-6.7, None, None,2023-01-22 09:15:00, 74.0, None,4
-6.4, None, None,2023-01-22 09:30:00, 74.0, None,4
-6.3, None, None,2023-01-22 09:45:00, 73.0, None,4
-6.2, None, None,2023-01-22 10:00:00, 74.0, None,4
-6.2, None, None,2023-01-22 10:15:00, 74.0, None,4
-6.2, None, None,2023-01-22 10:30:00, 74.0, None,4
-6.0, None, None,2023-01-22 10:45:00, 74.0, None,4
-5.8, None, None,2023-01-22 11:00:00, 74.0, None,4
-5.7, None, None,2023-01-22 11:15:00, 73.0, None,4
-5.6, None, None,2023-01-22 11:30:00, 74.0, None,4
-5.5, None, None,2023-01-22 11:45:00, 73.0, None,4
-5.3, None, None,2023-01-22 12:00:00, 73.0, None,4
-5.4, None, None,2023-01-22 12:15:00, 74.0, None,4
-5.0, None, None,2023-01-22 12:30:00, 73.0, None,4
-4.7, None, None,2023-01-22 12:45:00, 73.0, None,4
