CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
8.52, 68.61, None, None, None, 11.72, 6.634, 267.7, 3.0, None, 8.5, 8.5, 0.0, 3.0, None, 11.0, None, None, 69.0, None,2021-06-04 00:00:00, -6999.0, None, -6999.0, -6999.0,23
8.28, 68.95, None, None, None, 5.795, 7.74, 253.6, 3.0, None, 8.3, 8.2, 0.0, 3.0, None, 11.0, None, None, 69.0, None,2021-06-04 01:00:00, -6999.0, None, -6999.0, -6999.0,23
7.99, 70.7, None, None, None, 9.06, 5.909, 270.0, 3.0, None, 8.0, 8.0, 0.0, 3.0, None, 11.0, None, None, 71.0, None,2021-06-04 02:00:00, -6999.0, None, -6999.0, -6999.0,23
7.26, 73.9, None, None, None, 7.05, 7.11, 264.5, 3.0, None, 7.3, 7.2, 0.0, 3.0, None, 11.0, None, None, 74.0, None,2021-06-04 03:00:00, -6999.0, None, -6999.0, -6999.0,23
6.394, 73.4, None, None, None, 9.55, 7.93, 259.2, 2.0, None, 6.4, 6.4, 0.0, 2.0, None, 11.0, None, None, 73.0, None,2021-06-04 04:00:00, -6999.0, None, -6999.0, -6999.0,23
6.211, 73.8, None, None, None, 7.66, 9.85, 281.8, 2.0, None, 6.2, 6.1, 0.0, 2.0, None, 11.0, None, None, 74.0, None,2021-06-04 05:00:00, -6999.0, None, -6999.0, -6999.0,23
6.262, 73.2, None, None, None, 3.528, 8.68, 288.5, 2.0, None, 6.3, 6.1, 0.0, 2.0, None, 11.0, None, None, 73.0, None,2021-06-04 06:00:00, -6999.0, None, -6999.0, -6999.0,23
5.57, 71.7, None, None, None, 10.93, 12.39, 288.7, 1.0, None, 5.6, 5.6, 0.0, 1.0, None, 6.5, None, None, 72.0, None,2021-06-04 07:00:00, -6999.0, None, -6999.0, -6999.0,23
5.896, 69.91, None, None, None, 2.522, 10.81, 325.3, 1.0, None, 5.9, 5.2, 0.0, 1.0, None, 6.9, None, None, 70.0, None,2021-06-04 08:00:00, -6999.0, None, -6999.0, -6999.0,23
7.01, 63.04, None, None, None, 2.057, 6.994, 319.7, 0.0, None, 7.0, 5.2, 0.0, 0.0, None, 7.3, None, None, 63.0, None,2021-06-04 09:00:00, -6999.0, None, -6999.0, -6999.0,23
