BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 17.6, 2.086, 80.0, 86.9,2018-07-30 00:00:00, 16.41,31
None, 16.4, 1.482, 86.9, 88.5,2018-07-30 01:00:00, 16.42,31
None, 16.4, 1.865, 88.5, 90.2,2018-07-30 02:00:00, 15.82,31
None, 15.8, 1.921, 90.2, 89.8,2018-07-30 03:00:00, 15.94,31
None, 15.9, 2.057, 89.8, 90.0,2018-07-30 04:00:00, 15.33,31
None, 15.3, 2.034, 90.0, 91.7,2018-07-30 05:00:00, 14.69,31
None, 14.7, 2.352, 91.7, 89.2,2018-07-30 06:00:00, 16.3,31
None, 16.3, 2.287, 89.2, 83.3,2018-07-30 07:00:00, 17.49,31
None, 17.5, 2.142, 83.3, 73.63,2018-07-30 08:00:00, 20.14,31
None, 20.1, 1.807, 73.6, 70.7,2018-07-30 09:00:00, 21.52,31
None, 21.5, 2.889, 70.7, 67.32,2018-07-30 10:00:00, 21.83,31
None, 21.8, 2.209, 67.3, 70.66,2018-07-30 11:00:00, 21.36,31
None, 21.4, 1.205, 70.7, 78.71,2018-07-30 12:00:00, 20.14,31
None, 20.1, 1.432, 78.7, 76.15,2018-07-30 13:00:00, 21.43,31
None, 21.4, 1.68, 76.2, 75.63,2018-07-30 14:00:00, 22.19,31
None, 22.2, 1.31, 75.6, 65.56,2018-07-30 15:00:00, 23.21,31
None, 23.2, 2.561, 65.6, 59.9,2018-07-30 16:00:00, 24.04,31
None, 24.0, 2.383, 59.9, 61.15,2018-07-30 17:00:00, 23.65,31
None, 23.7, 1.915, 61.2, 64.74,2018-07-30 18:00:00, 22.66,31
None, 22.7, 1.718, 64.7, 66.31,2018-07-30 19:00:00, 22.28,31
None, 22.3, 1.354, 66.3, 72.17,2018-07-30 20:00:00, 19.99,31
None, 20.0, 0.764, 72.2, 82.4,2018-07-30 21:00:00, 17.9,31
None, 17.9, 0.658, 82.4, 87.5,2018-07-30 22:00:00, 16.62,31
None, 16.6, 0.569, 87.5, 89.4,2018-07-30 23:00:00, 15.85,31
None, 15.9, 0.397, 89.4, 90.1,2018-07-31 00:00:00, 15.26,31
None, 15.3, 1.434, 90.1, 91.2,2018-07-31 01:00:00, 15.35,31
None, 15.4, 1.183, 91.2, 91.1,2018-07-31 02:00:00, 15.34,31
None, 15.3, 1.261, 91.1, 91.9,2018-07-31 03:00:00, 14.93,31
None, 14.9, 0.499, 91.9, 92.0,2018-07-31 04:00:00, 14.18,31
None, 14.2, 1.231, 92.0, 92.5,2018-07-31 05:00:00, 13.98,31
