air_temp,min_air_temp_snc_last_reset,mslp,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,stn_pres,week_of_year
3.0,3.0, 1007.3, None,6.5,79.0, None,2021-12-03 00:00:00, None,0.0, 1000.0,49
2.9,2.9, 1007.3, None,6.5,79.0, None,2021-12-03 01:00:00, None,0.0, 1000.0,49
3.0,2.5, 1007.3, None,6.5,81.0, None,2021-12-03 02:00:00, None,0.0, 1000.0,49
3.0,2.5, 1007.3, None,6.5,82.0, None,2021-12-03 03:00:00, None,0.0, 1000.0,49
2.8,2.5, 1007.3, None,6.5,81.0, None,2021-12-03 04:00:00, None,0.0, 1000.0,49
3.0,2.5, 1007.3, None,6.5,76.0, None,2021-12-03 05:00:00, None,-1.0, 1000.0,49
2.4,2.1, 1007.3, None,6.5,78.0, None,2021-12-03 06:00:00, None,-1.0, 1000.0,49
2.1,2.2, 1007.3, None,2.6,83.0, None,2021-12-03 07:00:00, None,0.0, 1000.0,49
2.3,1.6, 1006.3, None,2.6,84.0, None,2021-12-03 08:00:00, None,0.0, 999.0,49
2.6,1.6, 1007.3, None,3.2,83.0, None,2021-12-03 09:00:00, None,0.0, 1000.0,49
3.6,1.6, 1006.3, None,3.6,81.0, None,2021-12-03 10:00:00, None,1.0, 999.0,49
3.9,1.6, 1006.3, None,4.5,78.0, None,2021-12-03 11:00:00, None,0.0, 999.0,49
5.8,1.6, 1006.3, None,5.7,67.0, None,2021-12-03 12:00:00, None,0.0, 999.0,49
6.5,1.6, 1005.3, None,6.5,63.0, None,2021-12-03 13:00:00, None,0.0, 998.0,49
6.9,1.6, 1004.3, None,7.0,52.0, None,2021-12-03 14:00:00, None,-3.0, 997.0,49
5.8,1.6, 1004.3, None,7.0,62.0, None,2021-12-03 15:00:00, None,-1.0, 997.0,49
5.8,1.6, 1004.3, None,7.0,62.0, None,2021-12-03 16:00:00, None,-1.0, 997.0,49
5.5,1.6, 1003.3, None,7.0,60.0, None,2021-12-03 17:00:00, None,-2.0, 996.0,49
5.4,1.6, 1002.3, None,7.0,63.0, None,2021-12-03 18:00:00, None,-1.0, 995.0,49
5.1,5.1, 1002.3, None,5.5,64.0, None,2021-12-03 19:00:00, None,-1.0, 995.0,49
4.8,4.7, 1001.3, None,5.5,65.0, None,2021-12-03 20:00:00, None,-1.0, 994.0,49
4.3,4.3, 1001.3, None,5.5,70.0, None,2021-12-03 21:00:00, None,-1.0, 994.0,49
3.9,3.9, 1000.3, None,5.5,74.0, None,2021-12-03 22:00:00, None,0.0, 993.0,49
3.9,3.8, 1000.3, None,5.5,78.0, None,2021-12-03 23:00:00, None,0.0, 993.0,49
4.0,3.8, 1000.3, None,5.5,76.0, None,2021-12-04 00:00:00, None,0.0, 993.0,49
3.8,3.7, 999.2, None,5.5,77.0, None,2021-12-04 01:00:00, None,0.0, 992.0,49
4.1,3.7, 999.2, None,5.5,75.0, None,2021-12-04 02:00:00, None,0.0, 992.0,49
3.8,3.7, 999.3, None,5.5,72.0, None,2021-12-04 03:00:00, None,-1.0, 992.0,49
3.4,3.4, 999.3, None,5.5,73.0, None,2021-12-04 04:00:00, None,-1.0, 992.0,49
2.0,2.0, 999.3, None,5.5,82.0, None,2021-12-04 05:00:00, None,-1.0, 992.0,49
1.8,1.6, 998.3, None,5.5,86.0, None,2021-12-04 06:00:00, None,0.0, 991.0,49
1.7,1.7, 998.3, None,2.3,87.0, None,2021-12-04 07:00:00, None,0.0, 991.0,49
1.8,1.4, 999.3, None,2.3,89.0, None,2021-12-04 08:00:00, None,0.0, 992.0,49
1.8,1.4, 998.3, None,2.3,90.0, None,2021-12-04 09:00:00, None,0.0, 991.0,49
2.4,1.4, 999.3, None,2.4,89.0, None,2021-12-04 10:00:00, None,1.0, 992.0,49
3.0,1.4, 1000.3, None,3.0,88.0, None,2021-12-04 11:00:00, None,1.0, 993.0,49
3.3,1.4, 1000.3, None,3.5,86.0, None,2021-12-04 12:00:00, None,1.0, 993.0,49
4.0,1.4, 1000.3, None,4.0,84.0, None,2021-12-04 13:00:00, None,2.0, 993.0,49
4.1,1.4, 1000.3, None,4.2,77.0, None,2021-12-04 14:00:00, None,1.0, 993.0,49
4.4,1.4, 1000.3, None,4.5,71.0, None,2021-12-04 15:00:00, None,0.0, 993.0,49
4.4,1.4, 1001.3, None,4.5,70.0, None,2021-12-04 16:00:00, None,-1.0, 994.0,49
4.5,1.4, 1001.3, None,4.6,70.0, None,2021-12-04 17:00:00, None,0.0, 994.0,49
4.3,1.4, 1002.3, None,4.6,71.0, None,2021-12-04 18:00:00, None,0.0, 995.0,49
3.7,3.7, 1002.3, None,4.3,73.0, None,2021-12-04 19:00:00, None,-1.0, 995.0,49
3.6,3.5, 1003.3, None,4.3,74.0, None,2021-12-04 20:00:00, None,0.0, 996.0,49
3.5,3.2, 1004.3, None,4.3,75.0, None,2021-12-04 21:00:00, None,-1.0, 997.0,49
3.6,3.2, 1005.3, None,4.3,70.0, None,2021-12-04 22:00:00, None,-1.0, 998.0,49
3.3,2.4, 1005.3, None,4.3,73.0, None,2021-12-04 23:00:00, None,-1.0, 998.0,49
2.2,2.2, 1006.3, None,4.3,80.0, None,2021-12-05 00:00:00, None,-1.0, 999.0,49
1.8,1.5, 1007.3, None,4.3,87.0, None,2021-12-05 01:00:00, None,0.0, 1000.0,49
1.9,1.5, 1008.3, None,4.3,86.0, None,2021-12-05 02:00:00, None,0.0, 1001.0,49
1.1,1.1, 1008.4, None,4.3,87.0, None,2021-12-05 03:00:00, None,-1.0, 1001.0,49
0.8,0.6, 1009.4, None,4.3,89.0, None,2021-12-05 04:00:00, None,-1.0, 1002.0,49
0.5,0.4, 1009.4, None,4.3,89.0, None,2021-12-05 05:00:00, None,-1.0, 1002.0,49
0.6,0.4, 1010.4, None,4.3,85.0, None,2021-12-05 06:00:00, None,-2.0, 1003.0,49
0.1,0.1, 1010.4, None,0.6,87.0, None,2021-12-05 07:00:00, None,-2.0, 1003.0,49
0.4,0.0, 1010.4, None,0.6,90.0, None,2021-12-05 08:00:00, None,-1.0, 1003.0,49
1.1,0.0, 1011.4, None,1.2,83.0, None,2021-12-05 09:00:00, None,-1.0, 1004.0,49
1.1,0.0, 1012.4, None,1.5,82.0, None,2021-12-05 10:00:00, None,-2.0, 1005.0,49
2.3,0.0, 1012.4, None,2.3,74.0, None,2021-12-05 11:00:00, None,-2.0, 1005.0,49
2.8,0.0, 1012.4, None,2.8,73.0, None,2021-12-05 12:00:00, None,-2.0, 1005.0,49
3.3,0.0, 1011.4, None,3.3,70.0, None,2021-12-05 13:00:00, None,-2.0, 1004.0,49
3.5,0.0, 1011.4, None,4.1,71.0, None,2021-12-05 14:00:00, None,-1.0, 1004.0,49
3.8,0.0, 1010.4, None,4.1,70.0, None,2021-12-05 15:00:00, None,-1.0, 1003.0,49
3.5,0.0, 1010.4, None,4.1,72.0, None,2021-12-05 16:00:00, None,-1.0, 1003.0,49
3.3,0.0, 1009.4, None,4.1,73.0, None,2021-12-05 17:00:00, None,-1.0, 1002.0,49
3.1,0.0, 1009.4, None,4.1,72.0, None,2021-12-05 18:00:00, None,-1.0, 1002.0,49
2.9,2.8, 1009.4, None,3.1,73.0, None,2021-12-05 19:00:00, None,-2.0, 1002.0,49
2.5,2.5, 1008.4, None,3.1,73.0, None,2021-12-05 20:00:00, None,-2.0, 1001.0,49
2.5,2.4, 1007.4, None,3.1,74.0, None,2021-12-05 21:00:00, None,-2.0, 1000.0,49
2.4,2.3, 1007.4, None,3.1,77.0, None,2021-12-05 22:00:00, None,-1.0, 1000.0,49
2.2,2.2, 1006.3, None,3.1,76.0, None,2021-12-05 23:00:00, None,-2.0, 999.0,49
2.1,2.2, 1006.3, None,3.1,76.0, None,2021-12-06 00:00:00, None,-2.0, 999.0,49
1.8,1.7, 1005.3, None,3.1,80.0, None,2021-12-06 01:00:00, None,-1.0, 998.0,49
1.1,1.1, 1004.3, None,3.1,85.0, None,2021-12-06 02:00:00, None,-1.0, 997.0,49
0.5,0.5, 1003.3, None,3.1,89.0, None,2021-12-06 03:00:00, None,-1.0, 996.0,49
0.1,0.0, 1002.3, None,3.1,91.0, None,2021-12-06 04:00:00, None,-1.0, 995.0,49
0.2,0.0, 1001.3, None,3.1,92.0, None,2021-12-06 05:00:00, None,-1.0, 994.0,49
0.1,0.0, 1001.3, None,3.1,92.0, None,2021-12-06 06:00:00, None,-1.0, 994.0,49
0.4,0.1, 1000.3, None,0.4,92.0, None,2021-12-06 07:00:00, None,-1.0, 993.0,49
0.4,0.1, 1000.3, None,0.5,92.0, None,2021-12-06 08:00:00, None,-1.0, 993.0,49
0.6,0.1, 999.3, None,0.6,91.0, None,2021-12-06 09:00:00, None,-1.0, 992.0,49
0.8,0.1, 999.3, None,0.8,89.0, None,2021-12-06 10:00:00, None,-1.0, 992.0,49
1.0,0.1, 999.3, None,1.0,88.0, None,2021-12-06 11:00:00, None,-1.0, 992.0,49
1.6,0.1, 998.3, None,1.6,87.0, None,2021-12-06 12:00:00, None,0.0, 991.0,49
2.0,0.1, 997.3, None,2.0,87.0, None,2021-12-06 13:00:00, None,0.0, 990.0,49
2.4,0.1, 997.3, None,2.4,86.0, None,2021-12-06 14:00:00, None,0.0, 990.0,49
2.5,0.1, 997.3, None,2.5,86.0, None,2021-12-06 15:00:00, None,0.0, 990.0,49
2.8,0.1, 997.3, None,2.9,82.0, None,2021-12-06 16:00:00, None,0.0, 990.0,49
3.0,0.1, 997.3, None,3.1,79.0, None,2021-12-06 17:00:00, None,0.0, 990.0,49
2.9,0.1, 997.3, None,3.1,81.0, None,2021-12-06 18:00:00, None,0.0, 990.0,49
3.1,2.9, 997.3, None,3.1,81.0, None,2021-12-06 19:00:00, None,0.0, 990.0,49
3.4,2.9, 997.3, None,3.5,82.0, None,2021-12-06 20:00:00, None,1.0, 990.0,49
3.5,2.9, 997.3, None,3.6,83.0, None,2021-12-06 21:00:00, None,1.0, 990.0,49
3.4,2.9, 998.3, None,3.7,85.0, None,2021-12-06 22:00:00, None,1.0, 991.0,49
3.1,2.9, 998.3, None,3.7,88.0, None,2021-12-06 23:00:00, None,1.0, 991.0,49
2.8,2.8, 997.3, None,3.7,89.0, None,2021-12-07 00:00:00, None,1.0, 990.0,49
2.9,2.8, 997.3, None,3.7,90.0, None,2021-12-07 01:00:00, None,1.0, 990.0,49
3.0,2.8, 998.3, None,3.7,90.0, None,2021-12-07 02:00:00, None,2.0, 991.0,49
3.1,2.8, 998.3, None,3.7,90.0, None,2021-12-07 03:00:00, None,2.0, 991.0,49
3.2,2.8, 998.3, None,3.7,91.0, None,2021-12-07 04:00:00, None,2.0, 991.0,49
3.2,2.8, 998.3, None,3.7,91.0, None,2021-12-07 05:00:00, None,2.0, 991.0,49
3.1,2.8, 998.3, None,3.7,91.0, None,2021-12-07 06:00:00, None,2.0, 991.0,49
3.2,3.1, 998.3, None,3.2,91.0, None,2021-12-07 07:00:00, None,2.0, 991.0,49
3.2,3.1, 998.3, None,3.3,91.0, None,2021-12-07 08:00:00, None,2.0, 991.0,49
3.3,3.1, 998.3, None,3.3,91.0, None,2021-12-07 09:00:00, None,2.0, 991.0,49
3.6,3.1, 998.3, None,3.9,91.0, None,2021-12-07 10:00:00, None,2.0, 991.0,49
4.0,3.1, 998.3, None,4.0,91.0, None,2021-12-07 11:00:00, None,3.0, 991.0,49
4.4,3.1, 998.3, None,4.4,91.0, None,2021-12-07 12:00:00, None,3.0, 991.0,49
4.9,3.1, 997.3, None,5.0,91.0, None,2021-12-07 13:00:00, None,4.0, 990.0,49
5.0,3.1, 996.2, None,5.0,91.0, None,2021-12-07 14:00:00, None,4.0, 989.0,49
5.0,3.1, 996.2, None,5.5,91.0, None,2021-12-07 15:00:00, None,4.0, 989.0,49
5.1,3.1, 996.2, None,5.5,91.0, None,2021-12-07 16:00:00, None,4.0, 989.0,49
5.1,3.1, 995.2, None,5.5,90.0, None,2021-12-07 17:00:00, None,4.0, 988.0,49
5.3,3.1, 994.2, None,5.5,91.0, None,2021-12-07 18:00:00, None,4.0, 987.0,49
5.5,5.3, 993.2, None,5.5,91.0, None,2021-12-07 19:00:00, None,4.0, 986.0,49
5.5,5.3, 993.2, None,5.6,91.0, None,2021-12-07 20:00:00, None,4.0, 986.0,49
6.6,5.3, 992.2, None,6.6,91.0, None,2021-12-07 21:00:00, None,5.0, 985.0,49
