RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,week_of_year
79.88, None, None, 12.3, 6.141, 302.3, -8.0, -6.5, None, None, 302.0, None, None, 21.0, None, 21.21, None, None, -6.024, None, -4.9, 80.0, None, 13.26, 6.1, -6.0, 0.1, 0.0,2020-12-02 00:00:00,49
80.6, None, None, 13.2, 5.803, 316.5, -8.0, -6.5, None, None, 317.0, None, None, 21.0, None, 21.26, None, None, -6.019, None, -4.9, 81.0, None, 13.93, 5.8, -6.0, -0.1, 0.0,2020-12-02 01:00:00,49
78.5, None, None, 16.8, 9.78, 318.1, -9.0, -6.5, None, None, 318.0, None, None, 21.0, None, 21.11, None, None, -5.827, None, -4.9, 79.0, None, 12.86, 9.8, -5.8, 0.1, 0.0,2020-12-02 02:00:00,49
78.89, None, None, 21.3, 13.84, 318.6, -9.0, -6.5, None, None, 319.0, None, None, 21.0, None, 21.08, None, None, -5.959, None, -4.9, 79.0, None, 11.77, 13.8, -6.0, -0.4, 0.0,2020-12-02 03:00:00,49
75.49, None, None, 23.2, 14.24, 316.2, -9.0, -6.5, None, None, 316.0, None, None, 21.0, None, 20.9, None, None, -5.703, None, -4.9, 75.0, None, 14.79, 14.2, -5.7, 0.5, 0.0,2020-12-02 04:00:00,49
70.05, None, None, 19.3, 10.7, 311.1, -9.0, -6.5, None, None, 311.0, None, None, 21.0, None, 21.05, None, None, -5.063, None, -4.7, 70.0, None, 12.95, 10.7, -5.1, 0.2, 0.0,2020-12-02 05:00:00,49
70.23, None, None, 24.9, 13.4, 312.6, -9.0, -6.2, None, None, 313.0, None, None, 21.0, None, 21.02, None, None, -5.107, None, -4.6, 70.0, None, 12.2, 13.4, -5.1, -0.4, 0.0,2020-12-02 06:00:00,49
67.49, None, None, 15.8, 7.445, 301.6, -9.0, -6.2, None, None, 302.0, None, None, 21.0, None, 21.14, None, None, -4.647, None, -3.8, 67.0, None, 10.53, 7.4, -4.6, 0.7, 0.0,2020-12-02 07:00:00,49
65.18, None, None, 25.7, 15.12, 311.4, -9.0, -6.2, None, None, 311.0, None, None, 21.0, None, 21.11, None, None, -4.26, None, -3.8, 65.0, None, 11.16, 15.1, -4.3, -0.5, 0.0,2020-12-02 08:00:00,49
64.07, None, None, 24.3, 12.91, 303.1, -9.0, -6.2, None, None, 303.0, None, None, 21.0, None, 21.46, None, None, -3.926, None, -3.5, 64.0, None, 12.0, 12.9, -3.9, 0.7, 1.0,2020-12-02 09:00:00,49
57.51, None, None, 17.9, 5.645, 304.3, -8.0, -6.2, None, None, 304.0, None, None, 21.0, None, 21.15, None, None, -1.843, None, 0.7, 58.0, None, 45.01, 5.6, -1.8, 0.9, 0.0,2020-12-02 10:00:00,49
57.78, None, None, 15.7, 7.552, 305.1, -8.0, -6.2, None, None, 305.0, None, None, 21.0, None, 21.47, None, None, -1.378, None, 0.7, 58.0, None, 18.78, 7.6, -1.4, -0.5, 1.0,2020-12-02 11:00:00,49
55.28, None, None, 14.3, 4.618, 291.8, -9.0, -6.2, None, None, 292.0, None, None, 21.0, None, 21.47, None, None, -0.656, None, 2.0, 55.0, None, 38.81, 4.6, -0.7, 0.5, 0.0,2020-12-02 12:00:00,49
45.26, None, None, 6.8, 1.263, 112.5, -8.0, -6.2, None, None, 113.0, None, None, 21.0, None, 21.11, None, None, 2.303, None, 3.6, 45.0, None, 78.27, 1.3, 2.3, 0.4, 0.0,2020-12-02 13:00:00,49
46.74, None, None, 5.2, 1.204, 204.6, -6.0, -6.2, None, None, 205.0, None, None, 21.0, None, 21.1, None, None, 3.467, None, 4.2, 47.0, None, 59.42, 1.2, 3.5, -0.2, 0.0,2020-12-02 14:00:00,49
49.78, None, None, 4.0, 1.015, 298.3, -7.0, -6.2, None, None, 298.0, None, None, 21.0, None, 21.2, None, None, 2.919, None, 4.2, 50.0, None, 63.71, 1.0, 2.9, -0.1, 0.0,2020-12-02 15:00:00,49
51.43, None, None, 4.0, 0.993, 228.3, -7.0, -6.2, None, None, 228.0, None, None, 21.0, None, 21.08, None, None, 2.155, None, 4.2, 51.0, None, 41.68, 1.0, 2.2, -0.4, 0.0,2020-12-02 16:00:00,49
53.59, None, None, 4.5, 0.282, 302.7, -7.0, -6.2, None, None, 303.0, None, None, 21.0, None, 21.3, None, None, 1.656, None, 4.2, 54.0, None, 50.19, 0.3, 1.7, -0.1, 0.0,2020-12-02 17:00:00,49
53.97, None, None, 4.4, 1.202, 289.3, -7.0, 1.1, None, None, 289.0, None, None, 21.0, None, 21.0, None, None, 1.565, None, 2.3, 54.0, None, 69.62, 1.2, 1.6, 0.0, 0.0,2020-12-02 18:00:00,49
50.63, None, None, 4.0, 0.695, 240.9, -7.0, 1.1, None, None, 241.0, None, None, 21.0, None, 21.14, None, None, 2.063, None, 2.4, 51.0, None, 56.31, 0.7, 2.1, 0.0, 0.0,2020-12-02 19:00:00,49
48.42, None, None, 2.8, 0.79, 229.2, -7.0, 1.1, None, None, 229.0, None, None, 21.0, None, 21.4, None, None, 2.305, None, 2.7, 48.0, None, 38.78, 0.8, 2.3, 0.0, 1.0,2020-12-02 20:00:00,49
49.78, None, None, 4.0, 1.182, 162.3, -7.0, 1.1, None, None, 162.0, None, None, 21.0, None, 21.08, None, None, 2.262, None, 2.7, 50.0, None, 63.24, 1.2, 2.3, -0.1, 0.0,2020-12-02 21:00:00,49
50.84, None, None, 11.5, 4.584, 221.8, -7.0, 1.1, None, None, 222.0, None, None, 21.0, None, 21.11, None, None, 2.1, None, 2.9, 51.0, None, 38.25, 4.6, 2.1, 0.0, 0.0,2020-12-02 22:00:00,49
55.72, None, None, 13.5, 6.925, 222.2, -7.0, 0.6, None, None, 222.0, None, None, 21.0, None, 21.14, None, None, 1.148, None, 2.9, 56.0, None, 19.52, 6.9, 1.1, 0.0, 0.0,2020-12-02 23:00:00,49
57.04, None, None, 12.1, 3.522, 260.5, -7.0, 0.4, None, None, 261.0, None, None, 21.0, None, 21.08, None, None, 0.996, None, 2.9, 57.0, None, 71.77, 3.5, 1.0, 0.0, 0.0,2020-12-03 00:00:00,49
55.19, None, None, 4.5, 1.145, 253.0, -6.0, 0.4, None, None, 253.0, None, None, 21.0, None, 21.0, None, None, 1.53, None, 2.9, 55.0, None, 48.14, 1.1, 1.5, 0.1, 0.0,2020-12-03 01:00:00,49
56.54, None, None, 1.3, 0.196, 249.5, -6.0, 0.4, None, None, 250.0, None, None, 21.0, None, 21.09, None, None, 1.248, None, 2.9, 57.0, None, 36.46, 0.2, 1.2, -0.1, 0.0,2020-12-03 02:00:00,49
56.94, None, None, 3.4, 0.441, 273.1, -7.0, 0.4, None, None, 273.0, None, None, 21.0, None, 21.06, None, None, 0.95, None, 2.9, 57.0, None, 45.07, 0.4, 1.0, 0.0, 0.0,2020-12-03 03:00:00,49
57.35, None, None, 6.1, 2.131, 302.1, -6.0, 0.2, None, None, 302.0, None, None, 21.0, None, 20.6, None, None, 0.864, None, 2.9, 57.0, None, 38.89, 2.1, 0.9, 0.0, 0.0,2020-12-03 04:00:00,49
58.64, None, None, 6.6, 3.477, 350.1, -7.0, 0.2, None, None, 350.0, None, None, 21.0, None, 20.92, None, None, 0.601, None, 2.9, 59.0, None, 18.68, 3.5, 0.6, -0.1, 1.0,2020-12-03 05:00:00,49
61.62, None, None, 4.9, 1.393, 314.9, -6.0, -0.4, None, None, 315.0, None, None, 21.0, None, 20.97, None, None, -0.009, None, 0.6, 62.0, None, 41.49, 1.4, 0.0, -0.1, 0.0,2020-12-03 06:00:00,49
66.57, None, None, 4.4, 2.002, 236.8, -6.0, -1.5, None, None, 237.0, None, None, 21.0, None, 20.73, None, None, -0.94, None, 0.6, 67.0, None, 41.76, 2.0, -0.9, -0.1, 0.0,2020-12-03 07:00:00,49
69.53, None, None, 9.2, 3.029, 214.0, -6.0, -1.8, None, None, 214.0, None, None, 21.0, None, 20.89, None, None, -1.49, None, 0.6, 70.0, None, 19.86, 3.0, -1.5, -0.1, 0.0,2020-12-03 08:00:00,49
63.01, None, None, 12.6, 5.809, 210.1, -7.0, -1.8, None, None, 210.0, None, None, 20.0, None, 20.38, None, None, -0.239, None, 1.4, 63.0, None, 38.28, 5.8, -0.2, 0.5, -1.0,2020-12-03 09:00:00,49
56.07, None, None, 5.6, 1.571, 111.2, -7.0, -1.8, None, None, 111.0, None, None, 21.0, None, 20.56, None, None, 1.066, None, 2.7, 56.0, None, 60.4, 1.6, 1.1, 0.2, 0.0,2020-12-03 10:00:00,49
54.82, None, None, 5.6, 1.496, 107.1, -5.0, -1.8, None, None, 107.0, None, None, 20.0, None, 20.31, None, None, 2.272, None, 3.3, 55.0, None, 46.07, 1.5, 2.3, 0.3, 0.0,2020-12-03 11:00:00,49
