RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
97.9, None, None, None, 3.071, 203.1, -2.0, -2.3, None, 803.0, None, None, 9.0, None, 8.97, None, None, -2.3, None, -1.5, 98.0, 30.3, None, -2.3, 997.1, 0.3, 1.0,2022-10-22 00:00:00, 803.0,43
97.8, None, None, None, 3.395, 210.1, -2.0, -2.4, None, 804.0, None, None, 8.0, None, 8.18, 9.9, None, -2.233, None, -1.5, 98.0, 26.87, None, -2.2, 998.4, 0.1, -1.0,2022-10-22 01:00:00, 804.0,43
97.8, None, None, None, 2.462, 203.2, -2.0, -2.4, None, 804.0, None, None, 9.0, None, 9.07, 9.9, None, -2.253, None, -1.5, 98.0, 31.55, None, -2.3, 998.4, 0.1, 1.0,2022-10-22 02:00:00, 804.0,43
97.5, None, None, None, 1.651, 186.0, -2.0, -2.4, None, 802.0, None, None, 9.0, None, 8.9, 10.2, None, -2.387, None, -1.5, 98.0, 47.12, None, -2.4, 996.1, 0.3, 0.0,2022-10-22 03:00:00, 802.0,43
97.3, None, None, None, 1.946, 202.8, -3.0, -2.6, None, 803.0, None, None, 9.0, None, 9.03, 10.2, None, -2.368, None, -1.5, 97.0, 43.56, None, -2.4, 997.4, 0.1, 0.0,2022-10-22 04:00:00, 803.0,43
97.7, None, None, None, 1.599, 197.1, -3.0, -2.7, None, 803.0, None, None, 9.0, None, 8.56, 10.2, None, -2.566, None, -1.5, 98.0, 28.34, None, -2.6, 997.5, 0.1, -1.0,2022-10-22 05:00:00, 803.0,43
97.5, None, None, None, 3.978, 212.8, -3.0, -2.8, None, 803.0, None, None, 9.0, None, 9.05, 10.4, None, -2.689, None, -1.5, 98.0, 24.94, None, -2.7, 997.6, 0.2, 1.0,2022-10-22 06:00:00, 803.0,43
97.5, None, None, None, 2.138, 199.0, -3.0, -2.9, None, 803.0, None, None, 10.0, None, 9.71, 10.7, None, -2.708, None, -2.6, 98.0, 29.24, None, -2.7, 997.6, 0.3, 1.0,2022-10-22 07:00:00, 803.0,43
97.6, None, None, None, 2.519, 207.1, -3.0, -3.0, None, 803.0, None, None, 9.0, None, 8.9, 10.9, None, -2.803, None, -2.6, 98.0, 26.2, None, -2.8, 997.6, 0.2, -1.0,2022-10-22 08:00:00, 803.0,43
96.8, None, None, None, 4.676, 210.5, None, None, None, 804.0, None, None, None, None, 10.08, None, None, -2.467, None, None, None, 26.87, None, None, None, None, None,2022-10-22 09:00:00, None,43
94.4, None, None, None, 4.707, 216.9, -2.0, -3.0, None, 804.0, None, None, 10.0, None, 9.76, None, None, -1.763, None, -1.6, 94.0, 18.79, None, -1.8, 998.7, 0.5, 0.0,2022-10-22 10:00:00, 804.0,43
93.5, None, None, None, 5.875, 217.7, None, None, None, 804.0, None, None, None, None, 9.89, None, None, -1.328, None, None, None, 20.09, None, None, None, None, None,2022-10-22 11:00:00, None,43
89.2, None, None, None, 6.827, 220.3, None, None, None, 804.0, None, None, None, None, 10.45, None, None, -1.228, None, None, None, 17.94, None, None, None, None, None,2022-10-22 12:00:00, None,43
