pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None, 0.68, 6.3, None, None, None, -53.0, 0.7, 0.7, 0.1, None, None,2022-10-22 00:00:00, None, None,43
None, -0.063, 6.3, None, None, None, -49.0, -0.1, -0.1, 0.0, None, None,2022-10-22 01:00:00, None, None,43
None, -0.476, 6.3, None, None, None, -50.0, -0.5, -0.5, 0.0, None, None,2022-10-22 02:00:00, None, None,43
None, -0.861, 6.3, None, None, None, -50.0, -0.9, -0.9, 0.0, None, None,2022-10-22 03:00:00, None, None,43
None, -0.908, 6.3, None, None, None, -50.0, -0.9, -1.1, 0.0, None, None,2022-10-22 04:00:00, None, None,43
None, -0.635, 6.3, None, None, None, -50.0, -0.6, -1.1, 0.0, None, None,2022-10-22 05:00:00, None, None,43
None, -1.219, 6.3, None, None, None, -50.0, -1.2, -1.2, 0.0, None, None,2022-10-22 06:00:00, None, None,43
None, -1.615, -1.1, None, None, None, -50.0, -1.6, -1.6, 0.1, None, None,2022-10-22 07:00:00, None, None,43
None, -1.652, -1.1, None, None, None, -50.0, -1.7, -1.7, 0.0, None, None,2022-10-22 08:00:00, None, None,43
None, -0.202, -0.2, None, None, None, -49.0, -0.2, -1.7, None, None, None,2022-10-22 10:00:00, None, None,43
None, 0.4, 0.4, None, None, None, -53.0, 0.4, -1.7, 0.0, None, None,2022-10-22 11:00:00, None, None,43
None, 4.237, 4.2, None, None, None, -51.0, 4.2, -1.7, 0.1, None, None,2022-10-22 12:00:00, None, None,43
None, None, 6.2, None, None, None, -50.0, 6.1, -1.7, 0.0, None, None,2022-10-22 13:00:00, None, None,43
