AirTemperature,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
9.9,0.25,12.3,2016-09-02 00:00:00,19.0,98.0,36
9.9,0.0,15.8,2016-09-02 00:15:00,33.0,98.0,36
9.8,0.0,17.2,2016-09-02 00:30:00,37.0,98.0,36
9.9,0.25,14.9,2016-09-02 00:45:00,30.0,98.0,36
9.8,0.0,14.9,2016-09-02 01:00:00,32.0,98.0,36
9.7,0.0,14.7,2016-09-02 01:15:00,30.0,98.0,36
9.6,0.0,15.1,2016-09-02 01:30:00,32.0,98.0,36
9.5,0.0,15.5,2016-09-02 01:45:00,33.0,98.0,36
9.4,0.0,13.8,2016-09-02 02:00:00,27.0,98.0,36
9.3,0.0,17.3,2016-09-02 02:15:00,42.0,98.0,36
9.3,0.0,18.8,2016-09-02 02:30:00,40.0,98.0,36
9.3,0.0,15.2,2016-09-02 02:45:00,31.0,98.0,36
9.3,0.0,15.4,2016-09-02 03:00:00,31.0,98.0,36
9.4,0.0,14.6,2016-09-02 03:15:00,30.0,98.0,36
9.4,0.26,13.3,2016-09-02 03:30:00,21.0,98.0,36
9.4,0.51,14.3,2016-09-02 03:45:00,23.0,98.0,36
9.4,0.5,13.1,2016-09-02 04:00:00,25.0,98.0,36
9.3,0.51,13.8,2016-09-02 04:15:00,26.0,98.0,36
9.3,0.0,14.2,2016-09-02 04:30:00,26.0,98.0,36
9.2,0.26,12.9,2016-09-02 04:45:00,14.0,98.0,36
9.1,0.25,11.3,2016-09-02 05:00:00,14.0,98.0,36
9.0,0.76,8.7,2016-09-02 05:15:00,7.0,98.0,36
9.0,0.26,9.3,2016-09-02 05:30:00,9.0,98.0,36
8.9,0.5,1.1,2016-09-02 05:45:00,4.0,98.0,36
8.9,0.0,9.0,2016-09-02 06:00:00,6.0,98.0,36
8.9,0.0,3.1,2016-09-02 06:15:00,354.0,98.0,36
8.9,0.26,10.0,2016-09-02 06:30:00,4.0,98.0,36
9.0,0.25,2.2,2016-09-02 06:45:00,350.0,98.0,36
9.0,0.0,0.0,2016-09-02 07:00:00,355.0,98.0,36
9.1,0.0,6.5,2016-09-02 07:15:00,6.0,98.0,36
9.2,0.0,5.3,2016-09-02 07:30:00,356.0,98.0,36
9.3,0.0,5.1,2016-09-02 07:45:00,354.0,98.0,36
9.4,0.0,5.9,2016-09-02 08:00:00,343.0,98.0,36
9.8,0.0,6.4,2016-09-02 08:15:00,351.0,98.0,36
10.3,0.26,7.0,2016-09-02 08:30:00,352.0,98.0,36
10.3,0.0,11.5,2016-09-02 08:45:00,2.0,98.0,36
11.1,0.0,7.6,2016-09-02 09:00:00,347.0,97.0,36
11.9,0.0,9.8,2016-09-02 09:15:00,344.0,95.0,36
12.0,0.0,6.2,2016-09-02 09:30:00,341.0,90.0,36
11.9,0.0,5.0,2016-09-02 09:45:00,354.0,94.0,36
11.3,0.0,7.8,2016-09-02 10:00:00,7.0,94.0,36
12.2,0.0,0.0,2016-09-02 10:15:00,337.0,89.0,36
12.3,0.0,5.5,2016-09-02 10:30:00,5.0,91.0,36
12.1,0.0,9.9,2016-09-02 10:45:00,9.0,88.0,36
12.3,0.0,9.0,2016-09-02 11:00:00,7.0,90.0,36
12.3,0.0,12.4,2016-09-02 11:15:00,17.0,87.0,36
13.5,0.0,14.4,2016-09-02 11:30:00,23.0,83.0,36
13.7,0.0,13.3,2016-09-02 11:45:00,24.0,76.0,36
14.9,0.0,13.9,2016-09-02 12:00:00,26.0,72.0,36
15.2,0.0,17.4,2016-09-02 12:15:00,35.0,66.0,36
15.4,0.0,16.1,2016-09-02 12:30:00,32.0,65.0,36
15.3,0.0,18.5,2016-09-02 12:45:00,44.0,66.0,36
14.4,0.0,15.8,2016-09-02 13:00:00,26.0,72.0,36
15.1,0.0,14.5,2016-09-02 13:15:00,28.0,63.0,36
16.2,0.0,17.2,2016-09-02 13:30:00,25.0,58.0,36
16.6,0.0,15.3,2016-09-02 13:45:00,29.0,55.0,36
16.4,0.0,15.6,2016-09-02 14:00:00,29.0,57.0,36
17.3,0.0,14.6,2016-09-02 14:15:00,28.0,53.0,36
14.6,0.0,10.1,2016-09-02 14:30:00,1.0,80.0,36
12.5,0.0,11.4,2016-09-02 14:45:00,269.0,87.0,36
13.1,0.0,1.2,2016-09-02 15:00:00,341.0,83.0,36
13.6,0.0,8.9,2016-09-02 15:15:00,12.0,82.0,36
13.5,0.0,3.1,2016-09-02 15:30:00,345.0,79.0,36
12.9,0.0,0.7,2016-09-02 15:45:00,353.0,78.0,36
12.9,0.0,0.0,2016-09-02 16:00:00,348.0,85.0,36
13.0,0.25,1.4,2016-09-02 16:15:00,354.0,83.0,36
13.0,0.0,8.8,2016-09-02 16:30:00,14.0,85.0,36
13.0,0.0,13.2,2016-09-02 16:45:00,27.0,81.0,36
12.7,0.0,6.7,2016-09-02 17:00:00,3.0,83.0,36
12.1,0.0,10.4,2016-09-02 17:15:00,12.0,82.0,36
11.9,0.0,11.8,2016-09-02 17:30:00,26.0,83.0,36
11.8,0.25,6.2,2016-09-02 17:45:00,6.0,88.0,36
11.6,0.0,0.0,2016-09-02 18:00:00,351.0,92.0,36
11.5,0.0,0.0,2016-09-02 18:15:00,2.0,92.0,36
11.3,0.0,12.1,2016-09-02 18:30:00,32.0,90.0,36
10.9,0.0,12.9,2016-09-02 18:45:00,28.0,89.0,36
10.5,0.0,13.2,2016-09-02 19:00:00,27.0,89.0,36
10.2,0.0,14.6,2016-09-02 19:15:00,38.0,90.0,36
10.1,0.0,14.3,2016-09-02 19:30:00,31.0,91.0,36
9.9,0.0,12.0,2016-09-02 19:45:00,24.0,93.0,36
9.7,0.0,12.2,2016-09-02 20:00:00,20.0,93.0,36
9.5,0.0,12.2,2016-09-02 20:15:00,20.0,94.0,36
9.4,0.0,12.2,2016-09-02 20:30:00,22.0,95.0,36
9.3,0.0,10.8,2016-09-02 20:45:00,17.0,95.0,36
9.3,0.0,10.0,2016-09-02 21:00:00,10.0,95.0,36
9.3,0.0,0.0,2016-09-02 21:15:00,10.0,95.0,36
9.3,0.0,10.5,2016-09-02 21:30:00,15.0,95.0,36
9.0,0.0,12.5,2016-09-02 21:45:00,24.0,95.0,36
8.8,0.0,11.2,2016-09-02 22:00:00,17.0,96.0,36
8.7,0.0,12.0,2016-09-02 22:15:00,20.0,96.0,36
8.7,0.0,10.6,2016-09-02 22:30:00,13.0,97.0,36
8.6,0.0,11.5,2016-09-02 22:45:00,19.0,97.0,36
8.6,0.0,10.3,2016-09-02 23:00:00,15.0,97.0,36
8.5,0.0,12.6,2016-09-02 23:15:00,24.0,97.0,36
8.4,0.0,10.2,2016-09-02 23:30:00,13.0,97.0,36
8.4,0.0,8.7,2016-09-02 23:45:00,5.0,96.0,36
8.4,0.0,9.3,2016-09-03 00:00:00,8.0,96.0,36
8.4,0.0,8.7,2016-09-03 00:15:00,6.0,96.0,36
8.3,0.0,7.3,2016-09-03 00:30:00,3.0,95.0,36
8.3,0.0,8.7,2016-09-03 00:45:00,10.0,95.0,36
8.3,0.0,7.5,2016-09-03 01:00:00,3.0,95.0,36
8.2,0.0,8.6,2016-09-03 01:15:00,23.0,94.0,36
8.1,0.0,8.1,2016-09-03 01:30:00,3.0,95.0,36
8.1,0.0,9.5,2016-09-03 01:45:00,4.0,95.0,36
8.0,0.0,9.1,2016-09-03 02:00:00,6.0,95.0,36
7.9,0.0,10.4,2016-09-03 02:15:00,6.0,95.0,36
7.9,0.0,12.7,2016-09-03 02:30:00,18.0,94.0,36
8.1,0.0,12.3,2016-09-03 02:45:00,14.0,91.0,36
8.0,0.0,11.3,2016-09-03 03:00:00,16.0,93.0,36
7.6,0.0,10.9,2016-09-03 03:15:00,10.0,95.0,36
7.7,0.0,12.0,2016-09-03 03:30:00,14.0,95.0,36
7.7,0.0,11.2,2016-09-03 03:45:00,12.0,95.0,36
7.7,0.0,11.8,2016-09-03 04:00:00,13.0,95.0,36
7.8,0.0,10.4,2016-09-03 04:15:00,11.0,94.0,36
7.8,0.0,9.3,2016-09-03 04:30:00,9.0,94.0,36
7.7,0.0,10.1,2016-09-03 04:45:00,10.0,94.0,36
7.8,0.0,9.1,2016-09-03 05:00:00,9.0,94.0,36
7.8,0.0,9.2,2016-09-03 05:15:00,5.0,94.0,36
7.8,0.0,9.3,2016-09-03 05:30:00,6.0,94.0,36
7.8,0.0,10.1,2016-09-03 05:45:00,8.0,94.0,36
