pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
1.4, -0.335, 87.8, -0.2, 88.0, -2.0, -0.3, -1.4, -2.0, 0.0, 0.0,2021-01-01 00:00:00, -6999.0, 726.0,1
1.6, -0.106, 89.6, -0.1, 90.0, -1.0, -0.1, -1.4, -1.0, 0.2, 0.0,2021-01-01 01:00:00, -6999.0, 726.0,1
2.2, -0.264, 92.3, 0.0, 92.0, -1.0, -0.3, -1.4, -1.0, 0.6, 1.0,2021-01-01 02:00:00, -6999.0, 726.0,1
2.7, -0.228, 93.5, 0.0, 94.0, -1.0, -0.2, -1.4, -1.0, 0.5, 0.0,2021-01-01 03:00:00, -6999.0, 726.0,1
2.7, -0.102, 93.6, 0.0, 94.0, -1.0, -0.1, -1.4, -1.0, 0.0, 0.0,2021-01-01 04:00:00, -6999.0, 725.0,1
2.7, 0.179, 92.2, 0.3, 92.0, -1.0, 0.2, -1.4, -1.0, 0.0, 0.0,2021-01-01 05:00:00, -6999.0, 725.0,1
2.2, 0.523, 89.3, 0.7, 89.0, -1.0, 0.5, -1.4, -1.0, 0.0, 0.0,2021-01-01 06:00:00, -6999.0, 725.0,1
1.5, 0.799, 87.8, 0.8, 88.0, -1.0, 0.8, 0.5, -1.0, 0.0, 0.0,2021-01-01 07:00:00, -6999.0, 724.0,1
1.3, 0.637, 89.1, 1.0, 89.0, -1.0, 0.6, 0.5, -1.0, 0.0, 0.0,2021-01-01 08:00:00, -6999.0, 724.0,1
1.3, 1.234, 85.7, 1.5, 86.0, -1.0, 1.2, 0.5, -1.0, 0.0, 0.0,2021-01-01 09:00:00, -6999.0, 724.0,1
1.3, 1.752, 85.2, 1.8, 85.0, -1.0, 1.8, 0.5, -1.0, 0.0, 0.0,2021-01-01 10:00:00, -6999.0, 724.0,1
1.3, 1.85, 86.9, 2.1, 87.0, 0.0, 1.9, 0.5, 0.0, 0.0, 0.0,2021-01-01 11:00:00, -6999.0, 723.0,1
1.3, 2.312, 86.0, 2.8, 86.0, 0.0, 2.3, 0.5, 0.0, 0.0, 0.0,2021-01-01 12:00:00, -6999.0, 722.0,1
1.3, 3.296, 82.8, 3.2, 83.0, 1.0, 3.3, 0.5, 1.0, 0.0, 0.0,2021-01-01 13:00:00, -6999.0, 722.0,1
1.3, 3.214, 85.3, 3.4, 85.0, 1.0, 3.2, 0.5, 1.0, 0.0, 0.0,2021-01-01 14:00:00, -6999.0, 721.0,1
1.3, 2.812, 88.5, 3.4, 89.0, 1.0, 2.8, 0.5, 1.0, 0.0, 0.0,2021-01-01 15:00:00, -6999.0, 721.0,1
1.3, 3.636, 80.6, 4.3, 81.0, 1.0, 3.6, 0.5, 1.0, 0.0, 0.0,2021-01-01 16:00:00, -6999.0, 720.0,1
1.3, 2.534, 86.4, 4.3, 86.0, 0.0, 2.5, 0.5, 0.0, 0.0, 0.0,2021-01-01 17:00:00, -6999.0, 720.0,1
1.3, 2.882, 83.6, 4.3, 84.0, 1.0, 2.9, 0.5, 1.0, 0.0, 0.0,2021-01-01 18:00:00, -6999.0, 720.0,1
1.3, 1.807, 89.3, 2.9, 89.0, 0.0, 1.8, 1.8, 0.0, 0.0, 0.0,2021-01-01 19:00:00, -6999.0, 719.0,1
1.3, 1.74, 88.9, 2.9, 89.0, 0.0, 1.7, 1.6, 0.0, 0.0, 0.0,2021-01-01 20:00:00, -6999.0, 720.0,1
1.3, 1.179, 92.6, 2.9, 93.0, 0.0, 1.2, 1.2, 0.0, 0.0, 0.0,2021-01-01 21:00:00, -6999.0, 720.0,1
1.3, 0.764, 93.8, 2.9, 94.0, 0.0, 0.8, 0.8, 0.0, 0.0, 0.0,2021-01-01 22:00:00, -6999.0, 721.0,1
1.3, 0.511, 95.7, 2.9, 96.0, 0.0, 0.5, 0.3, 0.0, 0.0, 0.0,2021-01-01 23:00:00, -6999.0, 721.0,1
1.3, 0.59, 95.6, 2.9, 96.0, 0.0, 0.6, 0.3, 0.0, 0.0, 0.0,2021-01-02 00:00:00, -6999.0, 721.0,1
1.1, 1.507, 92.1, 2.9, 92.0, 1.0, 1.5, 0.3, 1.0, 0.0, 0.0,2021-01-02 01:00:00, -6999.0, 720.0,1
0.5, 2.068, 86.7, 2.9, 87.0, 0.0, 2.1, 0.3, 0.0, 0.0, 0.0,2021-01-02 02:00:00, -6999.0, 720.0,1
0.0, 1.929, 87.7, 2.9, 88.0, 0.0, 1.9, 0.3, 0.0, 0.0, 0.0,2021-01-02 03:00:00, -6999.0, 720.0,1
0.0, 2.174, 85.4, 2.9, 85.0, 0.0, 2.2, 0.3, 0.0, 0.0, 0.0,2021-01-02 04:00:00, -6999.0, 720.0,1
0.0, 1.637, 86.3, 2.9, 86.0, 0.0, 1.6, 0.3, 0.0, 0.0, 0.0,2021-01-02 05:00:00, -6999.0, 720.0,1
0.0, 2.167, 83.4, 2.9, 83.0, -1.0, 2.2, 0.3, -1.0, 0.0, 0.0,2021-01-02 06:00:00, -6999.0, 720.0,1
0.0, 1.779, 84.4, 2.3, 84.0, -1.0, 1.8, 1.7, -1.0, 0.0, 0.0,2021-01-02 07:00:00, -6999.0, 720.0,1
0.0, 1.388, 88.3, 2.3, 88.0, 0.0, 1.4, 1.2, 0.0, 0.0, 0.0,2021-01-02 08:00:00, -6999.0, 721.0,1
0.0, 1.878, 84.9, 2.3, 85.0, 0.0, 1.9, 1.2, 0.0, 0.0, 0.0,2021-01-02 09:00:00, -6999.0, 721.0,1
0.0, 2.751, 79.51, 2.8, 80.0, 0.0, 2.8, 1.2, 0.0, 0.0, 0.0,2021-01-02 10:00:00, -6999.0, 720.0,1
0.0, 3.056, 79.08, 3.3, 79.0, 0.0, 3.1, 1.2, 0.0, 0.0, 0.0,2021-01-02 11:00:00, -6999.0, 720.0,1
0.0, 3.981, 75.54, 4.0, 76.0, 0.0, 4.0, 1.2, 0.0, 0.0, 0.0,2021-01-02 12:00:00, -6999.0, 719.0,1
0.0, 4.047, 75.6, 4.4, 76.0, 0.0, 4.0, 1.2, 0.0, 0.0, 0.0,2021-01-02 13:00:00, -6999.0, 719.0,1
0.0, 4.337, 76.83, 4.4, 77.0, 1.0, 4.3, 1.2, 1.0, 0.0, 0.0,2021-01-02 14:00:00, -6999.0, 718.0,1
0.0, 2.673, 86.9, 4.4, 87.0, 1.0, 2.7, 1.2, 1.0, 0.0, 0.0,2021-01-02 15:00:00, -6999.0, 718.0,1
