pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,-3.896, None, None, None, None,75.5, None,0.166,112.0, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 00:00:00, None, None, 78.8, None,2
None,-4.288, None, None, None, None,63.03, None,0.652,338.2, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 01:00:00, None, None, 79.2, None,2
None,-4.479, None, None, None, None,30.59, None,1.086,341.5, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 02:00:00, None, None, 78.9, None,2
None,-4.525, None, None, None, None,40.13, None,1.216,351.3, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 03:00:00, None, None, 79.4, None,2
None,-4.889, None, None, None, None,15.0, None,1.163,341.4, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 04:00:00, None, None, 78.9, None,2
None,-4.803, None, None, None, None,22.2, None,1.105,346.5, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 05:00:00, None, None, 79.3, None,2
None,-5.458, None, None, None, None,42.81, None,0.834,344.9, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 06:00:00, None, None, 78.9, None,2
None,-5.709, None, None, None, None,33.28, None,1.153,329.7, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 07:00:00, None, None, 79.3, None,2
None,-5.962, None, None, None, None,47.66, None,0.835,339.3, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 08:00:00, None, None, 79.0, None,2
None,-6.117, None, None, None, None,33.78, None,0.758,339.8, None, None, None, None, None, None, None, None, None, None, None,2016-01-08 09:00:00, None, None, 78.9, None,2
