pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,time,MIN_TEMP,week_of_year
None, None, None, None, None, 8.3, 111.0, None, None, 204.0, 426.0,2020-04-15 00:00:00, None,16
None, None, None, None, None, 6.8, 111.0, None, None, 203.0, 427.0,2020-04-15 01:00:00, None,16
None, None, None, None, None, 5.1, 111.0, None, None, 201.0, 427.0,2020-04-15 02:00:00, None,16
None, None, None, None, None, 3.3, 112.0, None, None, 196.0, 428.0,2020-04-15 03:00:00, None,16
None, None, None, None, None, 1.0, 112.0, None, None, 194.0, 428.0,2020-04-15 04:00:00, None,16
None, None, None, None, None, -1.3, 112.0, None, None, 194.0, 428.0,2020-04-15 05:00:00, None,16
None, None, None, None, None, -2.9, 112.0, None, None, 195.0, 429.0,2020-04-15 06:00:00, None,16
None, None, None, None, None, -3.0, 112.0, None, None, 195.0, 429.0,2020-04-15 07:00:00, None,16
None, None, None, None, None, -3.3, 112.0, None, None, 194.0, 431.0,2020-04-15 08:00:00, None,16
None, None, None, None, None, -4.0, 112.0, None, None, 194.0, 432.0,2020-04-15 09:00:00, None,16
None, None, None, None, None, -4.5, 112.0, None, None, 194.0, 433.0,2020-04-15 10:00:00, None,16
None, None, None, None, None, -5.1, 112.0, None, None, 194.0, 434.0,2020-04-15 11:00:00, None,16
None, None, None, None, None, -5.8, 112.0, None, None, 193.0, 434.0,2020-04-15 12:00:00, None,16
None, None, None, None, None, -6.2, 112.0, None, None, 193.0, 435.0,2020-04-15 13:00:00, None,16
None, None, None, None, None, -6.6, 112.0, None, None, 193.0, 435.0,2020-04-15 14:00:00, None,16
None, None, None, None, None, -5.9, 112.0, None, None, 193.0, 435.0,2020-04-15 15:00:00, None,16
None, 0.0, None, None, None, -3.6, 111.0, None, None, 193.0, 435.0,2020-04-15 16:00:00, None,16
None, None, None, None, None, 4.6, 111.0, None, None, 194.0, 430.0,2020-04-15 17:00:00, None,16
None, None, None, None, None, 8.5, 110.0, None, None, 195.0, 425.0,2020-04-15 18:00:00, None,16
None, None, None, None, None, 9.9, 111.0, None, None, 195.0, 429.0,2020-04-15 19:00:00, None,16
None, None, None, None, None, 10.4, 110.0, None, None, 196.0, 432.0,2020-04-15 20:00:00, None,16
None, None, None, None, None, 9.5, 109.0, None, None, 196.0, 432.0,2020-04-15 21:00:00, None,16
None, None, None, None, None, 11.2, 109.0, None, None, 197.0, 432.0,2020-04-15 22:00:00, None,16
None, None, None, None, None, 9.0, 110.0, None, None, 198.0, 432.0,2020-04-15 23:00:00, None,16
None, None, None, None, None, 8.6, 109.0, None, None, 196.0, 431.0,2020-04-16 00:00:00, None,16
None, None, None, None, None, 7.9, 108.0, None, None, 196.0, 429.0,2020-04-16 01:00:00, None,16
None, None, None, None, None, 7.3, 109.0, None, None, 196.0, 428.0,2020-04-16 02:00:00, None,16
None, None, None, None, None, 5.9, 109.0, None, None, 195.0, 428.0,2020-04-16 03:00:00, None,16
None, None, None, None, None, 5.1, 109.0, None, None, 194.0, 428.0,2020-04-16 04:00:00, None,16
None, None, None, None, None, 3.9, 108.0, None, None, 194.0, 427.0,2020-04-16 05:00:00, None,16
None, None, None, None, None, 2.4, 109.0, None, None, 194.0, 426.0,2020-04-16 06:00:00, None,16
None, None, None, None, None, 2.0, 109.0, None, None, 195.0, 426.0,2020-04-16 07:00:00, None,16
None, None, None, None, None, 1.3, 109.0, None, None, 194.0, 425.0,2020-04-16 08:00:00, None,16
None, None, None, None, None, -1.0, 110.0, None, None, 194.0, 425.0,2020-04-16 09:00:00, None,16
None, None, None, None, None, -2.2, 109.0, None, None, 194.0, 425.0,2020-04-16 10:00:00, None,16
None, None, None, None, None, -2.7, 109.0, None, None, 194.0, 427.0,2020-04-16 11:00:00, None,16
None, None, None, None, None, -2.9, 109.0, None, None, 194.0, 428.0,2020-04-16 12:00:00, None,16
None, None, None, None, None, -3.1, 109.0, None, None, 193.0, 428.0,2020-04-16 13:00:00, None,16
None, None, None, None, None, -3.4, 109.0, None, None, 193.0, 428.0,2020-04-16 14:00:00, None,16
None, None, None, None, None, -3.0, 109.0, None, None, 193.0, 428.0,2020-04-16 15:00:00, None,16
None, 0.0, None, None, None, 0.1, 109.0, None, None, 193.0, 428.0,2020-04-16 16:00:00, None,16
None, None, None, None, None, 5.9, 109.0, None, None, 194.0, 425.0,2020-04-16 17:00:00, None,16
None, None, None, None, None, 8.0, 109.0, None, None, 195.0, 423.0,2020-04-16 18:00:00, None,16
None, None, None, None, None, 8.5, 108.0, None, None, 196.0, 426.0,2020-04-16 19:00:00, None,16
None, None, None, None, None, 7.4, 108.0, None, None, 196.0, 426.0,2020-04-16 20:00:00, None,16
None, None, None, None, None, 6.4, 108.0, None, None, 195.0, 426.0,2020-04-16 21:00:00, None,16
None, None, None, None, None, 6.2, 108.0, None, None, 195.0, 426.0,2020-04-16 22:00:00, None,16
None, None, None, None, None, 6.5, 108.0, None, None, 196.0, 425.0,2020-04-16 23:00:00, None,16
None, None, None, None, None, 6.7, 107.0, None, None, 196.0, 424.0,2020-04-17 00:00:00, None,16
None, None, None, None, None, 6.6, 107.0, None, None, 196.0, 423.0,2020-04-17 01:00:00, None,16
None, None, None, None, None, 5.6, 107.0, None, None, 196.0, 422.0,2020-04-17 02:00:00, None,16
None, None, None, None, None, 4.7, 107.0, None, None, 194.0, 421.0,2020-04-17 03:00:00, None,16
None, None, None, None, None, 4.3, 107.0, None, None, 194.0, 420.0,2020-04-17 04:00:00, None,16
None, None, None, None, None, 3.5, 106.0, None, None, 194.0, 419.0,2020-04-17 05:00:00, None,16
None, None, None, None, None, 3.6, 106.0, None, None, 194.0, 418.0,2020-04-17 06:00:00, None,16
None, None, None, None, None, 3.1, 107.0, None, None, 194.0, 418.0,2020-04-17 07:00:00, None,16
None, None, None, None, None, 2.9, 106.0, None, None, 194.0, 417.0,2020-04-17 08:00:00, None,16
None, None, None, None, None, 2.6, 106.0, None, None, 194.0, 417.0,2020-04-17 09:00:00, None,16
None, None, None, None, None, 2.5, 106.0, None, None, 195.0, 417.0,2020-04-17 10:00:00, None,16
None, None, None, None, None, 2.0, 105.0, None, None, 195.0, 417.0,2020-04-17 11:00:00, None,16
None, None, None, None, None, 1.6, 106.0, None, None, 195.0, 416.0,2020-04-17 12:00:00, None,16
None, None, None, None, None, 1.0, 106.0, None, None, 195.0, 416.0,2020-04-17 13:00:00, None,16
None, None, None, None, None, 0.9, 106.0, None, None, 195.0, 416.0,2020-04-17 14:00:00, None,16
None, None, None, None, None, 1.7, 106.0, None, None, 195.0, 416.0,2020-04-17 15:00:00, None,16
None, 0.0, None, None, None, 2.6, 106.0, None, None, 195.0, 416.0,2020-04-17 16:00:00, None,16
None, None, None, None, None, 3.8, 106.0, None, None, 196.0, 416.0,2020-04-17 17:00:00, None,16
None, None, None, None, None, 3.6, 106.0, None, None, 196.0, 416.0,2020-04-17 18:00:00, None,16
None, None, None, None, None, 5.1, 105.0, None, None, 198.0, 416.0,2020-04-17 19:00:00, None,16
None, None, None, None, None, 6.9, 105.0, None, None, 199.0, 415.0,2020-04-17 20:00:00, None,16
None, None, None, None, None, 7.3, 104.0, None, None, 200.0, 415.0,2020-04-17 21:00:00, None,16
None, None, None, None, None, 8.2, 104.0, None, None, 202.0, 415.0,2020-04-17 22:00:00, None,16
None, None, None, None, None, 10.3, 103.0, None, None, 203.0, 414.0,2020-04-17 23:00:00, None,16
None, None, None, None, None, 9.2, 103.0, None, None, 203.0, 414.0,2020-04-18 00:00:00, None,16
None, None, None, None, None, 7.3, 104.0, None, None, 202.0, 413.0,2020-04-18 01:00:00, None,16
None, None, None, None, None, 6.2, 103.0, None, None, 202.0, 413.0,2020-04-18 02:00:00, None,16
None, None, None, None, None, 4.5, 104.0, None, None, 200.0, 413.0,2020-04-18 03:00:00, None,16
None, None, None, None, None, 1.7, 104.0, None, None, 197.0, 413.0,2020-04-18 04:00:00, None,16
None, None, None, None, None, -0.9, 104.0, None, None, 195.0, 413.0,2020-04-18 05:00:00, None,16
None, None, None, None, None, -1.4, 104.0, None, None, 195.0, 413.0,2020-04-18 06:00:00, None,16
None, None, None, None, None, -2.0, 104.0, None, None, 195.0, 413.0,2020-04-18 07:00:00, None,16
None, None, None, None, None, -2.9, 104.0, None, None, 195.0, 413.0,2020-04-18 08:00:00, None,16
None, None, None, None, None, -3.1, 104.0, None, None, 195.0, 413.0,2020-04-18 09:00:00, None,16
None, None, None, None, None, -3.4, 104.0, None, None, 195.0, 414.0,2020-04-18 10:00:00, None,16
None, None, None, None, None, -3.9, 104.0, None, None, 194.0, 414.0,2020-04-18 11:00:00, None,16
None, None, None, None, None, -4.5, 104.0, None, None, 194.0, 414.0,2020-04-18 12:00:00, None,16
None, None, None, None, None, -5.1, 104.0, None, None, 194.0, 414.0,2020-04-18 13:00:00, None,16
None, None, None, None, None, -5.4, 104.0, None, None, 194.0, 414.0,2020-04-18 14:00:00, None,16
None, None, None, None, None, -4.7, 104.0, None, None, 194.0, 414.0,2020-04-18 15:00:00, None,16
None, 0.0, None, None, None, -2.6, 104.0, None, None, 194.0, 414.0,2020-04-18 16:00:00, None,16
None, None, None, None, None, 5.8, 102.0, None, None, 195.0, 413.0,2020-04-18 17:00:00, None,16
None, None, None, None, None, 10.4, 102.0, None, None, 196.0, 410.0,2020-04-18 18:00:00, None,16
None, None, None, None, None, 11.6, 103.0, None, None, 197.0, 413.0,2020-04-18 19:00:00, None,16
None, None, None, None, None, 13.8, 101.0, None, None, 200.0, 413.0,2020-04-18 20:00:00, None,16
None, None, None, None, None, 13.2, 102.0, None, None, 204.0, 413.0,2020-04-18 21:00:00, None,16
None, None, None, None, None, 15.0, 100.0, None, None, 204.0, 413.0,2020-04-18 22:00:00, None,16
None, None, None, None, None, 13.6, 101.0, None, None, 204.0, 413.0,2020-04-18 23:00:00, None,16
None, None, None, None, None, 10.9, 102.0, None, None, 203.0, 412.0,2020-04-19 00:00:00, None,16
None, None, None, None, None, 9.1, 102.0, None, None, 201.0, 411.0,2020-04-19 01:00:00, None,16
None, None, None, None, None, 7.3, 102.0, None, None, 200.0, 410.0,2020-04-19 02:00:00, None,16
None, None, None, None, None, 5.8, 102.0, None, None, 196.0, 410.0,2020-04-19 03:00:00, None,16
None, None, None, None, None, 3.0, 102.0, None, None, 195.0, 410.0,2020-04-19 04:00:00, None,16
None, None, None, None, None, 0.3, 102.0, None, None, 195.0, 410.0,2020-04-19 05:00:00, None,16
None, None, None, None, None, -1.1, 102.0, None, None, 195.0, 409.0,2020-04-19 06:00:00, None,16
None, None, None, None, None, -1.4, 102.0, None, None, 194.0, 409.0,2020-04-19 07:00:00, None,16
None, None, None, None, None, -2.3, 102.0, None, None, 194.0, 409.0,2020-04-19 08:00:00, None,16
None, None, None, None, None, -2.3, 102.0, None, None, 194.0, 409.0,2020-04-19 09:00:00, None,16
None, None, None, None, None, -2.8, 102.0, None, None, 194.0, 408.0,2020-04-19 10:00:00, None,16
None, None, None, None, None, -3.2, 102.0, None, None, 194.0, 408.0,2020-04-19 11:00:00, None,16
None, None, None, None, None, -3.6, 102.0, None, None, 193.0, 408.0,2020-04-19 12:00:00, None,16
None, None, None, None, None, -4.0, 102.0, None, None, 193.0, 408.0,2020-04-19 13:00:00, None,16
None, None, None, None, None, -4.1, 102.0, None, None, 193.0, 407.0,2020-04-19 14:00:00, None,16
None, None, None, None, None, -3.6, 102.0, None, None, 193.0, 407.0,2020-04-19 15:00:00, None,16
None, 0.0, None, None, None, -0.7, 102.0, None, None, 193.0, 406.0,2020-04-19 16:00:00, None,16
None, None, None, None, None, 7.8, 101.0, None, None, 194.0, 405.0,2020-04-19 17:00:00, None,16
None, None, None, None, None, 10.5, 101.0, None, None, 195.0, 404.0,2020-04-19 18:00:00, None,16
None, None, None, None, None, 12.3, 101.0, None, None, 195.0, 406.0,2020-04-19 19:00:00, None,16
None, None, None, None, None, 13.5, 100.0, None, None, 197.0, 407.0,2020-04-19 20:00:00, None,16
None, None, None, None, None, 13.5, 100.0, None, None, 203.0, 408.0,2020-04-19 21:00:00, None,16
None, None, None, None, None, 13.6, 101.0, None, None, 203.0, 408.0,2020-04-19 22:00:00, None,16
None, None, None, None, None, 13.2, 99.0, None, None, 203.0, 407.0,2020-04-19 23:00:00, None,16
None, None, None, None, None, 12.3, 100.0, None, None, 203.0, 406.0,2020-04-20 00:00:00, None,16
None, None, None, None, None, 11.3, 99.0, None, None, 201.0, 405.0,2020-04-20 01:00:00, None,16
None, None, None, None, None, 10.2, 99.0, None, None, 199.0, 404.0,2020-04-20 02:00:00, None,16
None, None, None, None, None, 8.7, 99.0, None, None, 195.0, 403.0,2020-04-20 03:00:00, None,16
None, None, None, None, None, 7.0, 98.0, None, None, 194.0, 403.0,2020-04-20 04:00:00, None,16
None, None, None, None, None, 5.9, 99.0, None, None, 194.0, 402.0,2020-04-20 05:00:00, None,16
None, None, None, None, None, 5.2, 99.0, None, None, 194.0, 401.0,2020-04-20 06:00:00, None,16
None, None, None, None, None, 4.8, 99.0, None, None, 195.0, 400.0,2020-04-20 07:00:00, None,16
None, None, None, None, None, 4.3, 99.0, None, None, 194.0, 399.0,2020-04-20 08:00:00, None,16
None, None, None, None, None, 4.0, 99.0, None, None, 194.0, 399.0,2020-04-20 09:00:00, None,16
None, None, None, None, None, 3.6, 99.0, None, None, 194.0, 399.0,2020-04-20 10:00:00, None,16
None, None, None, None, None, 3.6, 99.0, None, None, 194.0, 398.0,2020-04-20 11:00:00, None,16
None, None, None, None, None, 3.5, 99.0, None, None, 194.0, 398.0,2020-04-20 12:00:00, None,16
None, None, None, None, None, 3.1, 99.0, None, None, 194.0, 398.0,2020-04-20 13:00:00, None,16
None, None, None, None, None, 2.6, 99.0, None, None, 193.0, 398.0,2020-04-20 14:00:00, None,16
None, None, None, None, None, 3.2, 99.0, None, None, 194.0, 398.0,2020-04-20 15:00:00, None,16
None, 0.0, None, None, None, 4.1, 99.0, None, None, 194.0, 398.0,2020-04-20 16:00:00, None,16
None, None, None, None, None, 6.1, 99.0, None, None, 194.0, 398.0,2020-04-20 17:00:00, None,16
None, None, None, None, None, 8.5, 98.0, None, None, 195.0, 398.0,2020-04-20 18:00:00, None,16
None, None, None, None, None, 9.1, 98.0, None, None, 195.0, 398.0,2020-04-20 19:00:00, None,16
None, None, None, None, None, 10.4, 97.0, None, None, 194.0, 399.0,2020-04-20 20:00:00, None,16
None, None, None, None, None, 10.5, 96.0, None, None, 196.0, 400.0,2020-04-20 21:00:00, None,16
None, None, None, None, None, 10.6, 96.0, None, None, 196.0, 400.0,2020-04-20 22:00:00, None,16
None, None, None, None, None, 8.5, 96.0, None, None, 195.0, 398.0,2020-04-20 23:00:00, None,16
None, None, None, None, None, 8.5, 96.0, None, None, 194.0, 398.0,2020-04-21 00:00:00, None,16
None, None, None, None, None, 7.3, 96.0, None, None, 194.0, 396.0,2020-04-21 01:00:00, None,16
None, None, None, None, None, 6.5, 95.0, None, None, 194.0, 395.0,2020-04-21 02:00:00, None,16
None, None, None, None, None, 5.2, 95.0, None, None, 194.0, 394.0,2020-04-21 03:00:00, None,16
None, None, None, None, None, 4.1, 95.0, None, None, 194.0, 393.0,2020-04-21 04:00:00, None,16
None, None, None, None, None, 3.1, 94.0, None, None, 194.0, 392.0,2020-04-21 05:00:00, None,16
None, None, None, None, None, 2.2, 95.0, None, None, 193.0, 390.0,2020-04-21 06:00:00, None,16
None, None, None, None, None, 1.4, 95.0, None, None, 193.0, 389.0,2020-04-21 07:00:00, None,16
None, None, None, None, None, 1.0, 95.0, None, None, 194.0, 388.0,2020-04-21 08:00:00, None,16
None, None, None, None, None, 1.0, 95.0, None, None, 193.0, 387.0,2020-04-21 09:00:00, None,16
None, None, None, None, None, 0.5, 95.0, None, None, 193.0, 387.0,2020-04-21 10:00:00, None,16
None, None, None, None, None, 0.4, 94.0, None, None, 193.0, 386.0,2020-04-21 11:00:00, None,16
None, None, None, None, None, 0.4, 95.0, None, None, 193.0, 386.0,2020-04-21 12:00:00, None,16
None, None, None, None, None, 0.6, 94.0, None, None, 193.0, 385.0,2020-04-21 13:00:00, None,16
None, None, None, None, None, 0.1, 93.0, None, None, 193.0, 385.0,2020-04-21 14:00:00, None,16
None, None, None, None, None, 0.3, 94.0, None, None, 193.0, 385.0,2020-04-21 15:00:00, None,16
None, 0.0, None, None, None, 1.4, 94.0, None, None, 193.0, 385.0,2020-04-21 16:00:00, None,16
