SolarRadiation,AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
0.0, 7.1, 0.0,0.0, 5.2, 0.0,2020-05-27 00:00:00, 29.0,100.0,22
None, 7.0, None,0.0, 4.3, None,2020-05-27 00:15:00, 38.0,100.0,22
None, 7.0, None,0.0, 4.5, None,2020-05-27 00:30:00, 44.0,100.0,22
None, 7.0, None,0.0, 4.4, None,2020-05-27 00:45:00, 45.0,100.0,22
0.0, 6.9, 1.0,0.0, 5.1, 0.001,2020-05-27 01:00:00, 52.0,100.0,22
None, 7.1, None,0.0, 5.3, None,2020-05-27 01:15:00, 61.0,100.0,22
None, 7.9, None,0.0, 5.2, None,2020-05-27 01:30:00, 61.0,100.0,22
None, 8.2, None,0.0, 4.2, None,2020-05-27 01:45:00, 69.0,100.0,22
0.0, 7.8, 0.0,0.0, 4.7, 0.0,2020-05-27 02:00:00, 73.0,100.0,22
None, 7.7, None,0.0, 5.0, None,2020-05-27 02:15:00, 68.0,100.0,22
None, 8.3, None,0.0, 5.1, None,2020-05-27 02:30:00, 57.0,92.0,22
None, 8.6, None,0.0, 4.3, None,2020-05-27 02:45:00, 54.0,81.0,22
0.0, 8.7, -1.0,0.0, 5.2, 0.001,2020-05-27 03:00:00, 51.0,75.0,22
None, 8.1, None,0.0, 4.9, None,2020-05-27 03:15:00, 34.0,92.0,22
None, 7.6, None,0.0, 6.3, None,2020-05-27 03:30:00, 27.0,94.0,22
None, 7.2, None,0.0, 5.6, None,2020-05-27 03:45:00, 18.0,98.0,22
0.0, 8.1, 1.0,0.0, 6.0, 0.0,2020-05-27 04:00:00, 35.0,77.0,22
None, 8.8, None,0.0, 5.8, None,2020-05-27 04:15:00, 31.0,72.0,22
None, 9.0, None,0.0, 7.6, None,2020-05-27 04:30:00, 21.0,71.0,22
None, 9.2, None,0.0, 6.6, None,2020-05-27 04:45:00, 19.0,69.0,22
6.0, 9.3, 0.0,0.0, 7.7, 0.002,2020-05-27 05:00:00, 13.0,69.0,22
None, 9.3, None,0.0, 8.4, None,2020-05-27 05:15:00, 26.0,69.0,22
None, 9.1, None,0.0, 6.9, None,2020-05-27 05:30:00, 20.0,70.0,22
None, 9.2, None,0.0, 9.1, None,2020-05-27 05:45:00, 18.0,69.0,22
21.0, 9.2, 0.0,0.0, 8.1, 0.002,2020-05-27 06:00:00, 14.0,71.0,22
None, 9.3, None,0.0, 7.4, None,2020-05-27 06:15:00, 6.0,72.0,22
None, 9.7, None,0.0, 7.9, None,2020-05-27 06:30:00, 359.0,71.0,22
None, 10.9, None,0.0, 8.8, None,2020-05-27 06:45:00, 2.0,66.0,22
91.0, 11.6, 0.0,0.0, 8.0, 0.0,2020-05-27 07:00:00, 6.0,66.0,22
None, 12.1, None,0.0, 6.9, None,2020-05-27 07:15:00, 16.0,65.0,22
None, 12.5, None,0.0, 7.4, None,2020-05-27 07:30:00, 11.0,64.0,22
None, 12.8, None,0.0, 9.3, None,2020-05-27 07:45:00, 358.0,64.0,22
380.0, 13.5, 1.0,0.0, 7.3, 0.0,2020-05-27 08:00:00, 351.0,62.0,22
None, 13.9, None,0.0, 5.3, None,2020-05-27 08:15:00, 354.0,60.0,22
None, 13.9, None,0.0, 6.5, None,2020-05-27 08:30:00, 36.0,60.0,22
None, 14.4, None,0.0, 8.3, None,2020-05-27 08:45:00, 353.0,58.0,22
606.0, 14.5, 0.0,0.0, 7.9, 0.001,2020-05-27 09:00:00, 359.0,58.0,22
None, 15.1, None,0.0, 7.5, None,2020-05-27 09:15:00, 356.0,57.0,22
None, 15.9, None,0.0, 6.3, None,2020-05-27 09:30:00, 346.0,54.0,22
None, 16.5, None,0.0, 6.4, None,2020-05-27 09:45:00, 341.0,53.0,22
776.0, 17.0, 0.0,0.0, 7.4, 0.0,2020-05-27 10:00:00, 334.0,53.0,22
None, 17.0, None,0.0, 5.3, None,2020-05-27 10:15:00, 64.0,54.0,22
None, 16.8, None,0.0, 7.2, None,2020-05-27 10:30:00, 14.0,54.0,22
None, 17.4, None,0.0, 5.3, None,2020-05-27 10:45:00, 360.0,51.0,22
889.0, 17.2, 0.0,0.0, 8.3, 0.0,2020-05-27 11:00:00, 58.0,51.0,22
None, 17.3, None,0.0, 7.2, None,2020-05-27 11:15:00, 62.0,51.0,22
None, 18.2, None,0.0, 4.9, None,2020-05-27 11:30:00, 17.0,48.0,22
None, 18.5, None,0.0, 4.7, None,2020-05-27 11:45:00, 36.0,44.0,22
930.0, 18.5, -1.0,0.0, 4.8, 0.0,2020-05-27 12:00:00, 40.0,40.0,22
None, 18.4, None,0.0, 7.6, None,2020-05-27 12:15:00, 34.0,41.0,22
None, 18.5, None,0.0, 7.0, None,2020-05-27 12:30:00, 46.0,40.0,22
None, 18.6, None,0.0, 5.6, None,2020-05-27 12:45:00, 40.0,38.0,22
