station_observations
pcpn_amt_pst24hrs, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, cum_pcpn_amt, MIN_TEMP, ONE_DAY_SNOW, time, air_temp_1, SNOW_ON_THE_GROUND, snw_dpth, MAX_TEMP
None, None, 389.0, 552.0, None, None, None, 2012-01-01 00:00:00, -10.1, None, 188.0, None
None, None, 389.0, 552.0, None, None, None, 2012-01-01 01:00:00, -10.2, None, 188.0, None
None, None, 389.0, 554.0, None, None, None, 2012-01-01 02:00:00, -10.0, None, 188.0, None
None, None, 389.0, 556.0, None, None, None, 2012-01-01 03:00:00, -9.8, None, 188.0, None
None, None, 389.0, 556.0, None, None, None, 2012-01-01 04:00:00, -9.0, None, 187.0, None
None, None, 389.0, 556.0, None, None, None, 2012-01-01 05:00:00, -9.6, None, 187.0, None
None, None, 389.0, 556.0, None, None, None, 2012-01-01 06:00:00, -9.3, None, 187.0, None
None, None, 389.0, 556.0, None, None, None, 2012-01-01 07:00:00, -9.3, None, 187.0, None
None, None, 389.0, 556.0, None, None, None, 2012-01-01 08:00:00, -9.3, None, 186.0, None
None, None, 389.0, 557.0, None, None, None, 2012-01-01 09:00:00, -9.1, None, 186.0, None
None, None, 389.0, 559.0, None, None, None, 2012-01-01 10:00:00, -9.1, None, 186.0, None
None, None, 389.0, 559.0, None, None, None, 2012-01-01 11:00:00, -8.9, None, 186.0, None
None, None, 389.0, 559.0, None, None, None, 2012-01-01 12:00:00, -8.6, None, 185.0, None
None, None, 389.0, 561.0, None, None, None, 2012-01-01 13:00:00, -8.2, None, 185.0, None
None, None, 389.0, 563.0, None, None, None, 2012-01-01 14:00:00, -7.8, None, 185.0, None
None, None, 389.0, 563.0, None, None, None, 2012-01-01 15:00:00, -7.6, None, 184.0, None
None, None, 389.0, 563.0, None, None, None, 2012-01-01 16:00:00, -7.5, None, 184.0, None
None, None, 389.0, 563.0, None, None, None, 2012-01-01 17:00:00, -6.8, None, 184.0, None
None, None, 389.0, 564.0, None, None, None, 2012-01-01 18:00:00, -6.3, None, 183.0, None
None, None, 389.0, 567.0, None, None, None, 2012-01-01 19:00:00, -5.8, None, 183.0, None
None, None, 389.0, 569.0, None, None, None, 2012-01-01 20:00:00, -5.3, None, 184.0, None
None, None, 389.0, 570.0, None, None, None, 2012-01-01 21:00:00, -5.2, None, 184.0, None
None, None, 389.0, 573.0, None, None, None, 2012-01-01 22:00:00, -5.8, None, 184.0, None
None, None, 389.0, 573.0, None, None, None, 2012-01-01 23:00:00, -6.0, None, 184.0, None
None, None, 389.0, 575.0, None, None, None, 2012-01-02 00:00:00, -5.9, None, 181.0, None
None, None, 389.0, 576.0, None, None, None, 2012-01-02 01:00:00, -5.5, None, 184.0, None
None, None, 389.0, 576.0, None, None, None, 2012-01-02 02:00:00, -5.2, None, 184.0, None
None, None, 389.0, 576.0, None, None, None, 2012-01-02 03:00:00, -4.7, None, 184.0, None
None, None, 389.0, 576.0, None, None, None, 2012-01-02 04:00:00, -4.1, None, 184.0, None
None, None, 389.0, 576.0, None, None, None, 2012-01-02 05:00:00, -3.5, None, 184.0, None
None, None, 389.0, 576.0, None, None, None, 2012-01-02 06:00:00, -3.0, None, 185.0, None
None, None, 389.0, 576.0, None, None, None, 2012-01-02 07:00:00, -1.9, None, 186.0, None
None, None, 390.0, 576.0, None, None, None, 2012-01-02 08:00:00, -1.2, None, 187.0, None
None, None, 389.0, 577.0, None, None, None, 2012-01-02 09:00:00, -1.3, None, 187.0, None
None, None, 389.0, 577.0, None, None, None, 2012-01-02 10:00:00, -1.6, None, 187.0, None
None, None, 389.0, 577.0, None, None, None, 2012-01-02 11:00:00, -1.7, None, 188.0, None
None, None, 390.0, 579.0, None, None, None, 2012-01-02 12:00:00, -2.1, None, 189.0, None
None, None, 390.0, 581.0, None, None, None, 2012-01-02 13:00:00, -2.4, None, 189.0, None
None, None, 390.0, 581.0, None, None, None, 2012-01-02 14:00:00, -2.6, None, 189.0, None
None, None, 390.0, 581.0, None, None, None, 2012-01-02 15:00:00, -2.6, None, 189.0, None
None, None, 390.0, 581.0, None, None, None, 2012-01-02 16:00:00, -2.4, None, 188.0, None
None, None, 390.0, 581.0, None, None, None, 2012-01-02 17:00:00, -2.1, None, 188.0, None
None, None, 390.0, 581.0, None, None, None, 2012-01-02 18:00:00, -1.6, None, 189.0, None
None, None, 393.0, 581.0, None, None, None, 2012-01-02 19:00:00, -1.4, None, 189.0, None
None, None, 393.0, 581.0, None, None, None, 2012-01-02 20:00:00, -1.4, None, 189.0, None
None, None, 393.0, 581.0, None, None, None, 2012-01-02 21:00:00, -1.3, None, 188.0, None
None, None, 393.0, 581.0, None, None, None, 2012-01-02 22:00:00, -0.8, None, 188.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-02 23:00:00, -1.5, None, 188.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 00:00:00, -1.8, None, 188.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 01:00:00, -1.9, None, 188.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 02:00:00, -2.0, None, 187.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 03:00:00, -2.5, None, 187.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 04:00:00, -3.5, None, 187.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 05:00:00, -3.5, None, 187.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 06:00:00, -3.6, None, 186.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 07:00:00, -3.8, None, 186.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 08:00:00, -3.2, None, 186.0, None
None, None, 394.0, 581.0, None, None, None, 2012-01-03 09:00:00, -3.1, None, 185.0, None
None, None, 394.0, 582.0, None, None, None, 2012-01-03 10:00:00, -3.0, None, 185.0, None
None, None, 394.0, 583.0, None, None, None, 2012-01-03 11:00:00, -2.4, None, 184.0, None
None, None, 394.0, 583.0, None, None, None, 2012-01-03 12:00:00, -2.3, None, 186.0, None
None, None, 395.0, 585.0, None, None, None, 2012-01-03 13:00:00, -2.1, None, 185.0, None
None, None, 395.0, 586.0, None, None, None, 2012-01-03 14:00:00, -1.9, None, 185.0, None
None, None, 395.0, 588.0, None, None, None, 2012-01-03 15:00:00, -1.9, None, 185.0, None
None, None, 395.0, 592.0, None, None, None, 2012-01-03 16:00:00, -1.5, None, 186.0, None
None, None, 395.0, 593.0, None, None, None, 2012-01-03 17:00:00, -1.4, None, 185.0, None
None, None, 395.0, 593.0, None, None, None, 2012-01-03 18:00:00, -0.8, None, 186.0, None
None, None, 395.0, 593.0, None, None, None, 2012-01-03 19:00:00, -0.5, None, 186.0, None
None, None, 395.0, 593.0, None, None, None, 2012-01-03 20:00:00, -0.1, None, 187.0, None
None, None, 395.0, 594.0, None, None, None, 2012-01-03 21:00:00, -0.6, None, 188.0, None
None, None, 394.0, 594.0, None, None, None, 2012-01-03 22:00:00, -0.5, None, 192.0, None
None, None, 394.0, 594.0, None, None, None, 2012-01-03 23:00:00, -0.4, None, 194.0, None
None, None, 394.0, 594.0, None, None, None, 2012-01-04 00:00:00, -0.5, None, 193.0, None
None, None, 394.0, 594.0, None, None, None, 2012-01-04 01:00:00, -0.6, None, 193.0, None
None, None, 394.0, 594.0, None, None, None, 2012-01-04 02:00:00, -0.5, None, 193.0, None
None, None, 394.0, 594.0, None, None, None, 2012-01-04 03:00:00, -0.7, None, 192.0, None
None, None, 394.0, 598.0, None, None, None, 2012-01-04 04:00:00, -1.2, None, 192.0, None
None, None, 394.0, 596.0, None, None, None, 2012-01-04 05:00:00, -0.5, None, 192.0, None
None, None, 395.0, 602.0, None, None, None, 2012-01-04 06:00:00, -0.7, None, 191.0, None
None, None, 395.0, 603.0, None, None, None, 2012-01-04 07:00:00, -0.1, None, 191.0, None
None, None, 395.0, 609.0, None, None, None, 2012-01-04 08:00:00, 0.1, None, 190.0, None
None, None, 396.0, 616.0, None, None, None, 2012-01-04 09:00:00, 0.1, None, 189.0, None
None, None, 396.0, 613.0, None, None, None, 2012-01-04 10:00:00, 0.2, None, 189.0, None
None, None, 396.0, 613.0, None, None, None, 2012-01-04 11:00:00, 0.1, None, 189.0, None
None, None, 396.0, 613.0, None, None, None, 2012-01-04 12:00:00, 0.2, None, 187.0, None
None, None, 396.0, 612.0, None, None, None, 2012-01-04 13:00:00, 0.0, None, 188.0, None
None, None, 396.0, 608.0, None, None, None, 2012-01-04 14:00:00, 0.4, None, 188.0, None
None, None, 396.0, 606.0, None, None, None, 2012-01-04 15:00:00, 0.4, None, 189.0, None
None, None, 396.0, 606.0, None, None, None, 2012-01-04 16:00:00, 0.7, None, 188.0, None
None, None, 399.0, 605.0, None, None, None, 2012-01-04 17:00:00, 0.8, None, 188.0, None
None, None, 399.0, 605.0, None, None, None, 2012-01-04 18:00:00, 0.9, None, 188.0, None
None, None, 400.0, 605.0, None, None, None, 2012-01-04 19:00:00, 1.2, None, 188.0, None
None, None, 400.0, 606.0, None, None, None, 2012-01-04 20:00:00, 0.7, None, 187.0, None
None, None, 401.0, 608.0, None, None, None, 2012-01-04 21:00:00, 0.9, None, 187.0, None
None, None, 401.0, 608.0, None, None, None, 2012-01-04 22:00:00, 1.5, None, 186.0, None
None, None, 401.0, 608.0, None, None, None, 2012-01-04 23:00:00, 1.1, None, 186.0, None
None, None, 402.0, 608.0, None, None, None, 2012-01-05 00:00:00, 0.4, None, 185.0, None
None, None, 402.0, 608.0, None, None, None, 2012-01-05 01:00:00, 0.2, None, 185.0, None
None, None, 403.0, 608.0, None, None, None, 2012-01-05 02:00:00, 0.0, None, 185.0, None
None, None, 403.0, 608.0, None, None, None, 2012-01-05 03:00:00, -0.3, None, 184.0, None
None, None, 403.0, 608.0, None, None, None, 2012-01-05 04:00:00, -0.4, None, 184.0, None
None, None, 403.0, 607.0, None, None, None, 2012-01-05 05:00:00, -0.6, None, 184.0, None
None, None, 403.0, 606.0, None, None, None, 2012-01-05 06:00:00, -0.7, None, 184.0, None
None, None, 403.0, 605.0, None, None, None, 2012-01-05 07:00:00, -0.9, None, 183.0, None
None, None, 403.0, 605.0, None, None, None, 2012-01-05 08:00:00, -0.9, None, 182.0, None
None, None, 403.0, 604.0, None, None, None, 2012-01-05 09:00:00, -1.0, None, 182.0, None
None, None, 403.0, 603.0, None, None, None, 2012-01-05 10:00:00, -1.4, None, 182.0, None
None, None, 403.0, 601.0, None, None, None, 2012-01-05 11:00:00, -1.6, None, 181.0, None
