snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
436.0, None, None,2020-06-10 00:00:00, 7.6, None, None,24
435.0, None, None,2020-06-10 01:00:00, 6.9, None, None,24
433.0, None, None,2020-06-10 02:00:00, 6.2, None, None,24
431.0, None, None,2020-06-10 03:00:00, 6.0, None, None,24
429.0, None, None,2020-06-10 04:00:00, 6.0, None, None,24
428.0, None, None,2020-06-10 05:00:00, 6.0, None, None,24
427.0, None, None,2020-06-10 06:00:00, 6.0, None, None,24
425.0, None, None,2020-06-10 07:00:00, 5.6, None, None,24
425.0, None, None,2020-06-10 08:00:00, 5.6, None, None,24
424.0, None, None,2020-06-10 09:00:00, 5.6, None, None,24
423.0, None, None,2020-06-10 10:00:00, 5.8, None, None,24
422.0, None, None,2020-06-10 11:00:00, 5.3, None, None,24
421.0, None, None,2020-06-10 12:00:00, 5.3, None, None,24
421.0, None, None,2020-06-10 13:00:00, 5.1, None, None,24
420.0, None, None,2020-06-10 14:00:00, 5.0, None, None,24
419.0, None, None,2020-06-10 15:00:00, 6.1, None, None,24
419.0, 1374.0, None,2020-06-10 16:00:00, 6.9, None, None,24
418.0, None, None,2020-06-10 17:00:00, 8.2, None, None,24
417.0, None, None,2020-06-10 18:00:00, 10.0, None, None,24
417.0, None, None,2020-06-10 19:00:00, 9.3, None, None,24
415.0, None, None,2020-06-10 20:00:00, 9.9, None, None,24
413.0, None, None,2020-06-10 21:00:00, 9.1, None, None,24
410.0, None, None,2020-06-10 22:00:00, 10.7, None, None,24
408.0, None, None,2020-06-10 23:00:00, 11.2, None, None,24
406.0, None, None,2020-06-11 00:00:00, 9.9, None, None,24
404.0, None, None,2020-06-11 01:00:00, 9.5, None, None,24
402.0, None, None,2020-06-11 02:00:00, 8.5, None, None,24
400.0, None, None,2020-06-11 03:00:00, 8.2, None, None,24
398.0, None, None,2020-06-11 04:00:00, 7.6, None, None,24
396.0, None, None,2020-06-11 05:00:00, 7.5, None, None,24
395.0, None, None,2020-06-11 06:00:00, 7.6, None, None,24
393.0, None, None,2020-06-11 07:00:00, 7.5, None, None,24
392.0, None, None,2020-06-11 08:00:00, 7.1, None, None,24
391.0, None, None,2020-06-11 09:00:00, 7.1, None, None,24
390.0, None, None,2020-06-11 10:00:00, 6.3, None, None,24
390.0, None, None,2020-06-11 11:00:00, 5.7, None, None,24
390.0, None, None,2020-06-11 12:00:00, 6.3, None, None,24
389.0, None, None,2020-06-11 13:00:00, 6.8, None, None,24
388.0, None, None,2020-06-11 14:00:00, 7.5, None, None,24
388.0, None, None,2020-06-11 15:00:00, 8.1, None, None,24
387.0, 1374.0, None,2020-06-11 16:00:00, 7.8, None, None,24
387.0, None, None,2020-06-11 17:00:00, 8.2, None, None,24
386.0, None, None,2020-06-11 18:00:00, 7.5, None, None,24
386.0, None, None,2020-06-11 19:00:00, 6.5, None, None,24
386.0, None, None,2020-06-11 20:00:00, 5.6, None, None,24
384.0, None, None,2020-06-11 21:00:00, 5.8, None, None,24
382.0, None, None,2020-06-11 22:00:00, 5.9, None, None,24
381.0, None, None,2020-06-11 23:00:00, 6.2, None, None,24
380.0, None, None,2020-06-12 00:00:00, 6.2, None, None,24
379.0, None, None,2020-06-12 01:00:00, 6.9, None, None,24
