station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time
92.6, None, None, None, 1.678, 333.8, None, None, None, None, None, None, None, None, None, 142.7, None, None, -5.715, None, None, None, None, 67.84, None, None, None, None, 2018-01-02 08:00:00
93.3, None, None, None, 3.22, 145.5, None, None, None, None, None, None, None, None, None, 142.7, None, None, -4.737, None, None, None, None, 19.82, None, None, None, None, 2018-01-02 09:00:00
94.5, None, None, None, 0.727, 137.8, None, None, None, None, None, None, None, None, None, 142.5, None, None, -3.025, None, None, None, None, 46.25, None, None, None, None, 2018-01-02 10:00:00
95.0, None, None, None, 0.669, 133.0, None, None, None, None, None, None, None, None, None, 143.4, None, None, -1.831, None, None, None, None, 60.67, None, None, None, None, 2018-01-02 11:00:00
95.1, None, None, None, 3.178, 189.7, None, None, None, None, None, None, None, None, None, 142.3, None, None, -1.212, None, None, None, None, 18.11, None, None, None, None, 2018-01-02 12:00:00
95.3, None, None, None, 3.701, 209.2, None, None, None, None, None, None, None, None, None, 141.7, None, None, -0.678, None, None, None, None, 17.7, None, None, None, None, 2018-01-02 13:00:00
95.8, None, None, None, 1.792, 242.0, None, None, None, None, None, None, None, None, None, 141.0, None, None, -0.119, None, None, None, None, 21.99, None, None, None, None, 2018-01-02 14:00:00
95.5, None, None, None, 0.836, 106.6, None, None, None, None, None, None, None, None, None, 141.3, None, None, -0.593, None, None, None, None, 50.39, None, None, None, None, 2018-01-02 15:00:00
95.1, None, None, None, 4.824, 58.82, None, None, None, None, None, None, None, None, None, 141.7, None, None, -2.46, None, None, None, None, 21.11, None, None, None, None, 2018-01-02 16:00:00
94.9, None, None, None, 5.703, 32.35, None, None, None, None, None, None, None, None, None, 141.0, None, None, -2.645, None, None, None, None, 32.09, None, None, None, None, 2018-01-02 17:00:00
94.5, None, None, None, 3.13, 13.37, None, None, None, None, None, None, None, None, None, 142.0, None, None, -3.241, None, None, None, None, 41.72, None, None, None, None, 2018-01-02 18:00:00
94.4, None, None, None, 1.911, 287.8, None, None, None, None, None, None, None, None, None, 141.0, None, None, -3.196, None, None, None, None, 58.73, None, None, None, None, 2018-01-02 19:00:00
94.6, None, None, None, 2.04, 93.1, None, None, None, None, None, None, None, None, None, 141.1, None, None, -3.07, None, None, None, None, 53.86, None, None, None, None, 2018-01-02 20:00:00
94.6, None, None, None, 1.686, 27.68, None, None, None, None, None, None, None, None, None, 140.1, None, None, -2.937, None, None, None, None, 68.78, None, None, None, None, 2018-01-02 21:00:00
94.5, None, None, None, 1.693, 39.79, None, None, None, None, None, None, None, None, None, 141.3, None, None, -3.021, None, None, None, None, 47.02, None, None, None, None, 2018-01-02 22:00:00
94.6, None, None, None, 1.137, 17.78, None, None, None, None, None, None, None, None, None, 140.3, None, None, -2.842, None, None, None, None, 74.36, None, None, None, None, 2018-01-02 23:00:00
94.5, None, None, None, 1.699, 55.73, None, None, None, None, None, None, None, None, None, 140.9, None, None, -3.02, None, None, None, None, 27.05, None, None, None, None, 2018-01-03 00:00:00
94.2, None, None, None, 2.922, 61.79, None, None, None, None, None, None, None, None, None, 141.3, None, None, -3.618, None, None, None, None, 37.4, None, None, None, None, 2018-01-03 01:00:00
94.3, None, None, None, 3.864, 19.4, None, None, None, None, None, None, None, None, None, 140.3, None, None, -3.622, None, None, None, None, 55.44, None, None, None, None, 2018-01-03 02:00:00
93.9, None, None, None, 6.056, 295.2, None, None, None, None, None, None, None, None, None, 139.9, None, None, -4.415, None, None, None, None, 29.02, None, None, None, None, 2018-01-03 03:00:00
93.6, None, None, None, 6.099, 269.6, None, None, None, None, None, None, None, None, None, 140.3, None, None, -5.033, None, None, None, None, 15.3, None, None, None, None, 2018-01-03 04:00:00
93.2, None, None, None, 5.559, 273.8, None, None, None, None, None, None, None, None, None, 140.0, None, None, -5.515, None, None, None, None, 14.69, None, None, None, None, 2018-01-03 05:00:00
93.3, None, None, None, 5.276, 292.3, None, None, None, None, None, None, None, None, None, 140.7, None, None, -5.388, None, None, None, None, 13.74, None, None, None, None, 2018-01-03 06:00:00
93.3, None, None, None, 4.01, 284.9, None, None, None, None, None, None, None, None, None, 140.6, None, None, -5.203, None, None, None, None, 12.52, None, None, None, None, 2018-01-03 07:00:00
