station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, None, -2.993, 79.45, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 08:00:00, None, None, 42.41
None, None, -1.601, 75.25, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 09:00:00, None, None, 42.33
None, None, -1.237, 73.28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 10:00:00, None, None, 42.3
None, None, -0.78, 80.3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 11:00:00, None, None, 42.13
None, None, -0.014, 81.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 12:00:00, None, None, 42.14
None, None, 0.286, 84.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 13:00:00, None, None, 42.12
None, None, 0.58, 82.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 14:00:00, None, None, 42.12
None, None, 0.236, 84.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 15:00:00, None, None, 42.05
None, None, 0.477, 89.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 16:00:00, None, None, 42.07
None, None, 0.282, 90.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 17:00:00, None, None, 42.02
None, None, 0.151, 91.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 18:00:00, None, None, 41.93
None, None, 0.039, 91.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 19:00:00, None, None, 41.91
None, None, -0.388, 91.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 20:00:00, None, None, 41.84
None, None, 0.127, 85.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 21:00:00, None, None, 42.09
None, None, -0.541, 89.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 22:00:00, None, None, 41.68
None, None, -0.321, 85.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-02 23:00:00, None, None, 41.38
None, None, 0.415, 83.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 00:00:00, None, None, 41.98
None, None, 0.245, 83.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 01:00:00, None, None, 41.43
None, None, 0.413, 84.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 02:00:00, None, None, 41.68
None, None, 0.866, 81.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 03:00:00, None, None, 41.61
None, None, 0.83, 80.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 04:00:00, None, None, 41.8
None, None, 0.526, 79.69, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 05:00:00, None, None, 41.79
None, None, 0.282, 77.85, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 06:00:00, None, None, 41.7
None, None, 0.854, 79.96, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 07:00:00, None, None, 41.77
None, None, 0.567, 79.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 08:00:00, None, None, 41.78
None, None, 0.526, 79.23, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 09:00:00, None, None, 41.77
None, None, 1.164, 78.42, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 10:00:00, None, None, 41.84
None, None, 2.416, 74.73, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 11:00:00, None, None, 41.9
None, None, 2.069, 82.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 12:00:00, None, None, 41.76
None, None, 2.166, 87.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 13:00:00, None, None, 41.54
None, None, 2.038, 91.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 14:00:00, None, None, 41.64
None, None, 1.527, 91.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 15:00:00, None, None, 41.75
None, None, 1.714, 93.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 16:00:00, None, None, 41.68
None, None, 1.404, 93.3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 17:00:00, None, None, 42.06
None, None, 1.638, 93.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 18:00:00, None, None, 42.16
None, None, 1.591, 93.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 19:00:00, None, None, 42.3
None, None, 1.349, 93.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 20:00:00, None, None, 42.28
None, None, 1.01, 93.9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 21:00:00, None, None, 42.25
None, None, 1.834, 89.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 22:00:00, None, None, 41.93
None, None, 0.477, 91.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-03 23:00:00, None, None, 42.27
None, None, 1.158, 84.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 00:00:00, None, None, 42.4
None, None, 1.011, 80.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 01:00:00, None, None, 42.34
None, None, 1.11, 76.91, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 02:00:00, None, None, 42.25
None, None, 0.866, 76.82, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 03:00:00, None, None, 42.3
None, None, 0.477, 77.56, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 04:00:00, None, None, 42.22
None, None, 0.72, 74.27, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 05:00:00, None, None, 42.22
None, None, 0.866, 74.43, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 06:00:00, None, None, 42.15
None, None, -1.205, 82.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 07:00:00, None, None, 42.0
None, None, 0.865, 78.47, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 08:00:00, None, None, 42.6
None, None, -0.41, 82.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 09:00:00, None, None, 42.05
None, None, -0.398, 82.6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 10:00:00, None, None, 42.2
None, None, 0.38, 82.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 11:00:00, None, None, 42.14
None, None, 0.088, 79.68, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 12:00:00, None, None, 42.21
None, None, 0.279, 77.22, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2018-01-04 13:00:00, None, None, 42.22
