station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -0.505, 70.6, None, None, None, None, None, None, None, -5.0, None, None, None, 2018-01-02 08:00:00, None, -0.713, None
None, 0.019, 71.0, None, None, None, None, None, None, None, -5.0, None, None, None, 2018-01-02 09:00:00, None, -0.654, None
None, 0.259, 68.52, None, None, None, None, None, None, None, -5.0, None, None, None, 2018-01-02 10:00:00, None, -0.463, None
None, 1.561, 62.72, None, None, None, None, None, None, None, -5.0, None, None, None, 2018-01-02 11:00:00, None, -0.813, None
None, 1.368, 65.42, None, None, None, None, None, None, None, -4.0, None, None, None, 2018-01-02 12:00:00, None, -0.596, None
None, 2.374, 63.86, None, None, None, None, None, None, None, -4.0, None, None, None, 2018-01-02 13:00:00, None, -0.618, None
None, 2.466, 62.71, None, None, None, None, None, None, None, -4.0, None, None, None, 2018-01-02 14:00:00, None, -0.638, None
None, 3.142, 61.5, None, None, None, None, None, None, None, -4.0, None, None, None, 2018-01-02 15:00:00, None, -0.591, None
None, 2.603, 62.64, None, None, None, None, None, None, None, -4.0, None, None, None, 2018-01-02 16:00:00, None, -0.64, None
None, 2.608, 63.25, None, None, None, None, None, None, None, -4.0, None, None, None, 2018-01-02 17:00:00, None, -0.679, None
None, 3.189, 61.29, None, None, None, None, None, None, None, -4.0, None, None, None, 2018-01-02 18:00:00, None, -0.748, None
None, 2.658, 67.5, None, None, None, None, None, None, None, -3.0, None, None, None, 2018-01-02 19:00:00, None, -0.606, None
None, 2.798, 66.41, None, None, None, None, None, None, None, -3.0, None, None, None, 2018-01-02 20:00:00, None, -0.685, None
None, 2.948, 69.59, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-02 21:00:00, None, -0.567, None
None, 3.141, 67.43, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-02 22:00:00, None, -0.611, None
None, 3.239, 67.36, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-02 23:00:00, None, -0.658, None
None, 2.705, 72.9, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 00:00:00, None, -0.638, None
None, 3.191, 69.93, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 01:00:00, None, -0.661, None
None, 3.045, 70.9, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 02:00:00, None, -0.46, None
None, 3.093, 70.1, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 03:00:00, None, -0.706, None
None, 2.853, 72.1, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 04:00:00, None, -0.688, None
None, 2.91, 71.0, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 05:00:00, None, -0.695, None
None, 2.761, 74.0, None, None, None, None, None, None, None, -1.0, None, None, None, 2018-01-03 06:00:00, None, -0.639, None
None, 3.238, 69.79, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 07:00:00, None, -0.668, None
None, 2.803, 71.5, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 08:00:00, None, -0.671, None
None, 3.768, 70.5, None, None, None, None, None, None, None, -1.0, None, None, None, 2018-01-03 09:00:00, None, -0.503, None
None, 3.856, 68.5, None, None, None, None, None, None, None, -1.0, None, None, None, 2018-01-03 10:00:00, None, -0.603, None
None, 4.093, 66.48, None, None, None, None, None, None, None, -2.0, None, None, None, 2018-01-03 11:00:00, None, -0.665, None
None, 4.768, 65.13, None, None, None, None, None, None, None, -1.0, None, None, None, 2018-01-03 12:00:00, None, -0.597, None
None, 4.816, 63.58, None, None, None, None, None, None, None, -1.0, None, None, None, 2018-01-03 13:00:00, None, -0.601, None
None, 5.154, 64.86, None, None, None, None, None, None, None, -1.0, None, None, None, 2018-01-03 14:00:00, None, -0.632, None
None, 5.154, 63.1, None, None, None, None, None, None, None, -1.0, None, None, None, 2018-01-03 15:00:00, None, -0.605, None
