station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
54.39, None, None, None, 27.58, 47.82, None, None, -21.0, None, None, None, None, None, None, None, None, None, -14.14, None, None, None, None, 10.42, None, None, None, None, 2018-01-02 08:00:00, None
54.44, None, None, None, 28.95, 48.96, None, None, -20.0, None, None, None, None, None, None, None, None, None, -13.89, None, None, None, None, 9.06, None, None, None, None, 2018-01-02 09:00:00, None
54.21, None, None, None, 31.17, 52.26, None, None, -21.0, None, None, None, None, None, None, None, None, None, -14.2, None, None, None, None, 9.68, None, None, None, None, 2018-01-02 10:00:00, None
54.52, None, None, None, 26.99, 50.56, None, None, -21.0, None, None, None, None, None, None, None, None, None, -14.12, None, None, None, None, 12.62, None, None, None, None, 2018-01-02 11:00:00, None
54.26, None, None, None, 29.28, 51.39, None, None, -20.0, None, None, None, None, None, None, None, None, None, -13.82, None, None, None, None, 10.42, None, None, None, None, 2018-01-02 12:00:00, None
53.93, None, None, None, 24.59, 55.06, None, None, -20.0, None, None, None, None, None, None, None, None, None, -13.42, None, None, None, None, 11.44, None, None, None, None, 2018-01-02 13:00:00, None
53.71, None, None, None, 30.07, 52.58, None, None, -19.0, None, None, None, None, None, None, None, None, None, -12.69, None, None, None, None, 11.09, None, None, None, None, 2018-01-02 14:00:00, None
53.61, None, None, None, 32.7, 51.32, None, None, -19.0, None, None, None, None, None, None, None, None, None, -12.43, None, None, None, None, 10.71, None, None, None, None, 2018-01-02 15:00:00, None
53.56, None, None, None, 31.8, 51.07, None, None, -19.0, None, None, None, None, None, None, None, None, None, -12.36, None, None, None, None, 8.02, None, None, None, None, 2018-01-02 16:00:00, None
54.1, None, None, None, 30.03, 56.27, None, None, -20.0, None, None, None, None, None, None, None, None, None, -13.65, None, None, None, None, 8.65, None, None, None, None, 2018-01-02 17:00:00, None
