station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, time, max_air_temp_snc_last_reset, MINIMUM_AIR_TEMPERATURE, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, MAXIMUM_AIR_TEMPERATURE, PRECIPITATION_NEW, snw_dpth, HEIGHT_OF_SNOW
None, None, -12.79, None, None, 2018-01-02 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -12.73, None, None, 2018-01-02 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -12.72, None, None, 2018-01-02 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -12.09, None, None, 2018-01-02 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.0
None, None, -11.62, None, None, 2018-01-02 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.9
None, None, -11.07, None, None, 2018-01-02 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.9
None, None, -10.89, None, None, 2018-01-02 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.8
None, None, -10.65, None, None, 2018-01-02 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.8
None, None, -10.58, None, None, 2018-01-02 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.9
None, None, -10.6, None, None, 2018-01-02 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 74.9
None, None, -10.56, None, None, 2018-01-02 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.9
None, None, -10.48, None, None, 2018-01-02 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.5
None, None, -10.5, None, None, 2018-01-02 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 75.9
None, None, -10.4, None, None, 2018-01-02 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.8
None, None, -10.54, None, None, 2018-01-02 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.0
None, None, -10.39, None, None, 2018-01-02 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -10.24, None, None, 2018-01-03 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.2
None, None, -10.19, None, None, 2018-01-03 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -10.08, None, None, 2018-01-03 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.5
None, None, -10.02, None, None, 2018-01-03 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.4
None, None, -9.9, None, None, 2018-01-03 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.4
None, None, -9.85, None, None, 2018-01-03 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 76.3
None, None, -9.82, None, None, 2018-01-03 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.1
None, None, -9.75, None, None, 2018-01-03 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 77.3
