station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, 0.027, 66.86, None, None, None, None, 14.45, None, 13.53, 56.33, None, None, None, None, None, None, None, None, None, 2018-01-02 08:00:00, None, 216.7
None, -0.048, 68.51, None, None, None, None, 13.71, None, 12.45, 55.12, None, None, None, None, None, None, None, None, None, 2018-01-02 09:00:00, None, 216.6
None, 1.662, 63.69, None, None, None, None, 12.91, None, 10.75, 56.81, None, None, None, None, None, None, None, None, None, 2018-01-02 10:00:00, None, 216.8
None, 2.389, 60.26, None, None, None, None, 12.03, None, 9.41, 57.33, None, None, None, None, None, None, None, None, None, 2018-01-02 11:00:00, None, 216.8
None, 3.312, 58.34, None, None, None, None, 9.0, None, 7.42, 66.48, None, None, None, None, None, None, None, None, None, 2018-01-02 12:00:00, None, 216.5
None, 4.911, 57.84, None, None, None, None, 10.92, None, 6.507, 69.78, None, None, None, None, None, None, None, None, None, 2018-01-02 13:00:00, None, 216.6
None, 4.934, 58.71, None, None, None, None, 11.32, None, 5.832, 63.96, None, None, None, None, None, None, None, None, None, 2018-01-02 14:00:00, None, 216.7
None, 4.328, 60.29, None, None, None, None, 13.79, None, 5.119, 66.24, None, None, None, None, None, None, None, None, None, 2018-01-02 15:00:00, None, 216.3
None, 4.632, 61.51, None, None, None, None, 14.03, None, 4.398, 64.02, None, None, None, None, None, None, None, None, None, 2018-01-02 16:00:00, None, 216.3
None, 4.404, 60.88, None, None, None, None, 22.21, None, 4.032, 67.11, None, None, None, None, None, None, None, None, None, 2018-01-02 17:00:00, None, 216.6
None, 4.529, 64.22, None, None, None, None, 17.87, None, 4.042, 63.29, None, None, None, None, None, None, None, None, None, 2018-01-02 18:00:00, None, 215.7
None, 3.109, 73.82, None, None, None, None, 30.09, None, 1.397, 215.0, None, None, None, None, None, None, None, None, None, 2018-01-02 19:00:00, None, 215.8
None, 2.689, 75.84, None, None, None, None, 34.76, None, 3.097, 201.8, None, None, None, None, None, None, None, None, None, 2018-01-02 20:00:00, None, 215.2
None, 2.255, 75.01, None, None, None, None, 23.34, None, 3.86, 217.0, None, None, None, None, None, None, None, None, None, 2018-01-02 21:00:00, None, 215.1
None, 1.636, 77.81, None, None, None, None, 31.92, None, 2.394, 217.3, None, None, None, None, None, None, None, None, None, 2018-01-02 22:00:00, None, 214.6
None, 1.648, 77.68, None, None, None, None, 23.41, None, 2.278, 218.1, None, None, None, None, None, None, None, None, None, 2018-01-02 23:00:00, None, 214.8
None, 2.394, 69.15, None, None, None, None, 31.34, None, 1.07, 194.9, None, None, None, None, None, None, None, None, None, 2018-01-03 00:00:00, None, 214.7
None, 1.672, 73.42, None, None, None, None, 11.9, None, 1.001, 209.1, None, None, None, None, None, None, None, None, None, 2018-01-03 01:00:00, None, 214.9
None, 1.982, 71.2, None, None, None, None, 13.83, None, 1.426, 196.7, None, None, None, None, None, None, None, None, None, 2018-01-03 02:00:00, None, 214.6
None, 1.824, 66.19, None, None, None, None, 8.51, None, 2.723, 227.6, None, None, None, None, None, None, None, None, None, 2018-01-03 03:00:00, None, 213.9
None, 1.698, 52.65, None, None, None, None, 16.06, None, 2.647, 221.1, None, None, None, None, None, None, None, None, None, 2018-01-03 04:00:00, None, 214.6
None, 2.613, 45.21, None, None, None, None, 12.45, None, 0.555, 186.1, None, None, None, None, None, None, None, None, None, 2018-01-03 05:00:00, None, 214.3
None, 2.468, 45.29, None, None, None, None, 14.7, None, 0.869, 205.0, None, None, None, None, None, None, None, None, None, 2018-01-03 06:00:00, None, 214.0
None, 2.852, 45.29, None, None, None, None, 48.83, None, 0.018, 357.2, None, None, None, None, None, None, None, None, None, 2018-01-03 07:00:00, None, 213.9
None, 2.439, 44.91, None, None, None, None, 23.07, None, 2.657, 65.89, None, None, None, None, None, None, None, None, None, 2018-01-03 08:00:00, None, 213.6
None, 2.808, 46.86, None, None, None, None, 9.21, None, 3.867, 65.3, None, None, None, None, None, None, None, None, None, 2018-01-03 09:00:00, None, 213.4
