CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 3.51, 32.65, None, None, None, None, 36.07, None, 2.529, 35.82, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 00:00:00, None, None, 186.2,12
None, 3.159, 31.87, None, None, None, None, 58.4, None, 0.772, 112.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 01:00:00, None, None, 186.4,12
None, 3.258, 33.86, None, None, None, None, 40.94, None, 2.026, 133.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 02:00:00, None, None, 185.8,12
None, 3.956, 32.33, None, None, None, None, 23.98, None, 5.433, 151.1, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 03:00:00, None, None, 185.6,12
None, 4.015, 30.53, None, None, None, None, 10.99, None, 4.478, 201.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 04:00:00, None, None, 185.4,12
None, 3.508, 32.19, None, None, None, None, 10.05, None, 4.325, 152.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 05:00:00, None, None, 185.7,12
None, 3.476, 31.82, None, None, None, None, 18.03, None, 3.068, 143.5, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 06:00:00, None, None, 185.5,12
None, 3.777, 31.25, None, None, None, None, 8.02, None, 4.018, 109.2, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 07:00:00, None, None, 185.1,12
None, 3.563, 31.99, None, None, None, None, 5.12, None, 4.485, 122.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 08:00:00, None, None, 184.8,12
None, 5.536, 28.58, None, None, None, None, 11.72, None, 3.774, 119.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 09:00:00, None, None, 184.9,12
None, 6.381, 27.4, None, None, None, None, 60.53, None, 1.479, 167.2, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 10:00:00, None, None, 185.4,12
None, 7.711, 24.81, None, None, None, None, 33.91, None, 2.3, 185.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 11:00:00, None, None, 185.6,12
None, 8.18, 25.3, None, None, None, None, 33.25, None, 2.67, 200.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 12:00:00, None, None, 185.5,12
None, 8.8, 23.3, None, None, None, None, 30.08, None, 2.769, 211.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 13:00:00, None, None, 185.7,12
None, 9.02, 23.97, None, None, None, None, 42.72, None, 2.529, 238.1, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 14:00:00, None, None, 185.0,12
None, 11.02, 21.64, None, None, None, None, 47.13, None, 3.359, 214.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 15:00:00, None, None, 184.3,12
None, 10.17, 22.52, None, None, None, None, 63.64, None, 2.123, 221.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 16:00:00, None, None, 183.3,12
None, 9.41, 24.82, None, None, None, None, 47.37, None, 2.598, 265.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 17:00:00, None, None, 183.1,12
None, 9.84, 25.25, None, None, None, None, 49.27, None, 2.411, 253.2, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 18:00:00, None, None, 182.5,12
None, 9.06, 27.08, None, None, None, None, 39.15, None, 2.831, 256.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 19:00:00, None, None, 183.0,12
None, 7.016, 29.86, None, None, None, None, 27.02, None, 1.974, 276.5, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 20:00:00, None, None, 182.9,12
None, 6.095, 31.41, None, None, None, None, 38.83, None, 1.148, 18.94, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 21:00:00, None, None, 182.8,12
None, 5.956, 31.24, None, None, None, None, 28.16, None, 3.26, 48.99, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 22:00:00, None, None, 182.3,12
None, 5.713, 31.37, None, None, None, None, 20.52, None, 3.028, 61.28, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-19 23:00:00, None, None, 182.2,12
None, 5.443, 31.93, None, None, None, None, 11.84, None, 3.45, 63.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-20 00:00:00, None, None, 182.0,12
None, 5.227, 33.29, None, None, None, None, 16.85, None, 4.019, 65.49, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-20 01:00:00, None, None, 181.5,12
None, 5.075, 34.01, None, None, None, None, 11.35, None, 4.267, 65.74, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-20 02:00:00, None, None, 181.4,12
None, 3.92, 38.41, None, None, None, None, 15.19, None, 6.348, 74.82, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-20 03:00:00, None, None, 181.5,12
None, 4.709, 36.01, None, None, None, None, 16.09, None, 8.18, 82.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-20 04:00:00, None, None, 181.7,12
None, 4.516, 37.11, None, None, None, None, 13.81, None, 9.62, 75.84, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-20 05:00:00, None, None, 181.3,12
