AirTemperature,Precipitation,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
1.6, 0.0,0.0, 6.2,2019-10-08 00:00:00, 87.0, 94.0,41
1.6, None,0.0, 9.1,2019-10-08 00:15:00, 217.0, 92.0,41
1.3, None,0.0, 9.0,2019-10-08 00:30:00, 205.0, 92.0,41
1.5, None,0.0, 9.0,2019-10-08 00:45:00, 204.0, 86.0,41
1.5, 0.0,0.0, 10.2,2019-10-08 01:00:00, 210.0, 86.0,41
1.4, None,0.0, 8.7,2019-10-08 01:15:00, 208.0, 89.0,41
1.3, None,0.0, 6.9,2019-10-08 01:30:00, 115.0, 91.0,41
1.3, None,0.0, 6.6,2019-10-08 01:45:00, 58.0, 92.0,41
1.2, 0.0,0.0, 7.3,2019-10-08 02:00:00, 190.0, 94.0,41
1.1, None,0.0, 5.2,2019-10-08 02:15:00, 151.0, 97.0,41
1.0, None,0.0, 6.5,2019-10-08 02:30:00, 199.0, 97.0,41
0.9, None,0.0, 5.0,2019-10-08 02:45:00, 232.0, 97.0,41
0.9, 0.0,0.0, 5.7,2019-10-08 03:00:00, 195.0, 97.0,41
0.8, None,0.0, 5.4,2019-10-08 03:15:00, 154.0, 97.0,41
0.7, None,0.0, 5.3,2019-10-08 03:30:00, 5.0, 95.0,41
0.7, None,0.0, 7.7,2019-10-08 03:45:00, 201.0, 93.0,41
0.6, 0.0,0.0, 5.9,2019-10-08 04:00:00, 175.0, 94.0,41
0.6, None,0.0, 6.6,2019-10-08 04:15:00, 178.0, 93.0,41
0.5, None,0.0, 6.3,2019-10-08 04:30:00, 182.0, 92.0,41
0.4, None,0.0, 6.0,2019-10-08 04:45:00, 108.0, 93.0,41
0.3, 0.0,0.0, 5.1,2019-10-08 05:00:00, 79.0, 91.0,41
0.5, None,0.0, 6.0,2019-10-08 05:15:00, 188.0, 89.0,41
0.4, None,0.0, 6.0,2019-10-08 05:30:00, 178.0, 90.0,41
0.6, None,0.0, 6.6,2019-10-08 05:45:00, 204.0, 86.0,41
0.5, 0.0,0.0, 7.1,2019-10-08 06:00:00, 208.0, 88.0,41
0.4, None,0.0, 6.9,2019-10-08 06:15:00, 226.0, 91.0,41
0.2, None,0.0, 3.9,2019-10-08 06:30:00, 131.0, 93.0,41
0.0, None,0.0, 2.9,2019-10-08 06:45:00, 64.0, 94.0,41
0.0, 0.0,0.0, 1.9,2019-10-08 07:00:00, 62.0, 93.0,41
0.3, None,0.0, 3.6,2019-10-08 07:15:00, 173.0, 89.0,41
0.7, None,0.0, 3.0,2019-10-08 07:30:00, 350.0, 90.0,41
1.0, None,0.0, 2.6,2019-10-08 07:45:00, 310.0, 92.0,41
1.2, 0.0,0.0, 3.5,2019-10-08 08:00:00, 60.0, 93.0,41
1.7, None,0.0, 3.1,2019-10-08 08:15:00, 181.0, 89.0,41
2.0, None,0.0, 3.3,2019-10-08 08:30:00, 349.0, 90.0,41
1.6, None,0.0, 3.4,2019-10-08 08:45:00, 3.0, 91.0,41
0.8, 0.0,0.0, 6.0,2019-10-08 09:00:00, 27.0, 92.0,41
-0.5, None,0.0, 6.4,2019-10-08 09:15:00, 17.0, 97.0,41
-0.6, None,0.0, 5.8,2019-10-08 09:30:00, 316.0, 97.0,41
0.4, None,0.0, 3.7,2019-10-08 09:45:00, 274.0, 95.0,41
2.0, 1.0,0.508, 3.6,2019-10-08 10:00:00, 304.0, 87.0,41
2.9, None,0.254, 3.3,2019-10-08 10:15:00, 308.0, 81.0,41
3.3, None,0.0, 3.5,2019-10-08 10:30:00, 328.0, 76.0,41
3.5, None,0.0, 5.3,2019-10-08 10:45:00, 313.0, 80.0,41
4.0, 0.0,0.0, 4.2,2019-10-08 11:00:00, 323.0, 81.0,41
4.5, None,0.0, 5.1,2019-10-08 11:15:00, 304.0, 77.0,41
4.6, None,0.0, 4.5,2019-10-08 11:30:00, 311.0, 74.0,41
5.6, None,0.0, 5.3,2019-10-08 11:45:00, 303.0, 69.0,41
4.0, 0.0,0.0, 5.4,2019-10-08 12:00:00, 312.0, 74.0,41
4.4, None,0.0, 5.6,2019-10-08 12:15:00, 322.0, 70.0,41
