station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, MAX_TEMP
None, 1241.0, 504.0, None, None, 2012-01-01 00:00:00, -10.6, None, None
None, 1272.0, 504.0, None, None, 2012-01-01 01:00:00, -11.8, None, None
None, 1286.0, 506.0, None, None, 2012-01-01 02:00:00, -12.0, None, None
None, 1305.0, 506.0, None, None, 2012-01-01 03:00:00, -12.1, None, None
None, 1309.0, 506.0, None, None, 2012-01-01 04:00:00, -11.8, None, None
None, 1315.0, 507.0, None, None, 2012-01-01 05:00:00, -11.3, None, None
None, 1325.0, 507.0, None, None, 2012-01-01 06:00:00, -11.6, None, None
None, 1336.0, 507.0, None, None, 2012-01-01 07:00:00, -12.0, None, None
None, 1335.0, 507.0, None, None, 2012-01-01 08:00:00, -11.5, None, None
None, 1345.0, 507.0, None, None, 2012-01-01 09:00:00, -12.7, None, None
None, 1356.0, 507.0, None, None, 2012-01-01 10:00:00, -13.3, None, None
None, 1349.0, 508.0, None, None, 2012-01-01 11:00:00, -11.7, None, None
None, 1338.0, 507.0, None, None, 2012-01-01 12:00:00, -10.6, None, None
None, 1363.0, 510.0, None, None, 2012-01-01 13:00:00, -10.9, None, None
None, 1357.0, 509.0, None, None, 2012-01-01 14:00:00, -10.5, None, None
None, 1355.0, 510.0, None, None, 2012-01-01 15:00:00, -10.1, None, None
None, 1350.0, 510.0, 482.0, None, 2012-01-01 16:00:00, -10.2, None, None
None, 1352.0, 511.0, None, None, 2012-01-01 17:00:00, -10.4, None, None
None, 1347.0, 512.0, None, None, 2012-01-01 18:00:00, -9.7, None, None
None, 1332.0, 512.0, None, None, 2012-01-01 19:00:00, -9.3, None, None
None, 1329.0, 513.0, None, None, 2012-01-01 20:00:00, -9.1, None, None
None, 1317.0, 516.0, None, None, 2012-01-01 21:00:00, -8.7, None, None
None, 1296.0, 518.0, None, None, 2012-01-01 22:00:00, -7.6, None, None
None, 1267.0, 519.0, None, None, 2012-01-01 23:00:00, -6.5, None, None
None, 1218.0, 519.0, None, None, 2012-01-02 00:00:00, -4.7, None, None
None, 1121.0, 521.0, None, None, 2012-01-02 01:00:00, -0.6, None, None
None, 1051.0, 522.0, None, None, 2012-01-02 02:00:00, 0.1, None, None
None, 917.0, 522.0, None, None, 2012-01-02 03:00:00, 0.0, None, None
None, 634.0, 523.0, None, None, 2012-01-02 04:00:00, 0.4, None, None
None, 477.0, 525.0, None, None, 2012-01-02 05:00:00, 1.6, None, None
None, 448.0, 526.0, None, None, 2012-01-02 06:00:00, 2.3, None, None
None, 456.0, 524.0, None, None, 2012-01-02 07:00:00, 0.6, None, None
None, 445.0, 523.0, None, None, 2012-01-02 08:00:00, 0.2, None, None
None, 418.0, 523.0, None, None, 2012-01-02 09:00:00, 0.0, None, None
None, 403.0, 525.0, None, None, 2012-01-02 10:00:00, -0.2, None, None
None, 383.0, 526.0, None, None, 2012-01-02 11:00:00, -0.5, None, None
None, 368.0, 529.0, None, None, 2012-01-02 12:00:00, -0.6, None, None
None, 361.0, 532.0, None, None, 2012-01-02 13:00:00, -0.8, None, None
None, 337.0, 535.0, None, None, 2012-01-02 14:00:00, -0.6, None, None
None, 311.0, 537.0, None, None, 2012-01-02 15:00:00, -1.0, None, None
None, 285.0, 538.0, 469.0, None, 2012-01-02 16:00:00, -1.1, None, None
None, 268.0, 540.0, None, None, 2012-01-02 17:00:00, -1.3, None, None
None, 249.0, 541.0, None, None, 2012-01-02 18:00:00, -1.1, None, None
None, 232.0, 541.0, None, None, 2012-01-02 19:00:00, -0.9, None, None
None, 217.0, 544.0, None, None, 2012-01-02 20:00:00, -0.3, None, None
None, 204.0, 544.0, None, None, 2012-01-02 21:00:00, 0.4, None, None
None, 200.0, 545.0, None, None, 2012-01-02 22:00:00, -0.2, None, None
None, 202.0, 545.0, None, None, 2012-01-02 23:00:00, -0.1, None, None
None, 214.0, 545.0, None, None, 2012-01-03 00:00:00, -0.5, None, None
None, 222.0, 545.0, None, None, 2012-01-03 01:00:00, -1.1, None, None
None, 223.0, 545.0, None, None, 2012-01-03 02:00:00, -1.3, None, None
None, 220.0, 545.0, None, None, 2012-01-03 03:00:00, -1.4, None, None
None, 216.0, 545.0, None, None, 2012-01-03 04:00:00, -1.3, None, None
None, 214.0, 545.0, None, None, 2012-01-03 05:00:00, -1.3, None, None
None, 213.0, 545.0, None, None, 2012-01-03 06:00:00, -1.3, None, None
None, 207.0, 545.0, None, None, 2012-01-03 07:00:00, -1.1, None, None
None, 209.0, 546.0, None, None, 2012-01-03 08:00:00, -1.0, None, None
None, 200.0, 546.0, None, None, 2012-01-03 09:00:00, -0.6, None, None
None, 199.0, 546.0, None, None, 2012-01-03 10:00:00, -0.6, None, None
None, 200.0, 548.0, None, None, 2012-01-03 11:00:00, -0.8, None, None
None, 219.0, 548.0, None, None, 2012-01-03 12:00:00, -1.3, None, None
None, 236.0, 549.0, None, None, 2012-01-03 13:00:00, -1.8, None, None
None, 250.0, 551.0, None, None, 2012-01-03 14:00:00, -2.0, None, None
None, 249.0, 552.0, None, None, 2012-01-03 15:00:00, -2.1, None, None
None, 246.0, 555.0, 439.0, None, 2012-01-03 16:00:00, -1.8, None, None
None, 236.0, 557.0, None, None, 2012-01-03 17:00:00, -0.7, None, None
None, 236.0, 558.0, None, None, 2012-01-03 18:00:00, -1.4, None, None
None, 220.0, 561.0, None, None, 2012-01-03 19:00:00, -0.5, None, None
None, 212.0, 564.0, None, None, 2012-01-03 20:00:00, 0.0, None, None
None, 248.0, 564.0, None, None, 2012-01-03 21:00:00, -0.1, None, None
None, 281.0, 567.0, None, None, 2012-01-03 22:00:00, -0.3, None, None
None, 281.0, 568.0, None, None, 2012-01-03 23:00:00, -0.5, None, None
None, 274.0, 570.0, None, None, 2012-01-04 00:00:00, -0.5, None, None
None, 268.0, 571.0, None, None, 2012-01-04 01:00:00, -0.4, None, None
None, 268.0, 573.0, None, None, 2012-01-04 02:00:00, -0.5, None, None
None, 269.0, 577.0, None, None, 2012-01-04 03:00:00, -0.7, None, None
None, 271.0, 580.0, None, None, 2012-01-04 04:00:00, -0.3, None, None
None, 272.0, 582.0, None, None, 2012-01-04 05:00:00, -0.5, None, None
None, 277.0, 589.0, None, None, 2012-01-04 06:00:00, -0.8, None, None
