station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, 186.0, None, None, None, None, None, None, None, None, None, 2012-02-12 16:00:00, None
None, 189.0, None, None, None, None, None, None, None, None, None, 2012-02-13 16:00:00, None
None, 192.0, None, None, None, None, None, None, None, None, None, 2012-02-14 16:00:00, None
None, 189.0, None, None, None, None, None, None, None, None, None, 2012-02-15 16:00:00, None
None, 186.0, None, None, None, None, None, None, None, None, None, 2012-02-16 16:00:00, None
None, 189.0, None, None, None, None, None, None, None, None, None, 2012-02-17 16:00:00, None
None, 189.0, None, None, None, None, None, None, None, None, None, 2012-02-18 16:00:00, None
None, 186.0, None, None, None, None, None, None, None, None, None, 2012-02-19 16:00:00, None
None, 186.0, None, None, None, None, None, None, None, None, None, 2012-02-20 16:00:00, None
None, 186.0, None, None, None, None, None, None, None, None, None, 2012-02-21 16:00:00, None
None, 183.0, None, None, None, None, None, None, None, None, None, 2012-02-22 16:00:00, None
None, 183.0, None, None, None, None, None, None, None, None, None, 2012-02-23 16:00:00, None
None, 183.0, None, None, None, None, None, None, None, None, None, 2012-02-24 16:00:00, None
None, 183.0, None, None, None, None, None, None, None, None, None, 2012-02-25 16:00:00, None
None, 183.0, None, None, None, None, None, None, None, None, None, 2012-02-26 16:00:00, None
None, 186.0, None, None, None, None, None, None, None, None, None, 2012-02-27 16:00:00, None
None, 189.0, None, None, None, None, None, None, None, None, None, 2012-02-28 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-02-29 16:00:00, None
None, 192.0, None, None, None, None, None, None, None, None, None, 2012-03-01 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-03-02 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-03-03 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-03-04 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-03-05 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-03-06 16:00:00, None
None, 195.0, None, None, None, None, None, None, None, None, None, 2012-03-07 16:00:00, None
None, 198.0, None, None, None, None, None, None, None, None, None, 2012-03-08 16:00:00, None
None, 204.0, None, None, None, None, None, None, None, None, None, 2012-03-09 16:00:00, None
None, 201.0, None, None, None, None, None, None, None, None, None, 2012-03-10 16:00:00, None
None, 201.0, None, None, None, None, None, None, None, None, None, 2012-03-11 16:00:00, None
None, 198.0, None, None, None, None, None, None, None, None, None, 2012-03-12 16:00:00, None
None, 198.0, None, None, None, None, None, None, None, None, None, 2012-03-13 16:00:00, None
None, 201.0, None, None, None, None, None, None, None, None, None, 2012-03-14 16:00:00, None
None, 201.0, None, None, None, None, None, None, None, None, None, 2012-03-15 16:00:00, None
None, 201.0, None, None, None, None, None, None, None, None, None, 2012-03-16 16:00:00, None
None, 204.0, None, None, None, None, None, None, None, None, None, 2012-03-17 16:00:00, None
None, 207.0, None, None, None, None, None, None, None, None, None, 2012-03-18 16:00:00, None
None, 207.0, None, None, None, None, None, None, None, None, None, 2012-03-19 16:00:00, None
None, 204.0, None, None, None, None, None, None, None, None, None, 2012-03-20 16:00:00, None
None, 204.0, None, None, None, None, None, None, None, None, None, 2012-03-21 16:00:00, None
None, 204.0, None, None, None, None, None, None, None, None, None, 2012-03-22 16:00:00, None
None, 213.0, None, None, None, None, None, None, None, None, None, 2012-03-23 16:00:00, None
