pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,time,snw_dpth,dwpt_temp,week_of_year
19.7, 2.2, 2.166, 84.4, 0.2, None, 2.4, 84.0, -2.4,2022-11-05 00:00:00, None, 0.0,45
20.4, 0.6, 0.595, 95.0, 1.4, None, 2.4, 95.0, -2.4,2022-11-05 01:00:00, None, 0.0,45
20.5, -1.5, -1.466, 90.4, 0.5, None, 2.4, 90.0, -2.4,2022-11-05 02:00:00, None, -3.0,45
22.2, -3.4, -3.39, 91.9, 2.5, None, 2.4, 92.0, -3.4,2022-11-05 03:00:00, None, -4.0,45
23.5, -3.3, -3.307, 93.6, 2.6, None, 2.4, 94.0, -3.6,2022-11-05 04:00:00, None, -4.0,45
23.2, -3.2, -3.175, 96.9, 1.5, None, 2.4, 97.0, -3.6,2022-11-05 05:00:00, None, -3.0,45
20.8, -3.3, -3.323, 86.1, 0.0, None, 2.4, 86.0, -3.6,2022-11-05 06:00:00, None, -5.0,45
18.7, -3.9, -3.941, 82.5, 0.0, None, -3.3, 83.0, -4.1,2022-11-05 07:00:00, None, -6.0,45
16.5, -3.4, -3.402, 76.66, 0.0, None, -3.3, 77.0, -4.1,2022-11-05 08:00:00, None, -7.0,45
14.5, -3.5, -3.549, 78.39, 0.0, None, -3.1, 78.0, -4.1,2022-11-05 09:00:00, None, -6.0,45
12.5, -2.2, -2.189, 70.12, 0.0, None, -2.1, 70.0, -4.1,2022-11-05 10:00:00, None, -7.0,45
10.7, -2.4, -2.444, 66.67, 0.0, None, -2.0, 67.0, -4.1,2022-11-05 11:00:00, None, -7.0,45
9.7, -1.4, -1.387, 63.48, 0.0, None, -0.8, 63.0, -4.1,2022-11-05 12:00:00, None, -7.0,45
9.1, -2.4, -2.385, 74.2, 0.0, None, -0.8, 74.0, -4.1,2022-11-05 13:00:00, None, -6.0,45
8.9, -2.9, -2.926, 77.26, 0.0, None, -0.8, 77.0, -4.1,2022-11-05 14:00:00, None, -6.0,45
8.9, -3.3, -3.289, 77.69, 0.0, None, -0.8, 78.0, -4.1,2022-11-05 15:00:00, None, -6.0,45
8.9, -3.2, -3.243, 80.1, 0.0, None, -0.8, 80.0, -4.1,2022-11-05 16:00:00, None, -6.0,45
8.9, -3.8, -3.8, 86.6, 0.1, None, -0.8, 87.0, -4.1,2022-11-05 17:00:00, None, -6.0,45
8.9, -4.2, -4.205, 70.75, 0.0, None, -0.8, 71.0, -4.7,2022-11-05 18:00:00, None, -8.0,45
8.9, -4.7, -4.734, 71.51, 0.0, None, -4.2, 72.0, -5.1,2022-11-05 19:00:00, None, -8.0,45
8.9, -7.2, -7.243, 84.7, 0.0, None, -4.2, 85.0, -7.4,2022-11-05 20:00:00, None, -9.0,45
8.9, -7.5, -7.466, 81.6, 0.0, None, -4.2, 82.0, -7.8,2022-11-05 21:00:00, None, -10.0,45
