pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None, 4.7, 4.669, 4.4, -8.0, 13.8, None,2022-11-05 00:00:00, None,45
None, 5.0, 5.032, 4.4, 0.5, 13.8, None,2022-11-05 01:00:00, None,45
None, 4.5, 4.545, 4.4, 0.5, 13.8, None,2022-11-05 02:00:00, None,45
None, 4.8, 4.751, 4.2, -0.5, 13.8, None,2022-11-05 03:00:00, None,45
None, 6.5, 6.518, 4.2, 6.2, 13.8, None,2022-11-05 04:00:00, None,45
None, 4.7, 4.716, 4.2, -5.9, 13.8, None,2022-11-05 05:00:00, None,45
None, 5.8, 5.764, 4.2, 1.5, 13.8, None,2022-11-05 06:00:00, None,45
None, 5.4, 5.443, 4.8, -1.2, 6.1, None,2022-11-05 07:00:00, None,45
None, 6.3, 6.303, 4.3, 3.0, 7.2, None,2022-11-05 08:00:00, None,45
None, 6.9, 6.874, 4.3, 2.2, 7.2, None,2022-11-05 09:00:00, None,45
None, 5.3, 5.263, 4.3, -4.8, 7.2, None,2022-11-05 10:00:00, None,45
None, 6.0, 5.951, 4.3, 2.4, 7.2, None,2022-11-05 11:00:00, None,45
None, 6.3, 6.334, 4.3, -2.1, 7.2, None,2022-11-05 12:00:00, None,45
None, 7.9, 7.891, 4.3, 7.3, 8.0, None,2022-11-05 13:00:00, None,45
None, 7.7, 7.721, 4.3, -1.5, 8.3, None,2022-11-05 14:00:00, None,45
None, 7.8, 7.76, 4.3, 0.0, 8.3, None,2022-11-05 15:00:00, None,45
None, 8.0, 8.0, 4.3, -0.2, 8.3, None,2022-11-05 16:00:00, None,45
None, 6.7, 6.664, 4.3, -3.3, 8.3, None,2022-11-05 17:00:00, None,45
None, 4.6, 4.636, 4.3, -3.9, 8.3, None,2022-11-05 18:00:00, None,45
None, 3.9, 3.861, 3.8, -1.0, 4.7, None,2022-11-05 19:00:00, None,45
None, 3.3, 3.333, 3.3, -0.3, 4.7, None,2022-11-05 20:00:00, None,45
None, 3.3, 3.299, 3.2, -0.1, 4.7, None,2022-11-05 21:00:00, None,45
None, 3.4, 3.413, 3.2, 1.0, 4.7, None,2022-11-05 22:00:00, None,45
None, 3.5, 3.45, 3.2, -0.7, 4.7, None,2022-11-05 23:00:00, None,45
None, 3.8, 3.766, 3.2, 1.4, 4.7, None,2022-11-06 00:00:00, None,45
None, None, 4.611, None, None, None, None,2022-11-06 01:00:00, None,45
None, 4.1, 4.078, 3.2, -1.1, 4.7, None,2022-11-06 02:00:00, None,45
None, 2.9, 2.889, 3.0, -1.2, 4.7, None,2022-11-06 03:00:00, None,45
None, 2.6, 2.581, 2.4, 0.2, 4.7, None,2022-11-06 04:00:00, None,45
None, 2.3, 2.284, 2.3, 2.0, 4.7, None,2022-11-06 05:00:00, None,45
None, 1.9, 1.863, 1.8, 1.8, 4.7, None,2022-11-06 06:00:00, None,45
None, 1.6, 1.583, 1.5, 2.0, 1.9, None,2022-11-06 07:00:00, None,45
None, None, 1.736, None, None, None, None,2022-11-06 08:00:00, None,45
None, 1.9, 1.919, 1.5, 1.6, 2.0, None,2022-11-06 09:00:00, None,45
None, 2.2, None, 1.5, 2.2, 2.3, None,2022-11-06 10:00:00, None,45
None, 2.4, 2.362, 1.5, None, 2.4, None,2022-11-06 11:00:00, None,45
None, 1.7, 1.714, 1.5, 2.4, 2.4, None,2022-11-06 13:00:00, None,45
None, 1.7, 1.687, 1.5, 1.5, 2.4, None,2022-11-06 14:00:00, None,45
None, 2.0, 2.024, 1.5, 1.4, 2.4, None,2022-11-06 15:00:00, None,45
None, 2.1, None, 1.5, 0.4, 2.6, None,2022-11-06 16:00:00, None,45
None, 1.6, 1.571, 1.5, -2.0, 2.6, None,2022-11-06 17:00:00, None,45
None, 2.0, 1.976, 1.5, 1.0, 2.6, None,2022-11-06 18:00:00, None,45
None, 2.1, 2.078, 2.0, 0.4, 2.1, None,2022-11-06 19:00:00, None,45
None, 2.4, 2.359, 2.0, 0.4, 2.4, None,2022-11-06 20:00:00, None,45
None, 2.9, 2.859, 2.0, 1.1, 2.8, None,2022-11-06 21:00:00, None,45
None, None, 3.108, None, None, None, None,2022-11-06 22:00:00, None,45
None, 2.9, 2.89, 2.0, -0.4, 3.3, None,2022-11-06 23:00:00, None,45
None, 3.3, 3.295, 2.0, 0.1, 3.3, None,2022-11-07 00:00:00, None,45
None, 3.4, 3.445, 2.0, 1.4, 3.6, None,2022-11-07 01:00:00, None,45
None, 3.7, 3.692, 2.0, 0.4, 3.8, None,2022-11-07 02:00:00, None,45
None, 3.4, 3.378, 2.0, -1.2, 3.8, None,2022-11-07 03:00:00, None,45
None, 3.4, None, 2.0, 0.1, 3.8, None,2022-11-07 04:00:00, None,45
None, 2.3, None, 2.0, -2.6, 3.8, None,2022-11-07 05:00:00, None,45
None, 2.2, None, 1.6, -0.1, 3.8, None,2022-11-07 06:00:00, None,45
None, 2.4, None, 1.9, -0.8, 2.6, None,2022-11-07 07:00:00, None,45
None, 2.5, 2.494, 1.9, 1.5, 2.6, None,2022-11-07 08:00:00, None,45
None, 2.9, 2.852, 1.9, 1.1, 2.9, None,2022-11-07 09:00:00, None,45
None, 3.0, 2.95, 1.9, 0.9, 3.2, None,2022-11-07 10:00:00, None,45
None, 3.3, 3.33, 1.9, 1.0, 3.3, None,2022-11-07 11:00:00, None,45
None, 3.1, 3.145, 1.9, -0.6, 3.4, None,2022-11-07 12:00:00, None,45
None, 3.3, 3.263, 1.9, 0.0, 3.8, None,2022-11-07 13:00:00, None,45
None, 2.9, 2.874, 1.9, -1.5, 3.8, None,2022-11-07 14:00:00, None,45
None, 2.7, 2.687, 1.9, -0.4, 3.8, None,2022-11-07 15:00:00, None,45
None, 2.4, 2.373, 1.9, -0.8, 3.8, None,2022-11-07 16:00:00, None,45
None, 1.9, 1.948, 1.9, -1.0, 3.8, None,2022-11-07 17:00:00, None,45
None, 1.8, 1.772, 1.7, -1.1, 3.8, None,2022-11-07 18:00:00, None,45
None, 1.6, 1.629, 1.6, 0.1, 2.0, None,2022-11-07 19:00:00, None,45
None, 1.6, 1.639, 1.5, -0.4, 2.0, None,2022-11-07 20:00:00, None,45
None, 0.9, 0.859, 0.8, -1.4, 2.0, None,2022-11-07 21:00:00, None,45
