WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
20.1, None, None,89.9,2022-08-13 00:00:00, None,33
38.9, None, None,90.9,2022-08-13 01:00:00, None,33
187.9, None, None,71.4,2022-08-13 02:00:00, None,33
180.5, None, None,49.8,2022-08-13 03:00:00, None,33
239.4, None, None,53.6,2022-08-13 04:00:00, None,33
0.5, None, None,69.6,2022-08-13 05:00:00, None,33
14.3, None, None,77.3,2022-08-13 06:00:00, None,33
3.1, None, None,84.5,2022-08-13 07:00:00, None,33
32.6, None, None,81.2,2022-08-13 08:00:00, None,33
39.0, None, None,79.6,2022-08-13 09:00:00, None,33
237.8, None, None,76.5,2022-08-13 10:00:00, None,33
64.2, None, None,85.5,2022-08-13 11:00:00, None,33
333.8, None, None,87.2,2022-08-13 12:00:00, None,33
347.3, None, None,79.1,2022-08-13 13:00:00, None,33
19.2, None, None,75.2,2022-08-13 14:00:00, None,33
351.3, None, None,73.6,2022-08-13 15:00:00, None,33
257.2, None, None,80.5,2022-08-13 16:00:00, None,33
279.7, None, None,87.6,2022-08-13 17:00:00, None,33
183.1, None, None,88.2,2022-08-13 18:00:00, None,33
169.8, None, None,88.9,2022-08-13 19:00:00, None,33
185.4, None, None,89.7,2022-08-13 20:00:00, None,33
190.3, None, None,90.4,2022-08-13 21:00:00, None,33
250.4, None, None,89.9,2022-08-13 22:00:00, None,33
236.1, None, None,87.2,2022-08-13 23:00:00, None,33
216.1, None, None,87.1,2022-08-14 00:00:00, None,33
236.8, None, None,88.5,2022-08-14 01:00:00, None,33
238.2, None, None,90.1,2022-08-14 02:00:00, None,33
214.3, None, None,90.7,2022-08-14 03:00:00, None,33
204.1, None, None,91.0,2022-08-14 04:00:00, None,33
201.8, None, None,91.0,2022-08-14 05:00:00, None,33
215.4, None, None,91.3,2022-08-14 06:00:00, None,33
219.4, None, None,89.8,2022-08-14 07:00:00, None,33
219.8, None, None,86.7,2022-08-14 08:00:00, None,33
203.1, None, None,82.2,2022-08-14 09:00:00, None,33
205.9, None, None,73.4,2022-08-14 10:00:00, None,33
187.5, None, None,65.1,2022-08-14 11:00:00, None,33
188.0, None, None,58.9,2022-08-14 12:00:00, None,33
186.7, None, None,49.3,2022-08-14 13:00:00, None,33
190.0, None, None,48.4,2022-08-14 14:00:00, None,33
204.3, None, None,46.5,2022-08-14 15:00:00, None,33
189.0, None, None,42.8,2022-08-14 16:00:00, None,33
169.2, None, None,44.4,2022-08-14 17:00:00, None,33
230.6, None, None,53.8,2022-08-14 18:00:00, None,33
259.6, None, None,72.6,2022-08-14 19:00:00, None,33
52.6, None, None,88.8,2022-08-14 20:00:00, None,33
246.6, None, None,91.5,2022-08-14 21:00:00, None,33
215.0, None, None,86.1,2022-08-14 22:00:00, None,33
206.1, None, None,86.9,2022-08-14 23:00:00, None,33
231.6, None, None,87.6,2022-08-15 00:00:00, None,33
257.1, None, None,91.7,2022-08-15 01:00:00, None,33
203.9, None, None,94.3,2022-08-15 02:00:00, None,33
207.7, None, None,91.7,2022-08-15 03:00:00, None,33
261.5, None, None,97.2,2022-08-15 04:00:00, None,33
311.8, None, None,97.8,2022-08-15 05:00:00, None,33
41.3, None, None,98.2,2022-08-15 06:00:00, None,33
272.1, None, None,97.8,2022-08-15 07:00:00, None,33
325.1, None, None,94.7,2022-08-15 08:00:00, None,33
348.9, None, None,89.4,2022-08-15 09:00:00, None,33
351.2, None, None,78.2,2022-08-15 10:00:00, None,33
355.4, None, None,63.8,2022-08-15 11:00:00, None,33
320.7, None, None,56.9,2022-08-15 12:00:00, None,33
216.8, None, None,48.9,2022-08-15 13:00:00, None,33
241.1, None, None,45.6,2022-08-15 14:00:00, None,33
12.0, None, None,50.2,2022-08-15 15:00:00, None,33
276.1, None, None,64.2,2022-08-15 16:00:00, None,33
230.4, None, None,81.5,2022-08-15 17:00:00, None,33
274.1, None, None,84.4,2022-08-15 18:00:00, None,33
84.3, None, None,88.5,2022-08-15 19:00:00, None,33
232.8, None, None,90.7,2022-08-15 20:00:00, None,33
25.7, None, None,96.2,2022-08-15 21:00:00, None,33
21.2, None, None,97.6,2022-08-15 22:00:00, None,33
28.2, None, None,98.3,2022-08-15 23:00:00, None,33
5.2, None, None,98.4,2022-08-16 00:00:00, None,33
7.4, None, None,98.5,2022-08-16 01:00:00, None,33
222.2, None, None,98.2,2022-08-16 02:00:00, None,33
211.3, None, None,95.5,2022-08-16 03:00:00, None,33
36.2, None, None,95.7,2022-08-16 04:00:00, None,33
214.2, None, None,96.1,2022-08-16 05:00:00, None,33
239.6, None, None,94.7,2022-08-16 06:00:00, None,33
27.7, None, None,95.4,2022-08-16 07:00:00, None,33
1.2, None, None,96.0,2022-08-16 08:00:00, None,33
34.8, None, None,87.2,2022-08-16 09:00:00, None,33
343.8, None, None,77.7,2022-08-16 10:00:00, None,33
346.5, None, None,68.5,2022-08-16 11:00:00, None,33
239.4, None, None,58.8,2022-08-16 12:00:00, None,33
2.8, None, None,56.8,2022-08-16 13:00:00, None,33
359.1, None, None,55.4,2022-08-16 14:00:00, None,33
4.4, None, None,56.0,2022-08-16 15:00:00, None,33
6.5, None, None,55.0,2022-08-16 16:00:00, None,33
58.3, None, None,54.9,2022-08-16 17:00:00, None,33
45.1, None, None,51.6,2022-08-16 18:00:00, None,33
42.6, None, None,59.5,2022-08-16 19:00:00, None,33
91.7, None, None,79.5,2022-08-16 20:00:00, None,33
62.4, None, None,90.8,2022-08-16 21:00:00, None,33
144.5, None, None,92.8,2022-08-16 22:00:00, None,33
215.5, None, None,89.8,2022-08-16 23:00:00, None,33
247.0, None, None,93.1,2022-08-17 00:00:00, None,33
307.8, None, None,96.6,2022-08-17 01:00:00, None,33
5.1, None, None,97.5,2022-08-17 02:00:00, None,33
14.8, None, None,98.1,2022-08-17 03:00:00, None,33
2.7, None, None,98.4,2022-08-17 04:00:00, None,33
20.6, None, None,98.6,2022-08-17 05:00:00, None,33
30.0, None, None,98.7,2022-08-17 06:00:00, None,33
30.0, None, None,98.9,2022-08-17 07:00:00, None,33
16.9, None, None,99.0,2022-08-17 08:00:00, None,33
353.9, None, None,99.0,2022-08-17 09:00:00, None,33
17.1, None, None,98.9,2022-08-17 10:00:00, None,33
2.9, None, None,84.3,2022-08-17 11:00:00, None,33
354.4, None, None,56.6,2022-08-17 12:00:00, None,33
344.3, None, None,45.2,2022-08-17 13:00:00, None,33
17.0, None, None,42.2,2022-08-17 14:00:00, None,33
357.8, None, None,40.1,2022-08-17 15:00:00, None,33
339.2, None, None,38.9,2022-08-17 16:00:00, None,33
359.9, None, None,38.0,2022-08-17 17:00:00, None,33
6.0, None, None,41.6,2022-08-17 18:00:00, None,33
3.0, None, None,52.9,2022-08-17 19:00:00, None,33
90.6, None, None,73.5,2022-08-17 20:00:00, None,33
47.8, None, None,86.5,2022-08-17 21:00:00, None,33
86.3, None, None,89.9,2022-08-17 22:00:00, None,33
23.0, None, None,94.5,2022-08-17 23:00:00, None,33
32.6, None, None,97.2,2022-08-18 00:00:00, None,33
26.8, None, None,97.6,2022-08-18 01:00:00, None,33
24.3, None, None,98.1,2022-08-18 02:00:00, None,33
10.1, None, None,98.5,2022-08-18 03:00:00, None,33
354.5, None, None,98.7,2022-08-18 04:00:00, None,33
45.4, None, None,98.8,2022-08-18 05:00:00, None,33
354.5, None, None,98.8,2022-08-18 06:00:00, None,33
11.0, None, None,98.8,2022-08-18 07:00:00, None,33
4.3, None, None,98.6,2022-08-18 08:00:00, None,33
15.7, None, None,91.8,2022-08-18 09:00:00, None,33
345.8, None, None,74.5,2022-08-18 10:00:00, None,33
1.7, None, None,64.6,2022-08-18 11:00:00, None,33
339.9, None, None,56.7,2022-08-18 12:00:00, None,33
336.9, None, None,47.8,2022-08-18 13:00:00, None,33
338.4, None, None,40.9,2022-08-18 14:00:00, None,33
335.4, None, None,35.9,2022-08-18 15:00:00, None,33
336.6, None, None,33.4,2022-08-18 16:00:00, None,33
340.0, None, None,31.9,2022-08-18 17:00:00, None,33
340.0, None, None,31.9,2022-08-18 18:00:00, None,33
26.0, None, None,40.7,2022-08-18 19:00:00, None,33
118.9, None, None,64.9,2022-08-18 20:00:00, None,33
90.1, None, None,78.1,2022-08-18 21:00:00, None,33
76.3, None, None,81.1,2022-08-18 22:00:00, None,33
205.9, None, None,80.3,2022-08-18 23:00:00, None,33
202.3, None, None,86.5,2022-08-19 00:00:00, None,33
18.1, None, None,95.1,2022-08-19 01:00:00, None,33
13.9, None, None,97.1,2022-08-19 02:00:00, None,33
17.1, None, None,97.9,2022-08-19 03:00:00, None,33
22.7, None, None,98.0,2022-08-19 04:00:00, None,33
355.8, None, None,98.1,2022-08-19 05:00:00, None,33
24.0, None, None,98.2,2022-08-19 06:00:00, None,33
27.2, None, None,95.5,2022-08-19 07:00:00, None,33
15.4, None, None,82.0,2022-08-19 08:00:00, None,33
3.1, None, None,71.9,2022-08-19 09:00:00, None,33
7.8, None, None,63.1,2022-08-19 10:00:00, None,33
0.4, None, None,56.8,2022-08-19 11:00:00, None,33
205.9, None, None,57.7,2022-08-19 12:00:00, None,33
103.9, None, None,68.2,2022-08-19 13:00:00, None,33
90.5, None, None,56.3,2022-08-19 14:00:00, None,33
229.1, None, None,45.0,2022-08-19 15:00:00, None,33
323.0, None, None,39.9,2022-08-19 16:00:00, None,33
218.8, None, None,49.8,2022-08-19 17:00:00, None,33
164.0, None, None,60.9,2022-08-19 18:00:00, None,33
227.5, None, None,59.7,2022-08-19 19:00:00, None,33
197.5, None, None,66.0,2022-08-19 20:00:00, None,33
200.3, None, None,75.2,2022-08-19 21:00:00, None,33
229.8, None, None,79.7,2022-08-19 22:00:00, None,33
185.4, None, None,87.7,2022-08-19 23:00:00, None,33
