pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 0.202, 99.1, None, None, None, None, 0.0, None, None, 0.0, 0.2, -0.3, 0.0, 0.0, 0.6, 99.0, None,2021-03-05 00:00:00, 253.0, 252.6,10
None, None, -0.176, 99.0, None, None, None, None, 0.0, None, None, 0.0, -0.2, -0.3, 1.0, 0.0, 0.6, 99.0, None,2021-03-05 01:00:00, 253.0, 252.5,10
None, None, -0.215, 98.9, None, None, None, None, 0.0, None, None, 0.0, -0.2, -0.4, 0.0, 0.0, 0.6, 99.0, None,2021-03-05 02:00:00, 252.0, 252.4,10
None, None, -0.184, 99.1, None, None, None, None, 0.0, None, None, 0.0, -0.2, -0.5, 0.0, 0.0, 0.6, 99.0, None,2021-03-05 03:00:00, 252.0, 252.3,10
None, None, 0.151, 99.2, None, None, None, None, 0.0, None, None, 0.0, 0.2, -0.5, 0.0, 0.0, 0.6, 99.0, None,2021-03-05 04:00:00, 252.0, 252.2,10
None, None, 0.25, 99.2, None, None, None, None, 0.0, None, None, 0.0, 0.3, -0.5, 0.0, 0.0, 0.6, 99.0, None,2021-03-05 05:00:00, 252.0, 252.1,10
None, None, 0.413, 99.1, None, None, None, None, 0.0, None, None, 0.0, 0.4, -0.5, 0.0, 0.0, 0.6, 99.0, None,2021-03-05 06:00:00, 252.0, 251.9,10
None, None, 0.584, 99.2, None, None, None, None, 0.0, None, None, 0.0, 0.6, 0.1, 0.0, 0.0, 0.7, 99.0, None,2021-03-05 07:00:00, 252.0, 251.8,10
None, None, 1.746, 92.8, None, None, None, None, 0.0, None, None, 1.0, 1.7, 0.1, 0.0, 1.0, 2.2, 93.0, None,2021-03-05 08:00:00, 252.0, 251.7,10
None, None, 3.292, 82.7, None, None, None, None, 0.0, None, None, 1.0, 3.3, 0.1, 0.0, 1.0, 4.9, 83.0, None,2021-03-05 09:00:00, 252.0, 251.8,10
