pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
13.0, None, 0.0,567.0,1099.0, None,2020-01-01 00:00:00,-4.3, None,199.0, None,1
12.0, None, 0.0,568.0,1099.0, None,2020-01-01 01:00:00,-4.3, None,199.0, None,1
11.0, None, 0.0,568.0,1099.0, None,2020-01-01 02:00:00,-4.4, None,199.0, None,1
10.0, None, 0.0,568.0,1099.0, None,2020-01-01 03:00:00,-4.8, None,199.0, None,1
9.0, None, 0.0,568.0,1099.0, None,2020-01-01 04:00:00,-5.0, None,198.0, None,1
8.0, None, 0.0,568.0,1099.0, None,2020-01-01 05:00:00,-5.2, None,198.0, None,1
7.0, None, 0.0,568.0,1099.0, None,2020-01-01 06:00:00,-4.7, None,197.0, None,1
7.0, None, 1.0,568.0,1100.0, None,2020-01-01 07:00:00,-5.5, None,197.0, None,1
6.0, None, 0.0,568.0,1100.0, None,2020-01-01 08:00:00,-5.3, None,197.0, None,1
6.0, None, 0.0,568.0,1100.0, None,2020-01-01 09:00:00,-5.0, None,197.0, None,1
4.0, None, None,568.0,1099.0, None,2020-01-01 10:00:00,-3.7, None,197.0, None,1
1.0, None, None,568.0,1097.0, None,2020-01-01 11:00:00,-2.1, None,196.0, None,1
1.0, None, 0.0,568.0,1097.0, None,2020-01-01 12:00:00,-2.1, None,194.0, None,1
2.0, None, 1.0,569.0,1098.0, None,2020-01-01 13:00:00,-2.4, None,197.0, None,1
1.0, None, None,569.0,1097.0, None,2020-01-01 14:00:00,-2.5, None,197.0, None,1
2.0, None, 1.0,569.0,1098.0, None,2020-01-01 15:00:00,-2.5, None,198.0, None,1
3.0, None, 0.0,570.0,1098.0, None,2020-01-01 16:00:00,-2.2, None,199.0, None,1
3.0, None, 1.0,570.0,1099.0, None,2020-01-01 17:00:00,-2.5, None,199.0, None,1
2.0, None, 0.0,571.0,1099.0, None,2020-01-01 18:00:00,-2.5, None,200.0, None,1
3.0, None, 2.0,572.0,1101.0, None,2020-01-01 19:00:00,-5.0, None,202.0, None,1
4.0, None, 1.0,573.0,1102.0, None,2020-01-01 20:00:00,-5.9, None,204.0, None,1
7.0, None, 3.0,574.0,1105.0, None,2020-01-01 21:00:00,-7.4, None,205.0, None,1
9.0, None, 2.0,575.0,1107.0, None,2020-01-01 22:00:00,-7.9, None,204.0, None,1
4.0, None, None,575.0,1103.0, None,2020-01-01 23:00:00,-8.5, None,204.0, None,1
6.0, None, 2.0,576.0,1105.0, None,2020-01-02 00:00:00,-8.9, None,203.0, None,1
5.0, None, None,576.0,1104.0, None,2020-01-02 01:00:00,-9.5, None,204.0, None,1
6.0, None, 1.0,577.0,1105.0, None,2020-01-02 02:00:00,-9.7, None,205.0, None,1
6.0, None, 0.0,577.0,1105.0, None,2020-01-02 03:00:00,-9.9, None,207.0, None,1
7.0, None, 1.0,577.0,1106.0, None,2020-01-02 04:00:00,-10.4, None,207.0, None,1
8.0, None, 1.0,578.0,1107.0, None,2020-01-02 05:00:00,-10.6, None,207.0, None,1
8.0, None, 0.0,578.0,1107.0, None,2020-01-02 06:00:00,-10.8, None,208.0, None,1
7.0, None, 0.0,579.0,1107.0, None,2020-01-02 07:00:00,-11.1, None,208.0, None,1
8.0, None, 1.0,579.0,1108.0, None,2020-01-02 08:00:00,-11.3, None,208.0, None,1
9.0, None, 1.0,580.0,1109.0, None,2020-01-02 09:00:00,-11.2, None,209.0, None,1
10.0, None, 0.0,580.0,1109.0, None,2020-01-02 10:00:00,-11.3, None,209.0, None,1
12.0, None, 0.0,580.0,1109.0, None,2020-01-02 11:00:00,-11.5, None,209.0, None,1
