wind_speed,temperature,wind_direction,relative_humidity,time,precipitation,week_of_year
1.3,-7.5, 92.0,85.0,2022-01-22 00:00:00,0.0,4
0.1,-8.0, 54.0,84.0,2022-01-22 01:00:00,0.0,4
0.6,-8.6, 127.0,83.0,2022-01-22 02:00:00,0.0,4
0.6,-9.1, 94.0,82.0,2022-01-22 03:00:00,0.0,4
0.8,-9.1, 303.0,84.0,2022-01-22 04:00:00,0.0,4
2.5,-9.1, 142.0,84.0,2022-01-22 05:00:00,0.0,4
0.1,-9.3, 67.0,82.0,2022-01-22 06:00:00,0.0,4
0.0,-9.5, 339.0,81.0,2022-01-22 07:00:00,0.0,4
0.0,-9.0, 52.0,82.0,2022-01-22 08:00:00,0.0,4
0.2,-8.2, 299.0,82.0,2022-01-22 09:00:00,0.0,4
0.6,-6.5, 170.0,82.0,2022-01-22 10:00:00,0.0,4
0.7,-3.3, 178.0,80.0,2022-01-22 11:00:00,0.0,4
0.4,-4.9, 310.0,81.0,2022-01-22 12:00:00,0.0,4
0.5,-4.6, 297.0,80.0,2022-01-22 13:00:00,0.0,4
0.3,-3.9, 180.0,81.0,2022-01-22 14:00:00,0.0,4
0.0,-4.3, 259.0,82.0,2022-01-22 15:00:00,0.0,4
0.0,-4.4, 324.0,84.0,2022-01-22 16:00:00,0.0,4
0.0,-4.7, 145.0,85.0,2022-01-22 17:00:00,0.0,4
0.0,-4.6, 36.0,87.0,2022-01-22 18:00:00,0.0,4
0.0,-4.5, 100.0,87.0,2022-01-22 19:00:00,0.0,4
0.0,-4.4, 83.0,87.0,2022-01-22 20:00:00,0.0,4
1.4,-4.1, 330.0,86.0,2022-01-22 21:00:00,0.0,4
0.4,-4.1, 75.0,86.0,2022-01-22 22:00:00,0.0,4
0.2,-4.3, 140.0,86.0,2022-01-22 23:00:00,0.0,4
1.1,-4.4, 140.0,87.0,2022-01-23 00:00:00,0.0,4
0.0,-4.6, 4.0,87.0,2022-01-23 01:00:00,0.0,4
0.0,-4.5, 331.0,87.0,2022-01-23 02:00:00,0.0,4
0.0,-4.5, 91.0,87.0,2022-01-23 03:00:00,0.0,4
0.0,-4.5, 80.0,87.0,2022-01-23 04:00:00,0.0,4
0.2,-4.6, 116.0,87.0,2022-01-23 05:00:00,0.0,4
3.0,-4.6, 135.0,88.0,2022-01-23 06:00:00,0.0,4
0.0,-4.6, 9.0,88.0,2022-01-23 07:00:00,0.0,4
0.0,-4.5, 10.0,88.0,2022-01-23 08:00:00,0.0,4
0.0,-4.0, 342.0,88.0,2022-01-23 09:00:00,0.0,4
0.0,-3.3, 138.0,85.0,2022-01-23 10:00:00,0.0,4
0.4,-3.0, 199.0,83.0,2022-01-23 11:00:00,0.0,4
1.2,-3.0, 332.0,83.0,2022-01-23 12:00:00,0.0,4
1.1,-2.6, 333.0,81.0,2022-01-23 13:00:00,0.0,4
2.8,-2.3, 323.0,80.0,2022-01-23 14:00:00,0.0,4
0.2,-2.0, 349.0,78.0,2022-01-23 15:00:00,0.0,4
0.0,-2.1, 36.0,77.0,2022-01-23 16:00:00,0.0,4
0.1,-2.8, 178.0,82.0,2022-01-23 17:00:00,0.0,4
0.1,-3.1, 356.0,84.0,2022-01-23 18:00:00,0.0,4
1.1,-3.0, 309.0,83.0,2022-01-23 19:00:00,0.0,4
1.4,-3.0, 333.0,81.0,2022-01-23 20:00:00,0.0,4
0.4,-3.1, 12.0,76.0,2022-01-23 21:00:00,0.0,4
2.1,-3.2, 323.0,73.0,2022-01-23 22:00:00,0.0,4
1.0,-3.3, 30.0,71.0,2022-01-23 23:00:00,0.0,4
0.7,-3.5, 22.0,71.0,2022-01-24 00:00:00,0.0,4
0.0,-3.6, 32.0,74.0,2022-01-24 01:00:00,0.0,4
1.3,-3.9, 53.0,72.0,2022-01-24 02:00:00,0.0,4
0.7,-4.0, 68.0,72.0,2022-01-24 03:00:00,0.0,4
0.2,-4.1, 110.0,77.0,2022-01-24 04:00:00,0.0,4
0.0,-4.2, 66.0,78.0,2022-01-24 05:00:00,0.0,4
0.0,-4.2, 56.0,80.0,2022-01-24 06:00:00,0.0,4
0.0,-4.3, 354.0,81.0,2022-01-24 07:00:00,0.0,4
0.0,-4.4, 164.0,82.0,2022-01-24 08:00:00,0.0,4
2.0,-4.3, 332.0,83.0,2022-01-24 09:00:00,0.0,4
2.8,-3.3, 313.0,83.0,2022-01-24 10:00:00,0.0,4
3.2,-2.5, 333.0,77.0,2022-01-24 11:00:00,0.0,4
4.6,-0.8, 337.0,69.0,2022-01-24 12:00:00,0.51,4
4.6,0.3, 330.0,61.0,2022-01-24 13:00:00,0.51,4
5.3,0.8, 336.0,59.0,2022-01-24 14:00:00,0.0,4
4.8,-0.1, 325.0,64.0,2022-01-24 15:00:00,0.0,4
1.0,-1.8, 329.0,70.0,2022-01-24 16:00:00,0.0,4
0.0,-3.0, 15.0,77.0,2022-01-24 17:00:00,0.0,4
1.1,-4.6, 82.0,83.0,2022-01-24 18:00:00,0.0,4
1.4,-4.4, 57.0,77.0,2022-01-24 19:00:00,0.0,4
0.9,-5.9, 85.0,87.0,2022-01-24 20:00:00,0.0,4
0.0,-5.4, 342.0,88.0,2022-01-24 21:00:00,0.0,4
1.0,-5.7, 352.0,85.0,2022-01-24 22:00:00,0.0,4
2.5,-6.5, 107.0,82.0,2022-01-24 23:00:00,0.0,4
0.3,-5.8, 314.0,88.0,2022-01-25 00:00:00,0.0,4
0.1,-5.5, 117.0,83.0,2022-01-25 01:00:00,0.0,4
1.4,-5.5, 120.0,85.0,2022-01-25 02:00:00,0.0,4
0.0,-5.3, 313.0,85.0,2022-01-25 03:00:00,0.0,4
2.6,-5.8, 162.0,84.0,2022-01-25 04:00:00,0.0,4
3.5,-5.5, 125.0,85.0,2022-01-25 05:00:00,0.0,4
