WSPD_SCLR,time,week_of_year
3.22461,2017-12-24 00:00:00,52
3.15522,2017-12-24 01:00:00,52
2.73655,2017-12-24 02:00:00,52
3.83909,2017-12-24 03:00:00,52
3.60823,2017-12-24 04:00:00,52
2.28651,2017-12-24 05:00:00,52
2.00701,2017-12-24 06:00:00,52
1.07622,2017-12-24 07:00:00,52
2.45985,2017-12-24 08:00:00,52
1.36917,2017-12-24 09:00:00,52
0.837916,2017-12-24 10:00:00,52
1.59605,2017-12-24 11:00:00,52
1.5079,2017-12-24 12:00:00,52
1.47601,2017-12-24 13:00:00,52
1.70658,2017-12-24 14:00:00,52
1.81532,2017-12-24 15:00:00,52
0.99237,2017-12-24 16:00:00,52
1.72217,2017-12-24 17:00:00,52
1.7984,2017-12-24 18:00:00,52
1.99893,2017-12-24 19:00:00,52
3.21118,2017-12-24 20:00:00,52
3.90824,2017-12-24 21:00:00,52
3.12206,2017-12-24 22:00:00,52
2.92437,2017-12-24 23:00:00,52
2.9145,2017-12-25 00:00:00,52
2.57286,2017-12-25 01:00:00,52
3.07806,2017-12-25 02:00:00,52
3.22059,2017-12-25 03:00:00,52
2.81111,2017-12-25 04:00:00,52
2.72287,2017-12-25 05:00:00,52
3.60695,2017-12-25 06:00:00,52
3.5413,2017-12-25 07:00:00,52
3.26656,2017-12-25 08:00:00,52
3.25791,2017-12-25 09:00:00,52
2.87545,2017-12-25 10:00:00,52
2.48622,2017-12-25 11:00:00,52
2.3893,2017-12-25 12:00:00,52
2.15837,2017-12-25 13:00:00,52
2.2365,2017-12-25 14:00:00,52
2.85346,2017-12-25 15:00:00,52
2.75106,2017-12-25 16:00:00,52
3.2859,2017-12-25 17:00:00,52
3.66968,2017-12-25 18:00:00,52
3.9556,2017-12-25 19:00:00,52
3.53897,2017-12-25 20:00:00,52
4.09057,2017-12-25 21:00:00,52
2.90187,2017-12-25 22:00:00,52
2.881,2017-12-25 23:00:00,52
3.31992,2017-12-26 00:00:00,52
3.40152,2017-12-26 01:00:00,52
3.35949,2017-12-26 02:00:00,52
3.56801,2017-12-26 03:00:00,52
3.13407,2017-12-26 04:00:00,52
3.07482,2017-12-26 05:00:00,52
2.71408,2017-12-26 06:00:00,52
1.82525,2017-12-26 07:00:00,52
2.28747,2017-12-26 08:00:00,52
1.52004,2017-12-26 09:00:00,52
1.78094,2017-12-26 10:00:00,52
1.72948,2017-12-26 11:00:00,52
1.65111,2017-12-26 12:00:00,52
2.34894,2017-12-26 13:00:00,52
2.28636,2017-12-26 14:00:00,52
2.35284,2017-12-26 15:00:00,52
2.1395,2017-12-26 16:00:00,52
2.76818,2017-12-26 17:00:00,52
3.0588,2017-12-26 18:00:00,52
4.05015,2017-12-26 19:00:00,52
4.08044,2017-12-26 20:00:00,52
