CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 4.355, 96.2, None,2016-05-27 00:00:00, None, None,21.19, 14.0,178.3, None, None, None, None, None, None,22
None, 3.68, 96.1, None,2016-05-27 01:00:00, None, None,18.61, 13.97,160.6, None, None, None, None, None, None,22
None, 3.124, 96.0, None,2016-05-27 02:00:00, None, None,17.57, 15.01,161.5, None, None, None, None, None, None,22
None, 2.622, 96.2, None,2016-05-27 03:00:00, None, None,18.65, 13.72,166.4, None, None, None, None, None, None,22
None, 2.287, 96.4, None,2016-05-27 04:00:00, None, None,16.2, 18.95,164.7, None, None, None, None, None, None,22
None, 1.977, 96.5, None,2016-05-27 05:00:00, None, None,13.76, 19.95,154.5, None, None, None, None, None, None,22
None, 2.0, 96.5, None,2016-05-27 06:00:00, None, None,15.93, 19.47,155.1, None, None, None, None, None, None,22
None, 2.214, 96.5, None,2016-05-27 07:00:00, None, None,13.25, 18.67,154.7, None, None, None, None, None, None,22
None, 2.383, 96.5, None,2016-05-27 08:00:00, None, None,14.98, 17.62,159.5, None, None, None, None, None, None,22
None, 3.316, 96.4, None,2016-05-27 09:00:00, None, None,16.88, 15.12,162.9, None, None, None, None, None, None,22
None, 3.523, 96.1, None,2016-05-27 10:00:00, None, None,15.44, 15.4,162.9, None, None, None, None, None, None,22
None, 5.226, 94.0, None,2016-05-27 11:00:00, None, None,16.59, 13.98,163.7, None, None, None, None, None, None,22
None, 4.785, 93.7, None,2016-05-27 12:00:00, None, None,16.5, 15.07,165.8, None, None, None, None, None, None,22
None, 5.281, 95.3, None,2016-05-27 13:00:00, None, None,18.05, 15.46,158.8, None, None, None, None, None, None,22
None, 7.817, 89.7, None,2016-05-27 14:00:00, None, None,23.81, 13.86,164.3, None, None, None, None, None, None,22
None, 8.22, 76.84, None,2016-05-27 15:00:00, None, None,34.78, 9.97,192.7, None, None, None, None, None, None,22
