CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
None, None, None, None,0.0, None,201.0, None, None, None, None, None, None, None, None, None, None,2016-10-05 16:00:00, None,40
None, None, None, None,0.0, None,201.0, None, None, None, None, None, None, None, None, None, None,2016-10-05 17:00:00, None,40
None, None, None, None,0.0, None,201.0, None, None, None, None, None, None, None, None, None, None,2016-10-05 18:00:00, None,40
None, None, None, None,0.0, None,201.0, None, None, None, None, None, None, None, None, None, None,2016-10-05 19:00:00, None,40
None, None, None, None,0.0, None,201.0, None, None, None, None, None, None, None, None, None, None,2016-10-05 20:00:00, None,40
None, None, None, None,0.0, None,201.0, None, None, None, None, None, None, None, None, None, None,2016-10-05 21:00:00, None,40
5.809, None, None, None,9.4, None,200.1, None, None, None, None, None, None, 2.0, None, None, None,2016-10-05 22:00:00, None,40
4.51, 84.9, None, None,17.93, 0.006,113.2, None, None, None, None, None, None, 2.0, 910.0, None, None,2016-10-05 23:00:00, None,40
4.12, 89.0, None, None,12.97, 0.0,126.4, None, None, None, None, None, None, 3.0, 907.0, None, None,2016-10-06 00:00:00, None,40
3.773, 90.8, None, None,8.95, 0.0,128.9, None, None, None, None, None, None, 2.0, 908.0, None, None,2016-10-06 01:00:00, None,40
2.306, 94.1, None, None,31.01, 0.0,122.1, None, None, None, None, None, None, 1.0, 914.0, None, None,2016-10-06 06:00:00, None,40
2.182, 94.7, None, None,16.94, 0.0,122.8, None, None, None, None, None, None, 1.0, 906.0, None, None,2016-10-06 07:00:00, None,40
3.175, 94.5, None, None,43.46, 0.0,124.9, None, None, None, None, None, None, 2.0, 914.0, None, None,2016-10-06 08:00:00, None,40
4.379, 93.4, None, None,44.98, 0.0,98.0, None, None, None, None, None, None, 3.0, 899.0, None, None,2016-10-06 09:00:00, None,40
5.043, 89.9, None, None,51.9, 0.0,307.6, None, None, None, None, None, None, 4.0, 913.0, None, None,2016-10-06 10:00:00, None,40
6.191, 85.3, None, None,33.67, 0.0,317.0, None, None, None, None, None, None, 4.0, 904.0, None, None,2016-10-06 11:00:00, None,40
7.256, 78.31, None, None,47.36, 0.0,287.0, None, None, None, None, None, None, 4.0, 900.0, None, None,2016-10-06 12:00:00, None,40
8.29, 72.73, None, None,63.31, 0.381,304.3, None, None, None, None, None, None, 4.0, 897.0, None, None,2016-10-06 13:00:00, None,40
8.5, 73.99, None, None,60.65, 0.025,348.2, None, None, None, None, None, None, 4.0, 897.0, None, None,2016-10-06 14:00:00, None,40
8.76, 73.29, None, None,54.7, 0.035,342.4, None, None, None, None, None, None, 4.0, 905.0, None, None,2016-10-06 15:00:00, None,40
8.04, 80.9, None, None,61.52, 0.0,288.7, None, None, None, None, None, None, 5.0, 911.0, None, None,2016-10-06 16:00:00, None,40
7.549, 87.7, None, None,27.0, 0.384,270.6, None, None, None, None, None, None, 6.0, 901.0, None, None,2016-10-06 17:00:00, None,40
7.023, 89.5, None, None,62.55, 0.0,293.2, None, None, None, None, None, None, 5.0, 886.0, None, None,2016-10-06 18:00:00, None,40
5.58, 90.9, None, None,35.66, 0.0,120.6, None, None, None, None, None, None, 4.0, 899.0, None, None,2016-10-06 19:00:00, None,40
3.767, 92.5, None, None,14.46, 0.03,123.5, None, None, None, None, None, None, 3.0, 907.0, None, None,2016-10-06 20:00:00, None,40
3.812, 91.7, None, None,26.0, 0.089,122.9, None, None, None, None, None, None, 3.0, 899.0, None, None,2016-10-06 21:00:00, None,40
3.772, 90.8, None, None,19.61, 0.229,109.3, None, None, None, None, None, None, 2.0, 905.0, None, None,2016-10-06 22:00:00, None,40
4.029, 90.3, None, None,19.91, 0.081,121.4, None, None, None, None, None, None, 3.0, 897.0, None, None,2016-10-06 23:00:00, None,40
