CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,DEW_POINT,week_of_year
-7.397,90.9,2022-01-29 00:00:00,-9.0,5
-7.228,90.2,2022-01-29 01:00:00,-9.0,5
-7.286,89.6,2022-01-29 02:00:00,-8.0,5
-7.635,90.7,2022-01-29 03:00:00,-9.0,5
-7.579,92.8,2022-01-29 04:00:00,-9.0,5
-5.349,87.5,2022-01-29 12:00:00,-7.0,5
-4.625,86.2,2022-01-29 13:00:00,-7.0,5
-4.615,85.4,2022-01-29 14:00:00,-6.0,5
-4.303,86.5,2022-01-29 15:00:00,-6.0,5
-4.769,88.1,2022-01-29 16:00:00,-6.0,5
-4.627,85.8,2022-01-29 17:00:00,-6.0,5
-4.714,86.8,2022-01-29 18:00:00,-7.0,5
-4.649,87.8,2022-01-29 19:00:00,-6.0,5
-4.934,87.9,2022-01-29 20:00:00,-7.0,5
-4.197,86.0,2022-01-29 21:00:00,-6.0,5
-4.677,87.7,2022-01-29 22:00:00,-6.0,5
-4.104,86.7,2022-01-29 23:00:00,-6.0,5
-4.203,86.3,2022-01-30 00:00:00,-6.0,5
-4.865,88.7,2022-01-30 01:00:00,-7.0,5
-4.925,89.2,2022-01-30 02:00:00,-6.0,5
-5.19,93.1,2022-01-30 03:00:00,-6.0,5
-4.796,93.0,2022-01-30 04:00:00,-5.0,5
-5.104,94.9,2022-01-30 05:00:00,-6.0,5
-5.174,94.6,2022-01-30 06:00:00,-6.0,5
-4.843,94.7,2022-01-30 07:00:00,-5.0,5
-3.647,94.8,2022-01-30 08:00:00,-5.0,5
-4.42,94.4,2022-01-30 09:00:00,-5.0,5
-4.264,94.2,2022-01-30 10:00:00,-5.0,5
-3.295,93.5,2022-01-30 11:00:00,-4.0,5
-1.677,86.3,2022-01-30 12:00:00,-3.0,5
-1.592,87.8,2022-01-30 13:00:00,-3.0,5
-0.547,82.9,2022-01-30 14:00:00,-3.0,5
-1.742,85.8,2022-01-30 15:00:00,-4.0,5
-2.071,88.9,2022-01-30 16:00:00,-4.0,5
-2.132,90.8,2022-01-30 17:00:00,-3.0,5
-2.441,92.1,2022-01-30 18:00:00,-3.0,5
-2.875,93.4,2022-01-30 19:00:00,-3.0,5
-1.335,91.1,2022-01-30 20:00:00,-3.0,5
-0.898,97.2,2022-01-30 21:00:00,-1.0,5
-0.861,97.0,2022-01-30 22:00:00,-1.0,5
-2.165,95.1,2022-01-30 23:00:00,-2.0,5
-2.888,93.8,2022-01-31 00:00:00,-3.0,5
-3.499,81.2,2022-01-31 01:00:00,-6.0,5
-4.146,75.34,2022-01-31 02:00:00,-8.0,5
-5.203,77.09,2022-01-31 03:00:00,-9.0,5
-8.22,87.6,2022-01-31 04:00:00,-10.0,5
-5.545,84.6,2022-01-31 05:00:00,-7.0,5
-5.572,84.8,2022-01-31 06:00:00,-7.0,5
-6.688,86.0,2022-01-31 07:00:00,-8.0,5
-5.414,82.6,2022-01-31 08:00:00,-7.0,5
-5.293,81.2,2022-01-31 09:00:00,-7.0,5
-3.883,70.37,2022-01-31 10:00:00,-8.0,5
-3.048,65.95,2022-01-31 11:00:00,-8.0,5
-2.597,61.06,2022-01-31 12:00:00,-8.0,5
-2.109,61.1,2022-01-31 13:00:00,-7.0,5
-2.445,61.36,2022-01-31 14:00:00,-8.0,5
-1.814,56.59,2022-01-31 15:00:00,-9.0,5
-4.702,79.23,2022-01-31 16:00:00,-7.0,5
-6.887,88.9,2022-01-31 17:00:00,-9.0,5
-8.06,90.1,2022-01-31 18:00:00,-9.0,5
-7.791,88.2,2022-01-31 19:00:00,-10.0,5
-7.823,89.3,2022-01-31 20:00:00,-9.0,5
