ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
0.0,0.0,18.5,0.0,2017-07-23,0.0,33.0,30,,,,,,
0.0,0.0,9.5,0.0,2017-07-24,0.0,25.0,30,,,,,,
0.0,0.0,11.5,0.0,2017-07-25,0.0,30.5,30,,,,,,
0.0,0.0,13.0,0.0,2017-07-26,0.0,35.0,30,,,,,,
0.0,0.0,20.5,0.0,2017-07-27,0.0,33.0,30,,,,,,
0.0,0.0,16.0,0.0,2017-07-28,0.0,31.5,30,,,,,,
0.0,0.0,16.0,0.0,2017-07-29,0.0,34.5,30,,,,,,
,,,,2017-07-23 00:00:00,,,30,,25.2,1.54,44.9,54.29,23.27
,,,,2017-07-23 01:00:00,,,30,,23.3,1.567,54.3,58.43,22.29
,,,,2017-07-23 02:00:00,,,30,,22.3,1.555,58.4,62.09,21.25
,,,,2017-07-23 03:00:00,,,30,,21.3,1.145,62.1,65.56,20.08
,,,,2017-07-23 04:00:00,,,30,,20.1,1.216,65.6,69.03,19.08
,,,,2017-07-23 05:00:00,,,30,,19.1,0.745,69.0,68.78,18.95
,,,,2017-07-23 06:00:00,,,30,,19.0,0.521,68.8,67.61,19.36
,,,,2017-07-23 07:00:00,,,30,,19.4,0.583,67.6,64.11,20.44
,,,,2017-07-23 08:00:00,,,30,,20.4,0.984,64.1,53.87,23.14
,,,,2017-07-23 09:00:00,,,30,,23.1,1.238,53.9,49.76,24.37
,,,,2017-07-23 10:00:00,,,30,,24.4,1.262,49.8,40.48,26.05
,,,,2017-07-23 11:00:00,,,30,,26.1,2.206,40.5,36.74,27.16
,,,,2017-07-23 12:00:00,,,30,,27.2,3.637,36.7,32.19,28.3
,,,,2017-07-23 13:00:00,,,30,,28.3,2.382,32.2,29.24,29.37
,,,,2017-07-23 14:00:00,,,30,,29.4,2.299,29.2,23.27,30.4
,,,,2017-07-23 15:00:00,,,30,,30.4,3.324,23.3,17.16,31.11
,,,,2017-07-23 16:00:00,,,30,,31.1,3.646,17.2,18.26,30.66
,,,,2017-07-23 17:00:00,,,30,,30.7,4.797,18.3,19.23,30.05
,,,,2017-07-23 18:00:00,,,30,,30.1,9.36,19.2,31.07,24.87
,,,,2017-07-23 19:00:00,,,30,,24.9,5.069,31.1,33.06,22.82
,,,,2017-07-23 20:00:00,,,30,,22.8,3.199,33.1,39.32,20.53
,,,,2017-07-23 21:00:00,,,30,,20.5,2.726,39.3,48.44,18.67
,,,,2017-07-23 22:00:00,,,30,,18.7,2.804,48.4,56.58,17.34
,,,,2017-07-23 23:00:00,,,30,,17.3,1.42,56.6,64.03,16.3
,,,,2017-07-24 00:00:00,,,30,,16.3,1.342,64.0,68.48,15.15
,,,,2017-07-24 01:00:00,,,30,,15.2,1.196,68.5,70.65,13.98
,,,,2017-07-24 02:00:00,,,30,,14.0,1.205,70.7,74.19,13.35
,,,,2017-07-24 03:00:00,,,30,,13.4,1.301,74.2,76.6,12.76
,,,,2017-07-24 04:00:00,,,30,,12.8,1.459,76.6,80.1,11.92
,,,,2017-07-24 05:00:00,,,30,,11.9,1.171,80.1,77.72,10.26
,,,,2017-07-24 06:00:00,,,30,,10.3,1.427,77.7,76.48,11.21
,,,,2017-07-24 07:00:00,,,30,,11.2,1.242,76.5,69.17,13.5
,,,,2017-07-24 08:00:00,,,30,,13.5,0.967998,69.2,60.75,15.52
,,,,2017-07-24 09:00:00,,,30,,15.5,0.801998,60.8,50.37,17.9
,,,,2017-07-24 10:00:00,,,30,,17.9,1.652,50.4,39.04,20.12
,,,,2017-07-24 11:00:00,,,30,,20.1,2.348,39.0,34.33,21.6
,,,,2017-07-24 12:00:00,,,30,,21.6,2.913,34.3,32.74,22.63
,,,,2017-07-24 13:00:00,,,30,,22.6,3.229,32.7,30.77,23.48
,,,,2017-07-24 14:00:00,,,30,,23.5,3.227,30.8,28.83,24.35
