RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
20.96, None, None, None, 4.728, 93.4, -18.0, 0.9, -18.0, None, None, None, -6999.0, None, None, None, None, 1.419, None, 7.7, 21.0, None, 30.29, None, 1.4, 0.0, -6999.0,2021-06-11 00:00:00, -6999.0,24
21.11, None, None, None, 7.64, 102.6, -18.0, 0.9, -18.0, None, None, None, -6999.0, None, None, None, None, 1.324, None, 7.7, 21.0, None, 20.19, None, 1.3, 0.0, -6999.0,2021-06-11 01:00:00, -6999.0,24
22.3, None, None, None, 6.234, 120.2, -18.0, 0.7, -18.0, None, None, None, -6999.0, None, None, None, None, 0.773, None, 7.7, 22.0, None, 15.56, None, 0.8, 0.1, -6999.0,2021-06-11 02:00:00, -6999.0,24
21.14, None, None, None, 6.016, 98.9, -19.0, 0.7, -19.0, None, None, None, -6999.0, None, None, None, None, 1.029, None, 7.7, 21.0, None, 17.71, None, 1.0, 0.0, -6999.0,2021-06-11 03:00:00, -6999.0,24
22.08, None, None, None, 4.278, 125.2, -19.0, 0.5, -19.0, None, None, None, -6999.0, None, None, None, None, 0.525, None, 7.7, 22.0, None, 31.84, None, 0.5, 0.0, -6999.0,2021-06-11 04:00:00, -6999.0,24
24.92, None, None, None, 4.432, 115.6, -18.0, 0.0, -18.0, None, None, None, -6999.0, None, None, None, None, 0.145, None, 7.7, 25.0, None, 29.93, None, 0.1, 0.1, -6999.0,2021-06-11 05:00:00, -6999.0,24
22.4, None, None, None, 6.142, 82.8, -18.0, 0.0, -18.0, None, None, None, -6999.0, None, None, None, None, 1.445, None, 7.7, 22.0, None, 19.44, None, 1.4, -0.1, -6999.0,2021-06-11 06:00:00, -6999.0,24
19.62, None, None, None, 2.904, 121.6, -17.0, 1.4, -17.0, None, None, None, -6999.0, None, None, None, None, 3.826, None, 3.9, 20.0, None, 44.77, None, 3.8, -0.4, -6999.0,2021-06-11 07:00:00, -6999.0,24
19.29, None, None, None, 7.3, 106.3, -17.0, 1.4, -17.0, None, None, None, -6999.0, None, None, None, None, 4.481, None, 4.5, 19.0, None, 20.6, None, 4.5, -0.5, -6999.0,2021-06-11 08:00:00, -6999.0,24
18.67, None, None, None, 5.419, 135.9, -16.0, 1.4, -16.0, None, None, None, -6999.0, None, None, None, None, 6.152, None, 6.2, 19.0, None, 29.75, None, 6.2, -0.7, -6999.0,2021-06-11 09:00:00, -6999.0,24
18.37, None, None, None, 7.61, 138.1, -15.0, 1.4, -15.0, None, None, None, -6999.0, None, None, None, None, 7.14, None, 7.3, 18.0, None, 25.9, None, 7.1, -0.7, -6999.0,2021-06-11 10:00:00, -6999.0,24
18.0, None, None, None, 6.238, 163.5, -14.0, 1.4, -14.0, None, None, None, -6999.0, None, None, None, None, 8.59, None, 8.8, 18.0, None, 33.61, None, 8.6, -0.7, -6999.0,2021-06-11 11:00:00, -6999.0,24
18.35, None, None, None, 6.096, 174.6, -15.0, 1.4, -15.0, None, None, None, -6999.0, None, None, None, None, 7.21, None, 8.8, 18.0, None, 30.91, None, 7.2, 0.1, -6999.0,2021-06-11 12:00:00, -6999.0,24
19.21, None, None, None, 4.345, 211.1, -17.0, 1.4, -17.0, None, None, None, -6999.0, None, None, None, None, 4.549, None, 8.8, 19.0, None, 42.98, None, 4.5, 0.7, -6999.0,2021-06-11 13:00:00, -6999.0,24
18.17, None, None, None, 3.395, 184.2, -15.0, 1.4, -15.0, None, None, None, -6999.0, None, None, None, None, 7.82, None, 8.8, 18.0, None, 46.0, None, 7.8, -0.8, -6999.0,2021-06-11 14:00:00, -6999.0,24
18.33, None, None, None, 4.512, 205.8, -15.0, 1.4, -15.0, None, None, None, -6999.0, None, None, None, None, 7.27, None, 8.8, 18.0, None, 30.5, None, 7.3, 0.2, -6999.0,2021-06-11 15:00:00, -6999.0,24
18.63, None, None, None, 3.503, 188.3, -16.0, 1.4, -16.0, None, None, None, -6999.0, None, None, None, None, 6.477, None, 8.8, 19.0, None, 36.87, None, 6.5, 0.0, -6999.0,2021-06-11 16:00:00, -6999.0,24
18.79, None, None, None, 4.324, 185.5, -16.0, 1.4, -16.0, None, None, None, -6999.0, None, None, None, None, 5.966, None, 8.8, 19.0, None, 38.15, None, 6.0, 0.2, -6999.0,2021-06-11 17:00:00, -6999.0,24
19.52, None, None, None, 2.247, 172.5, -17.0, 1.4, -17.0, None, None, None, -6999.0, None, None, None, None, 3.934, None, 8.8, 20.0, None, 59.95, None, 3.9, 0.4, -6999.0,2021-06-11 18:00:00, -6999.0,24
19.54, None, None, None, 7.62, 111.1, -17.0, 3.6, -17.0, None, None, None, -6999.0, None, None, None, None, 3.659, None, 3.9, 20.0, None, 18.31, None, 3.7, 0.2, -6999.0,2021-06-11 19:00:00, -6999.0,24
20.21, None, None, None, 7.45, 103.6, -18.0, 2.8, -18.0, None, None, None, -6999.0, None, None, None, None, 3.104, None, 3.9, 20.0, None, 28.17, None, 3.1, 0.4, -6999.0,2021-06-11 20:00:00, -6999.0,24
20.11, None, None, None, 9.12, 126.6, -17.0, 2.8, -17.0, None, None, None, -6999.0, None, None, None, None, 3.216, None, 3.9, 20.0, None, 18.42, None, 3.2, 0.2, -6999.0,2021-06-11 21:00:00, -6999.0,24
26.34, None, None, None, 8.83, 133.2, -15.0, 2.4, -15.0, None, None, None, -6999.0, None, None, None, None, 2.444, None, 3.9, 26.0, None, 18.73, None, 2.4, 0.6, -6999.0,2021-06-11 22:00:00, -6999.0,24
39.24, None, None, None, 9.28, 130.3, -10.0, 2.1, -10.0, None, None, None, -6999.0, None, None, None, None, 2.159, None, 3.9, 39.0, None, 17.86, None, 2.2, 0.7, -6999.0,2021-06-11 23:00:00, -6999.0,24
43.03, None, None, None, 10.69, 130.8, -9.0, 2.0, -9.0, None, None, None, -6999.0, None, None, None, None, 2.091, None, 3.9, 43.0, None, 16.72, None, 2.1, 0.2, -6999.0,2021-06-12 00:00:00, -6999.0,24
48.64, None, None, None, 9.2, 121.9, -8.0, 1.8, -8.0, None, None, None, -6999.0, None, None, None, None, 1.9, None, 3.9, 49.0, None, 15.72, None, 1.9, 0.5, -6999.0,2021-06-12 01:00:00, -6999.0,24
49.72, None, None, None, 7.56, 133.7, -8.0, 1.8, -8.0, None, None, None, -6999.0, None, None, None, None, 1.771, None, 3.9, 50.0, None, 23.9, None, 1.8, 0.2, -6999.0,2021-06-12 02:00:00, -6999.0,24
49.37, None, None, None, 8.54, 96.4, -8.0, 1.8, -8.0, None, None, None, -6999.0, None, None, None, None, 1.94, None, 3.9, 49.0, None, 11.97, None, 1.9, 0.5, -6999.0,2021-06-12 03:00:00, -6999.0,24
49.37, None, None, None, 6.993, 116.7, -8.0, 1.8, -8.0, None, None, None, -6999.0, None, None, None, None, 1.94, None, 3.9, 49.0, None, 17.78, None, 1.9, 0.4, -6999.0,2021-06-12 04:00:00, -6999.0,24
49.37, None, None, None, 9.41, 97.1, -8.0, 1.7, -8.0, None, None, None, -6999.0, None, None, None, None, 1.75, None, 3.9, 49.0, None, 26.27, None, 1.8, 0.0, -6999.0,2021-06-12 05:00:00, -6999.0,24
49.14, None, None, None, 5.395, 109.0, -8.0, 1.7, -8.0, None, None, None, -6999.0, None, None, None, None, 1.903, None, 3.9, 49.0, None, 26.49, None, 1.9, 0.0, -6999.0,2021-06-12 06:00:00, -6999.0,24
49.08, None, None, None, 4.29, 95.8, -7.0, 1.9, -7.0, None, None, None, -6999.0, None, None, None, None, 2.417, None, 2.4, 49.0, None, 29.98, None, 2.4, -0.2, -6999.0,2021-06-12 07:00:00, -6999.0,24
49.35, None, None, None, 4.725, 98.1, -7.0, 1.9, -7.0, None, None, None, -6999.0, None, None, None, None, 2.871, None, 2.9, 49.0, None, 32.69, None, 2.9, -0.1, -6999.0,2021-06-12 08:00:00, -6999.0,24
21.81, None, None, None, 2.87, 114.5, -14.0, 1.9, -14.0, None, None, None, -6999.0, None, None, None, None, 6.13, None, 6.1, 22.0, None, 55.14, None, 6.1, -0.1, -6999.0,2021-06-12 09:00:00, -6999.0,24
