ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,week_of_year
9.8,9.8,0.0,2017-02-15, 0.0,7
4.4,4.4,0.0,2017-02-18, 0.0,7
