air_temp,min_air_temp_snc_last_reset,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,week_of_year
-25.7,-29.5, 229.0,-25.4,-6999.0, 4.4,2020-01-08 11:00:00, 0.3,-6999.0,2
-26.4,-29.5, 288.0,-25.4,-6999.0, 2.1,2020-01-08 12:00:00, 0.1,-6999.0,2
-26.3,-29.5, 288.0,-25.4,-6999.0, 0.9,2020-01-08 13:00:00, 0.0,-6999.0,2
-24.5,-29.5, 11.0,-24.5,-6999.0, 3.2,2020-01-08 14:00:00, 0.3,-6999.0,2
-23.8,-29.5, 33.0,-23.8,-6999.0, 4.0,2020-01-08 15:00:00, 1.4,-6999.0,2
-23.2,-29.5, 314.0,-23.2,-6999.0, 2.8,2020-01-08 16:00:00, 0.4,-6999.0,2
-23.0,-29.5, 24.0,-23.0,-6999.0, 6.6,2020-01-08 17:00:00, 1.4,-6999.0,2
-23.4,-29.5, 60.0,-23.0,-6999.0, 6.7,2020-01-08 18:00:00, 2.5,-6999.0,2
-24.6,-24.6, 41.0,-23.4,-6999.0, 5.6,2020-01-08 19:00:00, 1.0,-6999.0,2
-25.5,-25.8, 309.0,-23.4,-6999.0, 3.7,2020-01-08 20:00:00, 1.0,-6999.0,2
-24.3,-25.8, 347.0,-23.4,-6999.0, 4.7,2020-01-08 21:00:00, 0.8,-6999.0,2
-23.9,-25.8, 349.0,-23.4,-6999.0, 4.4,2020-01-08 22:00:00, 1.0,-6999.0,2
-23.6,-25.8, 12.0,-23.4,-6999.0, 3.3,2020-01-08 23:00:00, 0.7,-6999.0,2
-24.7,-25.8, 348.0,-23.4,-6999.0, 2.5,2020-01-09 00:00:00, 0.3,-6999.0,2
-26.2,-26.2, 307.0,-23.4,-6999.0, 4.7,2020-01-09 01:00:00, 1.0,-6999.0,2
-28.2,-28.3, 300.0,-23.4,-6999.0, 4.5,2020-01-09 02:00:00, 1.3,-6999.0,2
-29.4,-29.4, 318.0,-23.4,-6999.0, 1.5,2020-01-09 03:00:00, 0.1,-6999.0,2
-29.4,-29.6, 309.0,-23.4,-6999.0, 1.3,2020-01-09 04:00:00, 0.0,-6999.0,2
-28.5,-29.6, 254.0,-23.4,-6999.0, 1.6,2020-01-09 05:00:00, 0.2,-6999.0,2
-27.8,-29.6, 264.0,-23.4,-6999.0, 3.3,2020-01-09 06:00:00, 0.6,-6999.0,2
-27.6,-27.9, 298.0,-27.6,-6999.0, 2.8,2020-01-09 07:00:00, 0.5,-6999.0,2
-27.5,-27.9, 285.0,-27.5,-6999.0, 1.6,2020-01-09 08:00:00, 0.1,-6999.0,2
-27.3,-27.9, 294.0,-27.2,-6999.0, 1.3,2020-01-09 09:00:00, 0.1,-6999.0,2
