snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
3.0, None, None,2020-09-30 00:00:00, 18.3, None, None,40
3.0, None, None,2020-09-30 01:00:00, 16.8, None, None,40
3.0, None, None,2020-09-30 02:00:00, 16.5, None, None,40
2.0, None, None,2020-09-30 03:00:00, 16.6, None, None,40
2.0, None, None,2020-09-30 04:00:00, 16.3, None, None,40
2.0, None, None,2020-09-30 05:00:00, 16.5, None, None,40
2.0, None, None,2020-09-30 06:00:00, 16.4, None, None,40
2.0, None, None,2020-09-30 07:00:00, 16.3, None, None,40
2.0, None, None,2020-09-30 08:00:00, 16.3, None, None,40
2.0, None, None,2020-09-30 09:00:00, 15.9, None, None,40
1.0, None, None,2020-09-30 10:00:00, 15.5, None, None,40
1.0, None, None,2020-09-30 11:00:00, 15.3, None, None,40
1.0, None, None,2020-09-30 12:00:00, 15.0, None, None,40
1.0, None, None,2020-09-30 13:00:00, 14.9, None, None,40
1.0, None, None,2020-09-30 14:00:00, 14.7, None, None,40
1.0, None, None,2020-09-30 15:00:00, 14.7, None, None,40
1.0, None, None,2020-09-30 16:00:00, 14.8, None, None,40
1.0, None, None,2020-09-30 17:00:00, 15.2, None, None,40
1.0, None, None,2020-09-30 18:00:00, 16.0, None, None,40
1.0, None, None,2020-09-30 19:00:00, 16.9, None, None,40
1.0, None, None,2020-09-30 20:00:00, 18.4, None, None,40
2.0, None, None,2020-09-30 21:00:00, 19.6, None, None,40
3.0, None, None,2020-09-30 22:00:00, 18.7, None, None,40
3.0, None, None,2020-09-30 23:00:00, 18.2, None, None,40
