wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP
128.0,39.0, 10.6, 0.0,6.4, 3.6,20.9, 17.2,293.0,0.0,0.0, 46.0,2022-07-30 00:00:00,31,,,,,,
301.0,47.0, 3.7, 0.0,6.7, 3.2,18.2, 15.7,290.0,0.0,0.0, 46.0,2022-07-30 01:00:00,31,,,,,,
343.0,46.0, 3.6, 0.0,5.5, 5.2,17.2, 15.4,128.0,0.0,0.0, 50.0,2022-07-30 02:00:00,31,,,,,,
294.0,46.0, 3.2, 0.0,4.1, 3.5,15.7, 14.3,301.0,0.0,0.0, 54.0,2022-07-30 03:00:00,31,,,,,,
10.0,50.0, 5.2, 0.0,5.0, 4.3,15.4, 14.8,343.0,0.0,0.0, 54.0,2022-07-30 04:00:00,31,,,,,,
1.0,54.0, 3.5, 0.0,5.1, 3.5,14.3, 18.9,294.0,0.0,0.0, 45.0,2022-07-30 05:00:00,31,,,,,,
145.0,54.0, 4.3, 0.0,5.6, 4.4,14.8, 21.0,10.0,0.0,0.0, 37.0,2022-07-30 06:00:00,31,,,,,,
159.0,45.0, 3.5, 0.0,6.7, 6.1,18.9, 22.8,1.0,0.0,0.0, 33.0,2022-07-30 07:00:00,31,,,,,,
167.0,37.0, 4.4, 0.0,5.8, 9.7,21.0, 24.5,145.0,0.0,0.0, 31.0,2022-07-30 08:00:00,31,,,,,,
180.0,33.0, 6.1, 0.0,5.7, 7.8,22.8, 26.7,159.0,0.0,0.0, 27.0,2022-07-30 09:00:00,31,,,,,,
189.0,31.0, 9.7, 0.0,6.3, 7.8,24.5, 28.4,167.0,0.0,0.0, 27.0,2022-07-30 10:00:00,31,,,,,,
144.0,27.0, 7.8, 0.0,6.2, 10.4,26.7, 29.1,180.0,0.0,0.0, 24.0,2022-07-30 11:00:00,31,,,,,,
94.0,27.0, 7.8, 0.0,7.6, 6.9,28.4, 29.8,189.0,0.0,0.0, 24.0,2022-07-30 12:00:00,31,,,,,,
85.0,24.0, 10.4, 0.0,6.5, 7.2,29.1, 28.1,144.0,0.0,0.0, 25.0,2022-07-30 13:00:00,31,,,,,,
142.0,24.0, 6.9, 0.0,7.1, 8.3,29.8, 30.4,94.0,0.0,0.0, 21.0,2022-07-30 14:00:00,31,,,,,,
104.0,25.0, 7.2, 0.0,6.2, 8.9,28.1, 30.0,85.0,0.0,0.0, 21.0,2022-07-30 15:00:00,31,,,,,,
155.0,21.0, 8.3, 0.0,5.6, 5.0,30.4, 29.9,142.0,0.0,0.0, 21.0,2022-07-30 16:00:00,31,,,,,,
145.0,21.0, 8.9, 0.0,5.3, 4.5,30.0, 28.8,104.0,0.0,0.0, 23.0,2022-07-30 17:00:00,31,,,,,,
325.0,21.0, None, 0.0,5.2, 5.9,29.9, 23.6,155.0,0.0,0.0, 24.0,2022-07-30 18:00:00,31,,,,,,
337.0,23.0, 4.5, 0.0,5.6, 9.3,28.8, 22.2,145.0,0.0,0.0, 22.0,2022-07-30 19:00:00,31,,,,,,
320.0,24.0, 5.9, 0.0,1.9, 7.6,23.6, 21.5,325.0,0.0,0.0, 19.0,2022-07-30 20:00:00,31,,,,,,
304.0,22.0, 9.3, 0.0,-0.5, 9.9,22.2, 21.9,337.0,0.0,0.0, 20.0,2022-07-30 21:00:00,31,,,,,,
315.0,19.0, 7.6, 0.0,-3.1, 7.6,21.5, 20.4,320.0,0.0,0.0, 25.0,2022-07-30 22:00:00,31,,,,,,
,20.0, 9.9, None,-2.1, None,21.9, None,304.0,0.0,0.0, None,2022-07-30 23:00:00,31,,,,,,
287.0,25.0, 7.6, 0.0,-0.3, 12.0,20.4, 20.0,315.0,0.0,0.0, 20.0,2022-07-31 00:00:00,31,,,,,,
306.0,24.0, 8.5, 0.0,-1.0, 10.7,20.2, 19.7,306.0,0.0,0.0, 26.0,2022-07-31 01:00:00,31,,,,,,
248.0,20.0, None, 0.0,-3.6, 5.8,20.0, 18.0,287.0,0.0,0.0, 28.0,2022-07-31 02:00:00,31,,,,,,
276.0,26.0, 10.7, 0.0,-0.3, 9.1,19.7, 18.6,306.0,0.0,0.0, 18.0,2022-07-31 03:00:00,31,,,,,,
156.0,28.0, 5.8, 0.0,-0.8, 5.0,18.0, 16.4,248.0,0.0,0.0, 23.0,2022-07-31 04:00:00,31,,,,,,
168.0,18.0, 9.1, 0.0,-6.2, 5.9,18.6, 19.2,276.0,0.0,0.0, 32.0,2022-07-31 05:00:00,31,,,,,,
214.0,23.0, None, 0.0,-4.8, 8.7,16.4, 20.4,156.0,0.0,0.0, 34.0,2022-07-31 06:00:00,31,,,,,,
199.0,32.0, 5.9, 0.0,2.1, 6.8,19.2, 22.6,168.0,0.0,0.0, 33.0,2022-07-31 07:00:00,31,,,,,,
201.0,34.0, 8.7, 0.0,4.0, 11.5,20.4, 25.2,214.0,0.0,0.0, 31.0,2022-07-31 08:00:00,31,,,,,,
216.0,33.0, 6.8, 0.0,5.5, 15.8,22.6, 26.1,199.0,0.0,0.0, 30.0,2022-07-31 09:00:00,31,,,,,,
209.0,31.0, 11.5, 0.0,6.9, 16.8,25.2, 27.4,201.0,0.0,0.0, 26.0,2022-07-31 10:00:00,31,,,,,,
207.0,30.0, 15.8, 0.0,7.2, 16.3,26.1, 28.1,216.0,0.0,0.0, 22.0,2022-07-31 11:00:00,31,,,,,,
194.0,26.0, 16.8, 0.0,6.2, 14.5,27.4, 28.7,209.0,0.0,0.0, 19.0,2022-07-31 12:00:00,31,,,,,,
221.0,22.0, 16.3, 0.0,4.4, 10.1,28.1, 29.2,207.0,0.0,0.0, 16.0,2022-07-31 13:00:00,31,,,,,,
217.0,19.0, 14.5, 0.0,2.8, 13.5,28.7, 29.9,194.0,0.0,0.0, 11.0,2022-07-31 14:00:00,31,,,,,,
222.0,16.0, 10.1, 0.0,0.8, 18.5,29.2, 29.1,221.0,0.0,0.0, 10.0,2022-07-31 15:00:00,31,,,,,,
260.0,11.0, 13.5, 0.0,-3.7, 10.6,29.9, 28.6,217.0,0.0,0.0, 12.0,2022-07-31 16:00:00,31,,,,,,
251.0,10.0, 18.5, 0.0,-5.6, 11.5,29.1, 27.1,222.0,0.0,0.0, 14.0,2022-07-31 17:00:00,31,,,,,,
233.0,12.0, 10.6, 0.0,-3.6, 5.6,28.6, 23.1,260.0,0.0,0.0, 18.0,2022-07-31 18:00:00,31,,,,,,
294.0,14.0, 11.5, 0.0,-2.7, 5.6,27.1, 20.9,251.0,0.0,0.0, 20.0,2022-07-31 19:00:00,31,,,,,,
273.0,18.0, 5.6, 0.0,-2.5, 10.3,23.1, 20.2,233.0,0.0,0.0, 20.0,2022-07-31 20:00:00,31,,,,,,
265.0,20.0, 5.6, 0.0,-2.9, 6.2,20.9, 18.9,294.0,0.0,0.0, 20.0,2022-07-31 21:00:00,31,,,,,,
306.0,20.0, 10.3, 0.0,-3.5, 10.2,20.2, 19.3,273.0,0.0,0.0, 21.0,2022-07-31 22:00:00,31,,,,,,
,20.0, 6.2, None,-4.5, None,18.9, None,265.0,0.0,0.0, None,2022-07-31 23:00:00,31,,,,,,
297.0,21.0, 10.2, 0.0,-3.6, 17.8,19.3, 18.9,306.0,0.0,0.0, 25.0,2022-08-01 00:00:00,31,,,,,,
298.0,23.0, 15.3, 0.0,-2.6, 13.5,19.0, 18.5,308.0,0.0,0.0, 31.0,2022-08-01 01:00:00,31,,,,,,
312.0,25.0, 17.8, 0.0,-1.5, 8.6,18.9, 17.7,297.0,0.0,0.0, 34.0,2022-08-01 02:00:00,31,,,,,,
318.0,31.0, 13.5, 0.0,1.1, 12.7,18.5, 18.1,298.0,0.0,0.0, 30.0,2022-08-01 03:00:00,31,,,,,,
304.0,34.0, 8.6, 0.0,1.7, 10.8,17.7, 18.1,312.0,0.0,0.0, 31.0,2022-08-01 04:00:00,31,,,,,,
301.0,30.0, 12.7, 0.0,0.3, 13.5,18.1, 19.9,318.0,0.0,0.0, 34.0,2022-08-01 05:00:00,31,,,,,,
265.0,31.0, 10.8, 0.0,0.7, 12.4,18.1, 20.4,304.0,0.0,0.0, 28.0,2022-08-01 06:00:00,31,,,,,,
292.0,34.0, 13.5, 0.0,3.6, 9.3,19.9, 21.2,301.0,0.0,0.0, 28.0,2022-08-01 07:00:00,31,,,,,,
213.0,28.0, 12.4, 0.0,1.3, 12.9,20.4, 23.2,265.0,0.0,0.0, 27.0,2022-08-01 08:00:00,31,,,,,,
243.0,28.0, 9.3, 0.0,2.0, 17.0,21.2, 23.5,292.0,0.0,0.0, 30.0,2022-08-01 09:00:00,31,,,,,,
260.0,27.0, 12.9, 0.0,3.2, 11.4,23.2, 25.8,213.0,0.0,0.0, 27.0,2022-08-01 10:00:00,31,,,,,,
291.0,30.0, None, 0.0,4.9, 17.4,23.5, 24.2,243.0,0.0,0.0, 25.0,2022-08-01 11:00:00,31,,,,,,
288.0,27.0, 11.4, 0.0,5.4, 14.1,25.8, 23.0,260.0,0.0,0.0, 31.0,2022-08-01 12:00:00,31,,,,,,
277.0,25.0, 17.4, 0.0,2.9, 15.3,24.2, 23.0,291.0,0.0,0.0, 30.0,2022-08-01 13:00:00,31,,,,,,
247.0,31.0, 14.1, 0.0,5.0, 16.0,23.0, 25.7,288.0,0.0,0.0, 23.0,2022-08-01 14:00:00,31,,,,,,
232.0,30.0, 15.3, 0.0,4.5, 16.2,23.0, 24.9,277.0,0.0,0.0, 17.0,2022-08-01 15:00:00,31,,,,,,
242.0,23.0, None, 0.0,3.0, 17.8,25.7, 23.4,247.0,0.0,0.0, 18.0,2022-08-01 16:00:00,31,,,,,,
260.0,17.0, 16.2, 0.0,-1.8, 17.0,24.9, 21.7,232.0,0.0,0.0, 20.0,2022-08-01 17:00:00,31,,,,,,
302.0,18.0, 17.8, 0.0,-2.3, 12.0,23.4, 19.0,242.0,0.0,0.0, 26.0,2022-08-01 18:00:00,31,,,,,,
