X,Y,Name,CAUSE_GENERAL_KMZ,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-122.002830457674,49.2370891377354,V10012,Human,0.2,V10012,Fire,2013,2013,49.237083,-122.002815
-121.579231142908,49.0911235731989,V10076,Human,0.009,V10076,Fire,2013,2013,49.091118,-121.579216
-122.725784389205,49.324705059561,V10079,Human,0.009,V10079,Fire,2013,2013,49.324699,-122.725769
-121.806816107041,49.5705737751007,V10093,Lightning,0.009,V10093,Fire,2013,2013,49.570568,-121.806801
-121.868095395756,49.4838237626418,V10095,Lightning,0.009,V10095,Fire,2013,2013,49.483818,-121.86808
-122.138534493216,49.3017902227618,V10097,Lightning,0.009,V10097,Fire,2013,2013,49.301784,-122.138519
-132.366686697652,53.3396727366064,V10143,Human,0.009,V10143,Fire,2013,2013,53.339668,-132.366669
-121.828361384904,49.1065540467839,V10148,Human,0.5,V10148,Fire,2013,2013,49.106548,-121.828346
-121.935111958435,49.2898387428144,V10190,Human,0.009,V10190,Fire,2013,2013,49.289833,-121.935097
-122.006866302702,49.0442714250567,V10217,Human,1.3,V10217,Fire,2013,2013,49.044266,-122.006851
-121.310615354181,49.29953962183,V10224,Lightning,0.1,V10224,Fire,2013,2013,49.299534,-121.3106
-121.29965196217,49.3079243163857,V10225,Lightning,0.009,V10225,Fire,2013,2013,49.307919,-121.299637
-121.290481510865,49.5171719295841,V10226,Lightning,0.009,V10226,Fire,2013,2013,49.517166,-121.290466
-121.111480592455,49.5563908558613,V10228,Lightning,0.009,V10228,Fire,2013,2013,49.556385,-121.111465
-121.382964946909,49.2357235083408,V10246,Lightning,1.9,V10246,Fire,2013,2013,49.235718,-121.38295
-121.728500336883,49.3668575709786,V10249,Human,0.2,V10249,Fire,2013,2013,49.366852,-121.728485
-121.384651052901,49.2406063045416,V10259,Lightning,1,V10259,Fire,2013,2013,49.2406,-121.384636
-121.222282210281,49.2123051207139,V10276,Lightning,0.2,V10276,Fire,2013,2013,49.212299,-121.222267
-122.89253243086,49.349538636815,V10278,Human,0.009,V10278,Fire,2013,2013,49.349533,-122.892517
