X,Y,Name,CAUSE_GENERAL_KMZ,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-123.142700380601,49.3770235072979,V10010,Lightning,0.009,V10010,Fire,2014,2014,49.377018,-123.142685
-121.541015704808,50.0465222293332,V10058,Human,0.3,V10058,Fire,2014,2014,50.046516,-121.541
-121.874664253991,49.3157901538738,V10086,Human,0.5,V10086,Fire,2014,2014,49.315784,-121.874649
-121.504715069423,49.9640713313665,V10111,Human,0.009,V10111,Fire,2014,2014,49.964065,-121.5047
-121.648567066943,49.1064052671391,V10168,Human,0.009,V10168,Fire,2014,2014,49.1064,-121.648552
-122.633415282931,49.3582552692561,V10181,Human,0.009,V10181,Fire,2014,2014,49.35825,-122.6334
-121.602050714223,49.3279552883577,V10183,Human,0.1,V10183,Fire,2014,2014,49.32795,-121.602036
-121.057197387952,49.2253208431476,V10184,Human,0.009,V10184,Fire,2014,2014,49.225315,-121.057182
-122.242301917504,49.3404712108032,V10199,Human,0.009,V10199,Fire,2014,2014,49.340466,-122.242287
-122.189018384007,49.954671851818,V10216,Lightning,15,V10216,Fire,2014,2014,49.954666,-122.189003
-121.199150016592,49.6147709486167,V10223,Lightning,0.009,V10223,Fire,2014,2014,49.614765,-121.199135
-121.124061501069,49.6025715507216,V10224,Lightning,0.009,V10224,Fire,2014,2014,49.602566,-121.124046
-121.483734113078,49.7954388250724,V10226,Lightning,0.1,V10226,Fire,2014,2014,49.795433,-121.483719
-121.469200098359,49.7346401252799,V10227,Lightning,0.4,V10227,Fire,2014,2014,49.734634,-121.469185
-121.565383899846,49.6563397060557,V10230,Lightning,0.06,V10230,Fire,2014,2014,49.656334,-121.565369
-121.62483211345,49.6860409038227,V10231,Lightning,0.009,V10231,Fire,2014,2014,49.686035,-121.624817
-121.491165282167,50.0081730356635,V10232,Lightning,0.1,V10232,Fire,2014,2014,50.008167,-121.49115
-121.640815751902,49.7990742047749,V10233,Lightning,0.3,V10233,Fire,2014,2014,49.799068,-121.6408
-121.671264641323,49.7782039995353,V10234,Lightning,0.009,V10234,Fire,2014,2014,49.778198,-121.671249
-121.665451092148,49.9438572107104,V10235,Lightning,38,V10235,Fire,2014,2014,49.943851,-121.665436
-121.496849177644,50.0200062350796,V10236,Lightning,0.009,V10236,Fire,2014,2014,50.02,-121.496834
-121.95964823948,49.9443225752777,V10237,Lightning,540,V10237,Fire,2014,2014,49.944317,-121.959633
-121.673385702987,49.9816227133979,V10238,Lightning,0.2,V10238,Fire,2014,2014,49.981617,-121.67337
-121.517562957855,49.9326229220861,V10239,Lightning,0.8,V10239,Fire,2014,2014,49.932617,-121.517548
