WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,week_of_year
None,-25.5, None,80.0,2018-01-01 00:00:00,1
None,-26.2, None,78.6,2018-01-01 01:00:00,1
None,-25.8, None,79.4,2018-01-01 02:00:00,1
None,-26.2, None,78.6,2018-01-01 03:00:00,1
None,-27.1, None,77.7,2018-01-01 04:00:00,1
None,-26.7, None,78.3,2018-01-01 05:00:00,1
None,-27.3, None,77.8,2018-01-01 06:00:00,1
None,-26.8, None,78.1,2018-01-01 07:00:00,1
None,-26.4, None,77.7,2018-01-01 08:00:00,1
None,-22.9, None,81.8,2018-01-01 09:00:00,1
None,-18.1, None,82.8,2018-01-01 10:00:00,1
None,-16.5, None,83.3,2018-01-01 11:00:00,1
None,-11.9, None,75.9,2018-01-01 12:00:00,1
None,-10.0, None,71.2,2018-01-01 13:00:00,1
None,-9.6, None,68.4,2018-01-01 14:00:00,1
None,-9.7, None,70.5,2018-01-01 15:00:00,1
None,-11.3, None,76.0,2018-01-01 16:00:00,1
None,-12.4, None,79.0,2018-01-01 17:00:00,1
None,-11.9, None,80.8,2018-01-01 18:00:00,1
None,-11.5, None,80.3,2018-01-01 19:00:00,1
None,-10.9, None,80.6,2018-01-01 20:00:00,1
None,-10.6, None,79.8,2018-01-01 21:00:00,1
None,-10.9, None,79.4,2018-01-01 22:00:00,1
None,-11.0, None,79.4,2018-01-01 23:00:00,1
None,-10.9, None,80.7,2018-01-02 00:00:00,1
None,-10.7, None,80.7,2018-01-02 01:00:00,1
None,-10.2, None,81.4,2018-01-02 02:00:00,1
None,-10.6, None,80.3,2018-01-02 03:00:00,1
None,-10.2, None,81.3,2018-01-02 04:00:00,1
None,-10.2, None,79.2,2018-01-02 05:00:00,1
None,-10.4, None,79.5,2018-01-02 06:00:00,1
None,-11.0, None,80.8,2018-01-02 07:00:00,1
None,-10.8, None,80.6,2018-01-02 08:00:00,1
None,-10.7, None,80.4,2018-01-02 09:00:00,1
None,-10.1, None,77.9,2018-01-02 10:00:00,1
None,-9.4, None,74.1,2018-01-02 11:00:00,1
None,-8.6, None,71.2,2018-01-02 12:00:00,1
None,-7.9, None,68.4,2018-01-02 13:00:00,1
