WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
None, -1.6, 0.190999,2018-01-05 02:00:00, -1.587,1
None, -1.5, 0.505999,2018-01-05 03:00:00, -1.5,1
None, -1.3, 0.899999,2018-01-05 04:00:00, -1.284,1
None, -1.1, 0.637,2018-01-05 05:00:00, -1.098,1
None, -1.2, 0.225998,2018-01-05 06:00:00, -1.193,1
None, -0.9, 0.959999,2018-01-05 07:00:00, -0.907998,1
None, -0.7, 1.208,2018-01-05 08:00:00, -0.712998,1
None, -0.7, 1.108,2018-01-05 09:00:00, -0.685,1
None, -0.5, 1.095,2018-01-05 10:00:00, -0.493999,1
None, -0.1, 1.802,2018-01-05 11:00:00, -0.129998,1
None, 0.1, 1.059,2018-01-05 12:00:00, 0.119998,1
None, 0.4, 1.048,2018-01-05 13:00:00, 0.4,1
None, 0.5, 0.954999,2018-01-05 14:00:00, 0.533999,1
None, 0.6, 0.545,2018-01-05 15:00:00, 0.569,1
None, 0.5, 0.864,2018-01-05 16:00:00, 0.499,1
None, 0.3, 0.333999,2018-01-05 17:00:00, 0.275999,1
None, 0.1, 0.065999,2018-01-05 18:00:00, 0.050999,1
None, 0.0, 0.037,2018-01-05 19:00:00, 0.020998,1
None, 0.2, 0.317,2018-01-05 20:00:00, 0.162,1
None, 0.4, 0.342999,2018-01-05 21:00:00, 0.428,1
None, 0.4, 0.150998,2018-01-05 22:00:00, 0.395999,1
None, 0.7, 0.164,2018-01-05 23:00:00, 0.658999,1
None, 0.9, 0.509998,2018-01-06 00:00:00, 0.862999,1
None, 0.8, 0.090998,2018-01-06 01:00:00, 0.771,1
None, 0.8, 0.093,2018-01-06 02:00:00, 0.805998,1
None, 0.8, None,2018-01-06 03:00:00, 0.773,1
None, 0.8, None,2018-01-06 04:00:00, 0.755999,1
None, 0.9, None,2018-01-06 05:00:00, 0.856998,1
None, 1.1, 0.316,2018-01-06 06:00:00, 1.109,1
None, 1.0, 0.009998,2018-01-06 07:00:00, 1.038,1
None, 1.3, 0.138999,2018-01-06 08:00:00, 1.307,1
None, 1.7, 0.032999,2018-01-06 09:00:00, 1.66,1
None, 2.1, 0.259,2018-01-06 10:00:00, 2.109,1
None, 3.1, 1.382,2018-01-06 11:00:00, 3.097,1
None, 3.5, 1.898,2018-01-06 12:00:00, 3.512,1
None, 3.7, 1.525,2018-01-06 13:00:00, 3.697,1
None, 4.1, 2.507,2018-01-06 14:00:00, 4.064,1
None, 4.2, 1.998,2018-01-06 15:00:00, 4.173,1
None, 4.1, 2.165,2018-01-06 16:00:00, 4.086,1
None, 3.7, 1.207,2018-01-06 17:00:00, 3.685,1
None, 3.3, 0.405999,2018-01-06 18:00:00, 3.313,1
None, 2.9, 0.46,2018-01-06 19:00:00, 2.893,1
None, 2.8, 0.252,2018-01-06 20:00:00, 2.757,1
None, 2.6, 0.298,2018-01-06 21:00:00, 2.649,1
None, 2.6, 0.411,2018-01-06 22:00:00, 2.573,1
None, 2.1, 0.365,2018-01-06 23:00:00, 2.064,1
None, 2.7, 1.008,2018-01-07 00:00:00, 2.695,1
None, 2.7, 0.414,2018-01-07 01:00:00, 2.745,1
None, 2.8, 0.763,2018-01-07 02:00:00, 2.784,1
None, 2.6, 0.654999,2018-01-07 03:00:00, 2.633,1
